Senate - 1996 Election: Western Australia																																								
First Preference Votes by Group																																								
By Polling Place																																								


Brand (92099)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Osborne Park		                               	14	2.16	 	279	43.12	 	2	0.31	 	3	0.46	 	4	0.62	 	4	0.62	 	258	39.88	 	21	3.25	 	61	9.43	 	1	0.15	 	647	94.18	 	40	5.82	 	687	0.97
Perth (Stirling)		                           	2	1.47	 	44	32.35	 	0	0	 	1	0.74	 	0	0	 	1	0.74	 	64	47.06	 	11	8.09	 	13	9.56	 	0	0	 	136	92.52	 	11	7.48	 	147	0.21
Rottnest (Stirling)		                        	1	0.6	 	95	56.55	 	1	0.6	 	0	0	 	2	1.19	 	0	0	 	36	21.43	 	17	10.12	 	14	8.33	 	2	1.19	 	168	96.55	 	6	3.45	 	174	0.25
Scarborough		                                	16	1.18	 	632	46.57	 	1	0.07	 	4	0.29	 	4	0.29	 	12	0.88	 	417	30.73	 	122	8.99	 	143	10.54	 	6	0.44	 	1357	97	 	42	3	 	1399	1.98
Scarborough Central		                        	6	0.58	 	488	46.79	 	0	0	 	3	0.29	 	12	1.15	 	7	0.67	 	322	30.87	 	83	7.96	 	115	11.03	 	7	0.67	 	1043	96.93	 	33	3.07	 	1076	1.52
Trigg		                                      	7	0.78	 	504	56.5	 	0	0	 	5	0.56	 	3	0.34	 	8	0.9	 	188	21.08	 	65	7.29	 	111	12.44	 	1	0.11	 	892	97.49	 	23	2.51	 	915	1.29
Tuart Hill		                                 	27	1.81	 	566	37.86	 	3	0.2	 	9	0.6	 	7	0.47	 	13	0.87	 	642	42.94	 	87	5.82	 	140	9.36	 	1	0.07	 	1495	93.91	 	97	6.09	 	1592	2.25
Wembley Downs		                              	21	0.86	 	1403	57.52	 	4	0.16	 	10	0.41	 	25	1.03	 	28	1.15	 	525	21.53	 	156	6.4	 	262	10.74	 	5	0.21	 	2439	97.09	 	73	2.91	 	2512	3.55
Westminster		                                	29	1.36	 	603	28.24	 	2	0.09	 	14	0.66	 	8	0.37	 	28	1.31	 	1193	55.88	 	84	3.93	 	172	8.06	 	2	0.09	 	2135	93.8	 	141	6.2	 	2276	3.21
Woodlands		                                  	18	0.91	 	1189	60.05	 	2	0.1	 	10	0.51	 	13	0.66	 	18	0.91	 	408	20.61	 	109	5.51	 	207	10.45	 	6	0.3	 	1980	97.2	 	57	2.8	 	2037	2.88
Woodlands North		                            	4	0.32	 	741	59.23	 	1	0.08	 	5	0.4	 	9	0.72	 	14	1.12	 	295	23.58	 	51	4.08	 	130	10.39	 	1	0.08	 	1251	96.53	 	45	3.47	 	1296	1.83
Yallingup (Stirling)		                       	1	1	 	54	54	 	0	0	 	0	0	 	0	0	 	0	0	 	23	23	 	16	16	 	5	5	 	1	1	 	100	96.15	 	4	3.85	 	104	0.15
Yokine		                                     	14	0.97	 	639	44.47	 	2	0.14	 	2	0.14	 	3	0.21	 	6	0.42	 	535	37.23	 	70	4.87	 	164	11.41	 	2	0.14	 	1437	95.36	 	70	4.64	 	1507	2.13
Yokine North		                               	18	1.06	 	830	49.08	 	1	0.06	 	10	0.59	 	11	0.65	 	8	0.47	 	605	35.78	 	67	3.96	 	138	8.16	 	3	0.18	 	1691	93.48	 	118	6.52	 	1809	2.55
Yokine West		                                	12	0.93	 	623	48.37	 	6	0.47	 	9	0.7	 	2	0.16	 	7	0.54	 	426	33.07	 	77	5.98	 	121	9.39	 	5	0.39	 	1288	94.43	 	76	5.57	 	1364	1.93
Special Hospitals		                          	6	1.07	 	389	69.09	 	1	0.18	 	3	0.53	 	6	1.07	 	1	0.18	 	138	24.51	 	6	1.07	 	11	1.95	 	2	0.36	 	563	92.6	 	45	7.4	 	608	0.86
Total Ordinary		                             	590	1.05	 	25098	44.56	 	83	0.15	 	257	0.46	 	308	0.55	 	522	0.93	 	21119	37.49	 	3087	5.48	 	5148	9.14	 	115	0.2	 	56327	95.07	 	2924	4.93	 	59251	83.66
ABSENT		                                     	70	1.22	 	2389	41.8	 	11	0.19	 	41	0.72	 	46	0.8	 	85	1.49	 	2050	35.87	 	483	8.45	 	519	9.08	 	21	0.37	 	5715	97.31	 	158	2.69	 	5873	8.29
POSTAL		                                     	28	1.51	 	905	48.81	 	2	0.11	 	9	0.49	 	21	1.13	 	25	1.35	 	627	33.82	 	70	3.78	 	161	8.68	 	6	0.32	 	1854	98.1	 	36	1.9	 	1890	2.67
PRE_POLL		                                   	23	0.79	 	1488	51.2	 	4	0.14	 	20	0.69	 	27	0.93	 	38	1.31	 	877	30.18	 	179	6.16	 	239	8.22	 	11	0.38	 	2906	98.11	 	56	1.89	 	2962	4.18
PROVISIONAL		                                	9	1.1	 	266	32.44	 	1	0.12	 	2	0.24	 	2	0.24	 	13	1.59	 	393	47.93	 	66	8.05	 	63	7.68	 	5	0.61	 	820	96.7	 	28	3.3	 	848	1.2
ADJUSTMENT		                                 	4		       	12		       	3		       	0		       	2		       	0		       	6		       	0		       	0		       	0		       	27		       	-26		       	1	
Division Summary		                           	724	1.07	 	30158	44.58	 	104	0.15	 	329	0.49	 	406	0.6	 	683	1.01	 	25072	37.06	 	3885	5.74	 	6130	9.06	 	158	0.23	 	67649	95.52	 	3176	4.48	 	70825	96.04
 																																								


Swan (72465)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beckenham (Swan)		                           	16	1.06	 	530	35.12	 	3	0.2	 	20	1.33	 	18	1.19	 	26	1.72	 	699	46.32	 	70	4.64	 	123	8.15	 	4	0.27	 	1509	95.87	 	65	4.13	 	1574	2.28
Belmont		                                    	12	1.12	 	439	40.88	 	1	0.09	 	9	0.84	 	15	1.4	 	18	1.68	 	427	39.76	 	44	4.1	 	109	10.15	 	0	0	 	1074	94.54	 	62	5.46	 	1136	1.64
Bentley		                                    	10	0.96	 	402	38.62	 	0	0	 	12	1.15	 	8	0.77	 	22	2.11	 	407	39.1	 	66	6.34	 	113	10.85	 	1	0.1	 	1041	91.96	 	91	8.04	 	1132	1.64
Bentley South		                              	17	1.83	 	253	27.18	 	0	0	 	13	1.4	 	10	1.07	 	11	1.18	 	479	51.45	 	41	4.4	 	102	10.96	 	5	0.54	 	931	95.49	 	44	4.51	 	975	1.41
Bentley West		                               	12	1.22	 	359	36.41	 	1	0.1	 	7	0.71	 	6	0.61	 	10	1.01	 	449	45.54	 	42	4.26	 	96	9.74	 	4	0.41	 	986	94.35	 	59	5.65	 	1045	1.51
Bunbury Central (Swan)		                     	1	1.47	 	35	51.47	 	0	0	 	0	0	 	0	0	 	0	0	 	19	27.94	 	6	8.82	 	6	8.82	 	1	1.47	 	68	97.14	 	2	2.86	 	70	0.1
Busselton (Swan)		                           	1	0.75	 	64	48.12	 	1	0.75	 	0	0	 	1	0.75	 	2	1.5	 	42	31.58	 	7	5.26	 	15	11.28	 	0	0	 	133	94.33	 	8	5.67	 	141	0.2
Busselton West (Swan)		                      	0	0	 	29	61.7	 	0	0	 	0	0	 	0	0	 	1	2.13	 	7	14.89	 	5	10.64	 	5	10.64	 	0	0	 	47	95.92	 	2	4.08	 	49	0.07
Cannington		                                 	13	0.98	 	499	37.49	 	1	0.08	 	14	1.05	 	5	0.38	 	18	1.35	 	556	41.77	 	90	6.76	 	129	9.69	 	6	0.45	 	1331	93.73	 	89	6.27	 	1420	2.06
Cannington East		                            	19	1.09	 	644	36.91	 	1	0.06	 	13	0.74	 	6	0.34	 	29	1.66	 	753	43.15	 	83	4.76	 	194	11.12	 	3	0.17	 	1745	92.67	 	138	7.33	 	1883	2.73
Carlisle		                                   	11	1.14	 	356	36.85	 	1	0.1	 	7	0.72	 	5	0.52	 	11	1.14	 	402	41.61	 	59	6.11	 	111	11.49	 	3	0.31	 	966	91.48	 	90	8.52	 	1056	1.53
Cloverdale		                                 	21	1.39	 	512	34	 	2	0.13	 	7	0.46	 	6	0.4	 	27	1.79	 	718	47.68	 	55	3.65	 	153	10.16	 	5	0.33	 	1506	94.07	 	95	5.93	 	1601	2.32
Cloverdale North		                           	30	1.33	 	706	31.27	 	3	0.13	 	9	0.4	 	18	0.8	 	33	1.46	 	1076	47.65	 	114	5.05	 	258	11.43	 	11	0.49	 	2258	92.31	 	188	7.69	 	2446	3.54
Cloverdale West		                            	23	1.17	 	647	32.93	 	2	0.1	 	14	0.71	 	10	0.51	 	26	1.32	 	897	45.65	 	98	4.99	 	243	12.37	 	5	0.25	 	1965	94.97	 	104	5.03	 	2069	2.99
Como		                                       	21	0.85	 	1346	54.76	 	5	0.2	 	9	0.37	 	44	1.79	 	18	0.73	 	602	24.49	 	113	4.6	 	296	12.04	 	4	0.16	 	2458	97.39	 	66	2.61	 	2524	3.65
Como North		                                 	10	0.75	 	690	51.42	 	4	0.3	 	7	0.52	 	10	0.75	 	11	0.82	 	332	24.74	 	88	6.56	 	185	13.79	 	5	0.37	 	1342	96.69	 	46	3.31	 	1388	2.01
Como South		                                 	10	1.07	 	551	59.18	 	1	0.11	 	5	0.54	 	11	1.18	 	3	0.32	 	196	21.05	 	37	3.97	 	115	12.35	 	2	0.21	 	931	95.39	 	45	4.61	 	976	1.41
Dunsborough (Swan)		                         	0	0	 	70	64.22	 	0	0	 	1	0.92	 	0	0	 	3	2.75	 	17	15.6	 	4	3.67	 	13	11.93	 	1	0.92	 	109	100	 	0	0	 	109	0.16
Falcon (Swan)		                              	2	2.67	 	36	48	 	0	0	 	0	0	 	0	0	 	3	4	 	22	29.33	 	4	5.33	 	8	10.67	 	0	0	 	75	97.4	 	2	2.6	 	77	0.11
Kensington		                                 	16	0.87	 	819	44.63	 	2	0.11	 	12	0.65	 	12	0.65	 	10	0.54	 	577	31.44	 	151	8.23	 	230	12.53	 	6	0.33	 	1835	96.17	 	73	3.83	 	1908	2.76
Kewdale		                                    	23	1.31	 	681	38.8	 	3	0.17	 	7	0.4	 	7	0.4	 	33	1.88	 	738	42.05	 	69	3.93	 	189	10.77	 	5	0.28	 	1755	94.25	 	107	5.75	 	1862	2.7
Kewdale West		                               	33	1.26	 	1038	39.77	 	1	0.04	 	13	0.5	 	20	0.77	 	26	1	 	1071	41.03	 	120	4.6	 	276	10.57	 	12	0.46	 	2610	94.53	 	151	5.47	 	2761	4
Lancelin (Swan)		                            	0	0	 	23	40.35	 	0	0	 	0	0	 	0	0	 	0	0	 	24	42.11	 	3	5.26	 	4	7.02	 	3	5.26	 	57	98.28	 	1	1.72	 	58	0.08
Lathlain		                                   	17	1.05	 	683	42.34	 	1	0.06	 	7	0.43	 	10	0.62	 	30	1.86	 	573	35.52	 	103	6.39	 	182	11.28	 	7	0.43	 	1613	96.01	 	67	3.99	 	1680	2.43
Mandurah Central (Swan)		                    	2	2.35	 	45	52.94	 	0	0	 	0	0	 	0	0	 	1	1.18	 	29	34.12	 	2	2.35	 	4	4.71	 	2	2.35	 	85	97.7	 	2	2.3	 	87	0.13
Manning		                                    	23	0.78	 	1559	52.54	 	2	0.07	 	13	0.44	 	46	1.55	 	24	0.81	 	845	28.48	 	144	4.85	 	301	10.14	 	10	0.34	 	2967	96.14	 	119	3.86	 	3086	4.47
Manning North		                              	18	1.42	 	465	36.64	 	2	0.16	 	8	0.63	 	9	0.71	 	19	1.5	 	553	43.58	 	72	5.67	 	118	9.3	 	5	0.39	 	1269	96.72	 	43	3.28	 	1312	1.9
Margaret River (Swan)		                      	0	0	 	40	39.22	 	0	0	 	0	0	 	2	1.96	 	0	0	 	32	31.37	 	14	13.73	 	14	13.73	 	0	0	 	102	100	 	0	0	 	102	0.15
Millen		                                     	11	0.87	 	423	33.52	 	2	0.16	 	10	0.79	 	6	0.48	 	26	2.06	 	518	41.05	 	109	8.64	 	154	12.2	 	3	0.24	 	1262	96.48	 	46	3.52	 	1308	1.89
Nannup (Swan)		                              	3	6.12	 	20	40.82	 	0	0	 	0	0	 	0	0	 	0	0	 	8	16.33	 	14	28.57	 	4	8.16	 	0	0	 	49	98	 	1	2	 	50	0.07
Perth (Swan)		                               	3	1.54	 	67	34.36	 	1	0.51	 	4	2.05	 	3	1.54	 	2	1.03	 	68	34.87	 	21	10.77	 	26	13.33	 	0	0	 	195	97.01	 	6	2.99	 	201	0.29
Perth Domestic Airport		                     	0	0	 	10	37.04	 	0	0	 	0	0	 	0	0	 	0	0	 	10	37.04	 	2	7.41	 	5	18.52	 	0	0	 	27	100	 	0	0	 	27	0.04
Perth International Airport		                	0	0	 	15	38.46	 	0	0	 	0	0	 	1	2.56	 	0	0	 	18	46.15	 	4	10.26	 	1	2.56	 	0	0	 	39	100	 	0	0	 	39	0.06
Queens Park		                                	17	1.54	 	362	32.85	 	0	0	 	8	0.73	 	11	1	 	10	0.91	 	530	48.09	 	34	3.09	 	126	11.43	 	4	0.36	 	1102	91.53	 	102	8.47	 	1204	1.74
Redcliffe		                                  	12	1.29	 	382	41.12	 	4	0.43	 	7	0.75	 	2	0.22	 	26	2.8	 	366	39.4	 	29	3.12	 	100	10.76	 	1	0.11	 	929	94.31	 	56	5.69	 	985	1.43
Rivervale		                                  	10	1.38	 	286	39.5	 	2	0.28	 	5	0.69	 	6	0.83	 	13	1.8	 	305	42.13	 	32	4.42	 	64	8.84	 	1	0.14	 	724	93.66	 	49	6.34	 	773	1.12
Rivervale North		                            	19	1.22	 	559	35.88	 	3	0.19	 	15	0.96	 	12	0.77	 	24	1.54	 	666	42.75	 	81	5.2	 	178	11.42	 	1	0.06	 	1558	94.37	 	93	5.63	 	1651	2.39
Rottnest (Swan)		                            	0	0	 	83	70.94	 	0	0	 	0	0	 	0	0	 	2	1.71	 	19	16.24	 	5	4.27	 	8	6.84	 	0	0	 	117	99.15	 	1	0.85	 	118	0.17
Rowethorpe		                                 	8	2.62	 	197	64.59	 	1	0.33	 	2	0.66	 	5	1.64	 	2	0.66	 	65	21.31	 	8	2.62	 	17	5.57	 	0	0	 	305	94.14	 	19	5.86	 	324	0.47
South Perth		                                	13	0.7	 	1112	59.69	 	2	0.11	 	3	0.16	 	21	1.13	 	19	1.02	 	355	19.06	 	121	6.49	 	211	11.33	 	6	0.32	 	1863	97.59	 	46	2.41	 	1909	2.76
South Perth Central		                        	19	0.73	 	1492	57.08	 	5	0.19	 	12	0.46	 	66	2.52	 	22	0.84	 	551	21.08	 	161	6.16	 	278	10.64	 	8	0.31	 	2614	97.43	 	69	2.57	 	2683	3.88
South Perth Zoo		                            	13	0.99	 	785	59.88	 	2	0.15	 	5	0.38	 	16	1.22	 	12	0.92	 	301	22.96	 	52	3.97	 	122	9.31	 	3	0.23	 	1311	96.54	 	47	3.46	 	1358	1.97
Swan Cottage Homes		                         	10	1.65	 	349	57.5	 	1	0.16	 	4	0.66	 	4	0.66	 	1	0.16	 	196	32.29	 	7	1.15	 	35	5.77	 	0	0	 	607	89.79	 	69	10.21	 	676	0.98
Victoria Park		                              	33	1.32	 	947	38.02	 	8	0.32	 	23	0.92	 	17	0.68	 	29	1.16	 	970	38.94	 	150	6.02	 	307	12.32	 	7	0.28	 	2491	95.77	 	110	4.23	 	2601	3.76
Victoria Park Central		                      	37	1.78	 	739	35.49	 	6	0.29	 	15	0.72	 	20	0.96	 	29	1.39	 	772	37.08	 	184	8.84	 	269	12.92	 	11	0.53	 	2082	95.59	 	96	4.41	 	2178	3.15
Victoria Park East		                         	25	1.39	 	673	37.35	 	2	0.11	 	10	0.55	 	20	1.11	 	29	1.61	 	649	36.02	 	151	8.38	 	237	13.15	 	6	0.33	 	1802	94.39	 	107	5.61	 	1909	2.76
Wilson		                                     	26	1.21	 	888	41.4	 	1	0.05	 	63	2.94	 	17	0.79	 	30	1.4	 	736	34.31	 	89	4.15	 	284	13.24	 	11	0.51	 	2145	95.76	 	95	4.24	 	2240	3.24
Yallingup (Swan)		                           	1	1.89	 	30	56.6	 	0	0	 	0	0	 	0	0	 	0	0	 	11	20.75	 	5	9.43	 	6	11.32	 	0	0	 	53	98.15	 	1	1.85	 	54	0.08
Special Hospitals		                          	10	1.14	 	521	59.61	 	2	0.23	 	2	0.23	 	5	0.57	 	6	0.69	 	271	31.01	 	13	1.49	 	43	4.92	 	1	0.11	 	874	91.9	 	77	8.1	 	951	1.38
Total Ordinary		                             	631	1.15	 	23461	42.72	 	79	0.14	 	395	0.72	 	511	0.93	 	697	1.27	 	19927	36.29	 	2976	5.42	 	6067	11.05	 	173	0.32	 	54917	95.07	 	2849	4.93	 	57766	83.61
ABSENT		                                     	83	1.53	 	2182	40.17	 	11	0.2	 	46	0.85	 	88	1.62	 	68	1.25	 	1892	34.83	 	487	8.97	 	566	10.42	 	9	0.17	 	5432	97.31	 	150	2.69	 	5582	8.08
POSTAL		                                     	27	1.4	 	907	46.97	 	2	0.1	 	15	0.78	 	13	0.67	 	30	1.55	 	685	35.47	 	81	4.19	 	169	8.75	 	2	0.1	 	1931	97.82	 	43	2.18	 	1974	2.86
PRE_POLL		                                   	38	1.41	 	1263	46.71	 	4	0.15	 	17	0.63	 	29	1.07	 	25	0.92	 	875	32.36	 	151	5.58	 	292	10.8	 	10	0.37	 	2704	98.4	 	44	1.6	 	2748	3.98
PROVISIONAL		                                	14	1.42	 	357	36.28	 	3	0.3	 	2	0.2	 	7	0.71	 	16	1.63	 	383	38.92	 	91	9.25	 	108	10.98	 	3	0.3	 	984	96.85	 	32	3.15	 	1016	1.47
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	793	1.2	 	28170	42.7	 	99	0.15	 	475	0.72	 	648	0.98	 	836	1.27	 	23762	36.02	 	3786	5.74	 	7202	10.92	 	197	0.3	 	65968	95.49	 	3118	4.51	 	69086	95.34
 																																								


Tangney (73081)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Applecross		                                 	22	0.69	 	2053	64.28	 	1	0.03	 	12	0.38	 	50	1.57	 	38	1.19	 	497	15.56	 	164	5.13	 	351	10.99	 	6	0.19	 	3194	97.5	 	82	2.5	 	3276	4.64
Ardross		                                    	2	0.3	 	411	62.37	 	1	0.15	 	6	0.91	 	7	1.06	 	4	0.61	 	137	20.79	 	18	2.73	 	71	10.77	 	2	0.3	 	659	96.49	 	24	3.51	 	683	0.97
Ardross West		                               	18	1.19	 	843	55.79	 	0	0	 	11	0.73	 	11	0.73	 	15	0.99	 	352	23.3	 	89	5.89	 	168	11.12	 	4	0.26	 	1511	97.23	 	43	2.77	 	1554	2.2
Bateman		                                    	13	0.67	 	987	50.72	 	0	0	 	7	0.36	 	12	0.62	 	22	1.13	 	534	27.44	 	116	5.96	 	252	12.95	 	3	0.15	 	1946	97.79	 	44	2.21	 	1990	2.82
Booragoon		                                  	23	1.01	 	1300	57.14	 	2	0.09	 	13	0.57	 	20	0.88	 	12	0.53	 	543	23.87	 	101	4.44	 	254	11.16	 	7	0.31	 	2275	97.01	 	70	2.99	 	2345	3.32
Brentwood		                                  	27	1	 	1537	57.12	 	4	0.15	 	9	0.33	 	66	2.45	 	31	1.15	 	589	21.89	 	127	4.72	 	294	10.93	 	7	0.26	 	2691	97.36	 	73	2.64	 	2764	3.92
Bull Creek		                                 	12	0.65	 	1031	55.7	 	0	0	 	10	0.54	 	10	0.54	 	22	1.19	 	461	24.91	 	82	4.43	 	223	12.05	 	0	0	 	1851	97.78	 	42	2.22	 	1893	2.68
Bull Creek East		                            	10	0.7	 	745	52.5	 	1	0.07	 	17	1.2	 	12	0.85	 	16	1.13	 	379	26.71	 	69	4.86	 	163	11.49	 	7	0.49	 	1419	98.2	 	26	1.8	 	1445	2.05
Bull Creek North		                           	8	0.66	 	747	61.63	 	1	0.08	 	5	0.41	 	17	1.4	 	16	1.32	 	292	24.09	 	31	2.56	 	91	7.51	 	4	0.33	 	1212	96.88	 	39	3.12	 	1251	1.77
Bunbury Central (Tangney)		                  	1	1.2	 	47	56.63	 	0	0	 	2	2.41	 	0	0	 	0	0	 	21	25.3	 	5	6.02	 	7	8.43	 	0	0	 	83	98.81	 	1	1.19	 	84	0.12
Busselton (Tangney)		                        	1	0.56	 	113	63.84	 	0	0	 	0	0	 	4	2.26	 	1	0.56	 	25	14.12	 	6	3.39	 	26	14.69	 	1	0.56	 	177	99.44	 	1	0.56	 	178	0.25
Busselton West (Tangney)		                   	1	1.11	 	45	50	 	0	0	 	1	1.11	 	0	0	 	0	0	 	28	31.11	 	6	6.67	 	8	8.89	 	1	1.11	 	90	98.9	 	1	1.1	 	91	0.13
Dunsborough (Tangney)		                      	0	0	 	129	65.48	 	0	0	 	1	0.51	 	0	0	 	1	0.51	 	35	17.77	 	6	3.05	 	25	12.69	 	0	0	 	197	98.99	 	2	1.01	 	199	0.28
Falcon (Tangney)		                           	3	2.24	 	84	62.69	 	0	0	 	0	0	 	0	0	 	3	2.24	 	21	15.67	 	6	4.48	 	16	11.94	 	1	0.75	 	134	100	 	0	0	 	134	0.19
Ferndale		                                   	7	0.77	 	427	46.82	 	0	0	 	10	1.1	 	6	0.66	 	11	1.21	 	313	34.32	 	40	4.39	 	97	10.64	 	1	0.11	 	912	96.61	 	32	3.39	 	944	1.34
Ferndale East		                              	16	1.02	 	613	38.95	 	2	0.13	 	25	1.59	 	7	0.44	 	17	1.08	 	589	37.42	 	67	4.26	 	234	14.87	 	4	0.25	 	1574	96.45	 	58	3.55	 	1632	2.31
Kardinya (Tangney)		                         	27	1.17	 	1051	45.7	 	2	0.09	 	10	0.43	 	14	0.61	 	25	1.09	 	814	35.39	 	129	5.61	 	223	9.7	 	5	0.22	 	2300	97.01	 	71	2.99	 	2371	3.36
Lancelin (Tangney)		                         	2	2.9	 	40	57.97	 	0	0	 	0	0	 	2	2.9	 	3	4.35	 	10	14.49	 	4	5.8	 	8	11.59	 	0	0	 	69	97.18	 	2	2.82	 	71	0.1
Langford (Tangney)		                         	41	1.96	 	552	26.35	 	0	0	 	14	0.67	 	9	0.43	 	13	0.62	 	1178	56.23	 	64	3.05	 	220	10.5	 	4	0.19	 	2095	95.14	 	107	4.86	 	2202	3.12
Leeming		                                    	15	0.66	 	1163	51.32	 	0	0	 	14	0.62	 	13	0.57	 	13	0.57	 	674	29.74	 	108	4.77	 	263	11.61	 	3	0.13	 	2266	98.35	 	38	1.65	 	2304	3.26
Leeming East		                               	10	0.63	 	890	56.15	 	2	0.13	 	11	0.69	 	6	0.38	 	10	0.63	 	427	26.94	 	44	2.78	 	183	11.55	 	2	0.13	 	1585	97.84	 	35	2.16	 	1620	2.3
Leeming West		                               	11	0.55	 	1084	54.61	 	2	0.1	 	12	0.6	 	16	0.81	 	18	0.91	 	543	27.36	 	56	2.82	 	239	12.04	 	4	0.2	 	1985	98.71	 	26	1.29	 	2011	2.85
Lynwood		                                    	11	0.84	 	560	42.98	 	0	0	 	8	0.61	 	6	0.46	 	8	0.61	 	459	35.23	 	74	5.68	 	172	13.2	 	5	0.38	 	1303	97.09	 	39	2.91	 	1342	1.9
Mandurah Central (Tangney)		                 	0	0	 	86	67.19	 	0	0	 	0	0	 	0	0	 	0	0	 	24	18.75	 	4	3.13	 	14	10.94	 	0	0	 	128	96.24	 	5	3.76	 	133	0.19
Margaret River (Tangney)		                   	2	1.57	 	70	55.12	 	0	0	 	0	0	 	1	0.79	 	2	1.57	 	14	11.02	 	17	13.39	 	21	16.54	 	0	0	 	127	97.69	 	3	2.31	 	130	0.18
Mount Pleasant		                             	17	0.65	 	1604	61.48	 	1	0.04	 	18	0.69	 	42	1.61	 	38	1.46	 	450	17.25	 	142	5.44	 	293	11.23	 	4	0.15	 	2609	96.77	 	87	3.23	 	2696	3.82
Nannup (Tangney)		                           	0	0	 	12	30.77	 	0	0	 	0	0	 	1	2.56	 	2	5.13	 	10	25.64	 	7	17.95	 	7	17.95	 	0	0	 	39	97.5	 	1	2.5	 	40	0.06
North Lake		                                 	5	0.73	 	312	45.75	 	1	0.15	 	3	0.44	 	5	0.73	 	9	1.32	 	220	32.26	 	32	4.69	 	94	13.78	 	1	0.15	 	682	97.15	 	20	2.85	 	702	0.99
Parkwood		                                   	29	0.76	 	1466	38.44	 	3	0.08	 	32	0.84	 	21	0.55	 	35	0.92	 	1657	43.45	 	121	3.17	 	441	11.56	 	9	0.24	 	3814	97.05	 	116	2.95	 	3930	5.57
Perth (Tangney)		                            	2	1.56	 	68	53.13	 	0	0	 	0	0	 	1	0.78	 	0	0	 	42	32.81	 	7	5.47	 	7	5.47	 	1	0.78	 	128	98.46	 	2	1.54	 	130	0.18
Riverton		                                   	13	0.6	 	1072	49.63	 	0	0	 	20	0.93	 	12	0.56	 	26	1.2	 	578	26.76	 	133	6.16	 	303	14.03	 	3	0.14	 	2160	97.21	 	62	2.79	 	2222	3.15
Rossmoyne		                                  	15	0.79	 	1125	59.4	 	2	0.11	 	14	0.74	 	31	1.64	 	18	0.95	 	368	19.43	 	84	4.44	 	234	12.35	 	3	0.16	 	1894	97.53	 	48	2.47	 	1942	2.75
Rottnest (Tangney)		                         	0	0	 	111	62.71	 	0	0	 	1	0.56	 	1	0.56	 	0	0	 	36	20.34	 	12	6.78	 	15	8.47	 	1	0.56	 	177	97.79	 	4	2.21	 	181	0.26
Shelley		                                    	17	1.12	 	844	55.6	 	3	0.2	 	14	0.92	 	19	1.25	 	16	1.05	 	301	19.83	 	67	4.41	 	233	15.35	 	4	0.26	 	1518	96.38	 	57	3.62	 	1575	2.23
Willetton		                                  	13	0.43	 	1527	50.11	 	2	0.07	 	36	1.18	 	26	0.85	 	41	1.35	 	835	27.4	 	172	5.64	 	384	12.6	 	11	0.36	 	3047	97.32	 	84	2.68	 	3131	4.44
Willetton East		                             	16	0.51	 	1380	43.95	 	4	0.13	 	20	0.64	 	15	0.48	 	21	0.67	 	1128	35.92	 	144	4.59	 	409	13.03	 	3	0.1	 	3140	97.52	 	80	2.48	 	3220	4.56
Willetton North		                            	9	1.21	 	406	54.72	 	2	0.27	 	14	1.89	 	3	0.4	 	13	1.75	 	197	26.55	 	28	3.77	 	68	9.16	 	2	0.27	 	742	96.11	 	30	3.89	 	772	1.09
Willetton South		                            	9	0.3	 	1521	50.18	 	1	0.03	 	26	0.86	 	16	0.53	 	15	0.49	 	875	28.87	 	163	5.38	 	398	13.13	 	7	0.23	 	3031	97.43	 	80	2.57	 	3111	4.41
Winthrop		                                   	19	0.54	 	1942	55.61	 	2	0.06	 	17	0.49	 	17	0.49	 	24	0.69	 	971	27.81	 	133	3.81	 	356	10.19	 	11	0.32	 	3492	98.64	 	48	1.36	 	3540	5.02
