Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
ABSENT		                                     	67	1.15	  	14	0.24	  	14	0.24	  	0	0	  	9	0.15	  	8	0.14	  	10	0.17	  	2843	48.69	  	6	0.1	  	2	0.03	  	492	8.43	  	1584	27.13	  	329	5.63	  	10	0.17	  	14	0.24	  	1	0.02	  	2	0.03	  	2	0.03	  	2	0.03	  	117	2	  	136	2.33	  	172	2.95	  	5	0.09	  	5839	97.4	  	156	2.6	  	5995	7.75
POSTAL		                                     	15	0.56	  	4	0.15	  	6	0.22	  	0	0	  	3	0.11	  	5	0.19	  	1	0.04	  	1412	52.35	  	0	0	  	1	0.04	  	256	9.49	  	687	25.47	  	148	5.49	  	2	0.07	  	15	0.56	  	0	0	  	2	0.07	  	1	0.04	  	0	0	  	39	1.45	  	21	0.78	  	72	2.67	  	7	0.26	  	2697	98.9	  	30	1.1	  	2727	3.52
PRE_POLL		                                   	30	0.95	  	4	0.13	  	7	0.22	  	2	0.06	  	6	0.19	  	10	0.32	  	5	0.16	  	1702	54.12	  	9	0.29	  	5	0.16	  	244	7.76	  	727	23.12	  	153	4.86	  	4	0.13	  	11	0.35	  	0	0	  	3	0.1	  	1	0.03	  	0	0	  	60	1.91	  	39	1.24	  	116	3.69	  	7	0.22	  	3145	98.13	  	60	1.87	  	3205	4.14
PROVISIONAL		                                	17	2.03	  	1	0.12	  	0	0	  	1	0.12	  	1	0.12	  	2	0.24	  	2	0.24	  	549	65.51	  	4	0.48	  	0	0	  	23	2.74	  	142	16.95	  	18	2.15	  	0	0	  	2	0.24	  	0	0	  	1	0.12	  	0	0	  	0	0	  	14	1.67	  	18	2.15	  	42	5.01	  	1	0.12	  	838	92.9	  	64	7.1	  	902	1.17
Division Summary		                           	838	1.14	  	95	0.13	  	101	0.14	  	35	0.05	  	96	0.13	  	127	0.17	  	95	0.13	  	40463	55.08	  	115	0.16	  	49	0.07	  	5302	7.22	  	16902	23.01	  	3068	4.18	  	152	0.21	  	156	0.21	  	17	0.02	  	28	0.04	  	16	0.02	  	11	0.01	  	1104	1.5	  	889	1.21	  	3708	5.05	  	90	0.12	  	73457	94.93	  	3927	5.07	  	77384	93.65


Richmond (87997)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alstonville		                                	13	0.45	  	0	0	  	7	0.24	  	0	0	  	11	0.38	  	3	0.1	  	0	0	  	758	26.4	  	5	0.17	  	1	0.03	  	260	9.06	  	1333	46.43	  	264	9.2	  	6	0.21	  	3	0.1	  	0	0	  	0	0	  	0	0	  	2	0.07	  	139	4.84	  	55	1.92	  	10	0.35	  	1	0.03	  	2871	97.65	  	69	2.35	  	2940	3.52
Ballina		                                    	33	0.9	  	2	0.05	  	5	0.14	  	0	0	  	9	0.25	  	7	0.19	  	2	0.05	  	1385	37.73	  	3	0.08	  	0	0	  	398	10.84	  	1364	37.16	  	235	6.4	  	12	0.33	  	6	0.16	  	0	0	  	0	0	  	0	0	  	0	0	  	94	2.56	  	103	2.81	  	11	0.3	  	2	0.05	  	3671	96.12	  	148	3.88	  	3819	4.57
Ballina East		                               	10	0.47	  	1	0.05	  	3	0.14	  	0	0	  	4	0.19	  	2	0.09	  	1	0.05	  	695	32.91	  	2	0.09	  	1	0.05	  	173	8.19	  	944	44.7	  	174	8.24	  	5	0.24	  	5	0.24	  	0	0	  	0	0	  	0	0	  	0	0	  	28	1.33	  	59	2.79	  	5	0.24	  	0	0	  	2112	98.78	  	26	1.22	  	2138	2.56
Ballina Hospital		                           	23	1.16	  	0	0	  	4	0.2	  	0	0	  	9	0.45	  	3	0.15	  	0	0	  	679	34.19	  	2	0.1	  	0	0	  	235	11.83	  	803	40.43	  	115	5.79	  	8	0.4	  	3	0.15	  	0	0	  	0	0	  	0	0	  	0	0	  	42	2.11	  	54	2.72	  	6	0.3	  	0	0	  	1986	96.27	  	77	3.73	  	2063	2.47
Ballina West		                               	11	0.77	  	0	0	  	1	0.07	  	1	0.07	  	2	0.14	  	2	0.14	  	0	0	  	531	36.95	  	5	0.35	  	2	0.14	  	171	11.9	  	591	41.13	  	69	4.8	  	3	0.21	  	1	0.07	  	0	0	  	0	0	  	0	0	  	0	0	  	24	1.67	  	18	1.25	  	4	0.28	  	1	0.07	  	1437	96.38	  	54	3.62	  	1491	1.78
Bangalow		                                   	4	0.38	  	0	0	  	5	0.48	  	0	0	  	4	0.38	  	1	0.1	  	1	0.1	  	351	33.65	  	0	0	  	0	0	  	80	7.67	  	350	33.56	  	143	13.71	  	2	0.19	  	1	0.1	  	0	0	  	2	0.19	  	0	0	  	0	0	  	14	1.34	  	78	7.48	  	7	0.67	  	0	0	  	1043	97.84	  	23	2.16	  	1066	1.28
Banora Point		                               	21	0.7	  	7	0.23	  	5	0.17	  	0	0	  	2	0.07	  	1	0.03	  	0	0	  	929	31.17	  	0	0	  	3	0.1	  	371	12.45	  	1341	45	  	186	6.24	  	6	0.2	  	2	0.07	  	1	0.03	  	0	0	  	0	0	  	0	0	  	41	1.38	  	59	1.98	  	4	0.13	  	1	0.03	  	2980	97.07	  	90	2.93	  	3070	3.67
Banora Point South		                         	21	1.27	  	5	0.3	  	5	0.3	  	0	0	  	3	0.18	  	2	0.12	  	0	0	  	656	39.54	  	0	0	  	0	0	  	200	12.06	  	630	37.97	  	91	5.49	  	3	0.18	  	2	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	15	0.9	  	21	1.27	  	5	0.3	  	0	0	  	1659	96.96	  	52	3.04	  	1711	2.05
Banora Point West		                          	13	1.09	  	3	0.25	  	3	0.25	  	0	0	  	0	0	  	5	0.42	  	0	0	  	394	33.11	  	1	0.08	  	0	0	  	146	12.27	  	519	43.61	  	74	6.22	  	4	0.34	  	1	0.08	  	0	0	  	0	0	  	0	0	  	0	0	  	9	0.76	  	15	1.26	  	2	0.17	  	1	0.08	  	1190	97.14	  	35	2.86	  	1225	1.47
Bilambil		                                   	6	0.42	  	0	0	  	1	0.07	  	0	0	  	1	0.07	  	4	0.28	  	0	0	  	503	35.57	  	1	0.07	  	0	0	  	179	12.66	  	552	39.04	  	116	8.2	  	1	0.07	  	1	0.07	  	0	0	  	0	0	  	0	0	  	0	0	  	13	0.92	  	34	2.4	  	2	0.14	  	0	0	  	1414	97.32	  	39	2.68	  	1453	1.74
Billinudgel		                                	4	0.82	  	2	0.41	  	2	0.41	  	0	0	  	1	0.2	  	1	0.2	  	0	0	  	183	37.5	  	0	0	  	0	0	  	48	9.84	  	163	33.4	  	43	8.81	  	2	0.41	  	0	0	  	0	0	  	1	0.2	  	0	0	  	0	0	  	5	1.02	  	32	6.56	  	1	0.2	  	0	0	  	488	98.19	  	9	1.81	  	497	0.59
Bray Park		                                  	2	0.18	  	0	0	  	1	0.09	  	0	0	  	1	0.09	  	1	0.09	  	0	0	  	384	34.32	  	1	0.09	  	3	0.27	  	134	11.97	  	457	40.84	  	66	5.9	  	1	0.09	  	1	0.09	  	0	0	  	0	0	  	0	0	  	0	0	  	18	1.61	  	48	4.29	  	1	0.09	  	0	0	  	1119	98.24	  	20	1.76	  	1139	1.36
Brunswick Heads		                            	8	0.51	  	1	0.06	  	3	0.19	  	0	0	  	3	0.19	  	0	0	  	2	0.13	  	662	42.01	  	7	0.44	  	0	0	  	181	11.48	  	428	27.16	  	155	9.84	  	2	0.13	  	1	0.06	  	0	0	  	0	0	  	0	0	  	0	0	  	21	1.33	  	100	6.35	  	2	0.13	  	0	0	  	1576	97.52	  	40	2.48	  	1616	1.93
Burringbar		                                 	3	0.59	  	2	0.39	  	1	0.2	  	0	0	  	0	0	  	0	0	  	0	0	  	201	39.33	  	2	0.39	  	1	0.2	  	60	11.74	  	140	27.4	  	48	9.39	  	3	0.59	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	0.98	  	40	7.83	  	5	0.98	  	0	0	  	511	98.08	  	10	1.92	  	521	0.62
Byron Bay		                                  	9	0.42	  	3	0.14	  	10	0.47	  	0	0	  	27	1.27	  	3	0.14	  	1	0.05	  	826	38.93	  	2	0.09	  	0	0	  	109	5.14	  	460	21.68	  	316	14.89	  	4	0.19	  	3	0.14	  	0	0	  	1	0.05	  	0	0	  	0	0	  	15	0.71	  	322	15.17	  	8	0.38	  	3	0.14	  	2122	98.61	  	30	1.39	  	2152	2.57
Byron Bay South		                            	8	0.47	  	0	0	  	4	0.23	  	0	0	  	19	1.11	  	2	0.12	  	0	0	  	634	36.9	  	0	0	  	0	0	  	91	5.3	  	469	27.3	  	258	15.02	  	6	0.35	  	2	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	10	0.58	  	199	11.58	  	12	0.7	  	4	0.23	  	1718	98.23	  	31	1.77	  	1749	2.09
Cabarita Beach		                             	15	1.02	  	0	0	  	3	0.2	  	1	0.07	  	2	0.14	  	4	0.27	  	0	0	  	691	47.04	  	1	0.07	  	0	0	  	166	11.3	  	416	28.32	  	103	7.01	  	1	0.07	  	2	0.14	  	0	0	  	1	0.07	  	0	0	  	0	0	  	19	1.29	  	39	2.65	  	5	0.34	  	0	0	  	1469	97.03	  	45	2.97	  	1514	1.81
Carool		                                     	0	0	  	0	0	  	2	1.74	  	0	0	  	1	0.87	  	0	0	  	0	0	  	30	26.09	  	0	0	  	0	0	  	25	21.74	  	46	40	  	6	5.22	  	1	0.87	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	2.61	  	1	0.87	  	0	0	  	115	97.46	  	3	2.54	  	118	0.14
Chillingham		                                	1	0.37	  	0	0	  	1	0.37	  	0	0	  	0	0	  	0	0	  	0	0	  	57	21.27	  	0	0	  	0	0	  	55	20.52	  	96	35.82	  	21	7.84	  	1	0.37	  	1	0.37	  	0	0	  	0	0	  	1	0.37	  	0	0	  	1	0.37	  	33	12.31	  	0	0	  	0	0	  	268	96.4	  	10	3.6	  	278	0.33
Chinderah		                                  	16	1.82	  	0	0	  	2	0.23	  	0	0	  	1	0.11	  	3	0.34	  	0	0	  	402	45.73	  	1	0.11	  	0	0	  	146	16.61	  	248	28.21	  	37	4.21	  	1	0.11	  	2	0.23	  	1	0.11	  	0	0	  	0	0	  	0	0	  	5	0.57	  	13	1.48	  	1	0.11	  	0	0	  	879	96.91	  	28	3.09	  	907	1.09
Condong		                                    	7	0.89	  	2	0.25	  	2	0.25	  	0	0	  	1	0.13	  	0	0	  	0	0	  	237	30.04	  	1	0.13	  	0	0	  	126	15.97	  	328	41.57	  	47	5.96	  	4	0.51	  	2	0.25	  	0	0	  	0	0	  	0	0	  	0	0	  	11	1.39	  	17	2.15	  	3	0.38	  	1	0.13	  	789	98.26	  	14	1.74	  	803	0.96
Coorabell		                                  	0	0	  	1	0.7	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	37	25.87	  	0	0	  	0	0	  	16	11.19	  	48	33.57	  	22	15.38	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	19	13.29	  	0	0	  	0	0	  	143	99.31	  	1	0.69	  	144	0.17
Crabbes Creek		                              	5	2.54	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	59	29.95	  	0	0	  	0	0	  	29	14.72	  	69	35.03	  	21	10.66	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.02	  	11	5.58	  	1	0.51	  	0	0	  	197	95.17	  	10	4.83	  	207	0.25
Crystal Creek		                              	6	2.52	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.42	  	0	0	  	64	26.89	  	1	0.42	  	0	0	  	43	18.07	  	85	35.71	  	18	7.56	  	1	0.42	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.42	  	17	7.14	  	1	0.42	  	0	0	  	238	97.54	  	6	2.46	  	244	0.29
Cudgen		                                     	2	0.44	  	0	0	  	2	0.44	  	0	0	  	0	0	  	0	0	  	0	0	  	167	37.11	  	1	0.22	  	0	0	  	57	12.67	  	171	38	  	30	6.67	  	0	0	  	0	0	  	0	0	  	1	0.22	  	0	0	  	0	0	  	7	1.56	  	10	2.22	  	2	0.44	  	0	0	  	450	98.25	  	8	1.75	  	458	0.55
Dungay		                                     	0	0	  	1	0.36	  	1	0.36	  	0	0	  	0	0	  	2	0.72	  	0	0	  	61	21.86	  	0	0	  	0	0	  	41	14.7	  	130	46.59	  	26	9.32	  	1	0.36	  	1	0.36	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.08	  	12	4.3	  	0	0	  	0	0	  	279	97.55	  	7	2.45	  	286	0.34
Duranbah		                                   	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	22	22.22	  	0	0	  	0	0	  	24	24.24	  	45	45.45	  	5	5.05	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	2.02	  	1	1.01	  	0	0	  	0	0	  	99	100	  	0	0	  	99	0.12
Durrumbul		                                  	3	2.1	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	55	38.46	  	0	0	  	0	0	  	8	5.59	  	43	30.07	  	9	6.29	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.7	  	21	14.69	  	1	0.7	  	2	1.4	  	143	98.62	  	2	1.38	  	145	0.17
Empire Vale		                                	1	0.49	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.49	  	59	28.78	  	0	0	  	0	0	  	43	20.98	  	76	37.07	  	15	7.32	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	3.9	  	2	0.98	  	0	0	  	0	0	  	205	98.09	  	4	1.91	  	209	0.25
Eureka		                                     	1	0.48	  	0	0	  	0	0	  	0	0	  	1	0.48	  	0	0	  	0	0	  	45	21.43	  	0	0	  	0	0	  	14	6.67	  	103	49.05	  	24	11.43	  	1	0.48	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	10	4.76	  	10	4.76	  	0	0	  	1	0.48	  	210	100	  	0	0	  	210	0.25
Ewingsdale		                                 	2	0.55	  	0	0	  	1	0.28	  	2	0.55	  	1	0.28	  	0	0	  	0	0	  	108	29.83	  	0	0	  	0	0	  	26	7.18	  	124	34.25	  	60	16.57	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	1.38	  	30	8.29	  	3	0.83	  	0	0	  	362	98.1	  	7	1.9	  	369	0.44
Federal		                                    	3	0.84	  	0	0	  	1	0.28	  	1	0.28	  	2	0.56	  	0	0	  	0	0	  	129	35.93	  	0	0	  	0	0	  	21	5.85	  	80	22.28	  	63	17.55	  	1	0.28	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	7	1.95	  	50	13.93	  	1	0.28	  	0	0	  	359	98.36	  	6	1.64	  	365	0.44
Fernleigh		                                  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	61	27.23	  	1	0.45	  	0	0	  	28	12.5	  	81	36.16	  	36	16.07	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	2.23	  	12	5.36	  	0	0	  	0	0	  	224	96.97	  	7	3.03	  	231	0.28
Fingal Head		                                	1	0.34	  	0	0	  	1	0.34	  	0	0	  	0	0	  	1	0.34	  	0	0	  	119	40.75	  	0	0	  	0	0	  	40	13.7	  	76	26.03	  	30	10.27	  	1	0.34	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	2.05	  	13	4.45	  	3	1.03	  	1	0.34	  	292	95.74	  	13	4.26	  	305	0.36
Goonengerry		                                	1	0.74	  	0	0	  	1	0.74	  	0	0	  	1	0.74	  	0	0	  	1	0.74	  	47	34.81	  	0	0	  	0	0	  	7	5.19	  	18	13.33	  	34	25.19	  	2	1.48	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	22	16.3	  	1	0.74	  	0	0	  	135	98.54	  	2	1.46	  	137	0.16
Hastings Point		                             	5	1.4	  	0	0	  	0	0	  	0	0	  	1	0.28	  	0	0	  	0	0	  	147	41.06	  	0	0	  	0	0	  	59	16.48	  	112	31.28	  	21	5.87	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.56	  	10	2.79	  	1	0.28	  	0	0	  	358	95.72	  	16	4.28	  	374	0.45
Kingscliff		                                 	14	0.57	  	0	0	  	4	0.16	  	0	0	  	4	0.16	  	4	0.16	  	2	0.08	  	982	40.05	  	0	0	  	0	0	  	279	11.38	  	874	35.64	  	191	7.79	  	7	0.29	  	3	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	20	0.82	  	65	2.65	  	3	0.12	  	0	0	  	2452	96.84	  	80	3.16	  	2532	3.03
Kunghur		                                    	1	0.58	  	0	0	  	1	0.58	  	0	0	  	0	0	  	1	0.58	  	0	0	  	51	29.48	  	0	0	  	0	0	  	30	17.34	  	51	29.48	  	14	8.09	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	3.47	  	18	10.4	  	0	0	  	0	0	  	173	97.19	  	5	2.81	  	178	0.21
Lennox Head		                                	17	0.77	  	1	0.05	  	13	0.59	  	0	0	  	11	0.5	  	1	0.05	  	1	0.05	  	719	32.73	  	4	0.18	  	0	0	  	179	8.15	  	871	39.64	  	219	9.97	  	8	0.36	  	3	0.14	  	0	0	  	1	0.05	  	0	0	  	0	0	  	21	0.96	  	119	5.42	  	7	0.32	  	2	0.09	  	2197	97.95	  	46	2.05	  	2243	2.68
Mcleans Ridges		                             	1	1.41	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	17	23.94	  	0	0	  	0	0	  	7	9.86	  	34	47.89	  	5	7.04	  	1	1.41	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	8.45	  	0	0	  	0	0	  	0	0	  	71	98.61	  	1	1.39	  	72	0.09
Main Arm Upper		                             	0	0	  	0	0	  	0	0	  	0	0	  	2	2.02	  	0	0	  	0	0	  	44	44.44	  	0	0	  	0	0	  	5	5.05	  	18	18.18	  	18	18.18	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	12	12.12	  	0	0	  	0	0	  	99	95.19	  	5	4.81	  	104	0.12
Meerschaum Vale		                            	1	0.4	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	72	28.92	  	0	0	  	0	0	  	26	10.44	  	88	35.34	  	30	12.05	  	1	0.4	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	19	7.63	  	11	4.42	  	0	0	  	1	0.4	  	249	98.81	  	3	1.19	  	252	0.3
Mooball		                                    	7	3.2	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	80	36.53	  	0	0	  	0	0	  	31	14.16	  	79	36.07	  	11	5.02	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.46	  	10	4.57	  	0	0	  	0	0	  	219	95.22	  	11	4.78	  	230	0.28
Mullumbimby		                                	14	0.58	  	1	0.04	  	6	0.25	  	0	0	  	15	0.63	  	1	0.04	  	1	0.04	  	824	34.33	  	1	0.04	  	1	0.04	  	233	9.71	  	723	30.13	  	285	11.88	  	10	0.42	  	4	0.17	  	0	0	  	1	0.04	  	0	0	  	0	0	  	34	1.42	  	240	10	  	5	0.21	  	1	0.04	  	2400	96.77	  	80	3.23	  	2480	2.97
Murwillumbah		                               	22	0.89	  	3	0.12	  	4	0.16	  	2	0.08	  	2	0.08	  	3	0.12	  	1	0.04	  	928	37.71	  	3	0.12	  	0	0	  	292	11.87	  	828	33.64	  	189	7.68	  	12	0.49	  	2	0.08	  	0	0	  	0	0	  	0	0	  	0	0	  	79	3.21	  	81	3.29	  	8	0.33	  	2	0.08	  	2461	97.54	  	62	2.46	  	2523	3.02
Murwillumbah South		                         	8	0.83	  	1	0.1	  	1	0.1	  	0	0	  	0	0	  	3	0.31	  	0	0	  	330	34.38	  	1	0.1	  	0	0	  	156	16.25	  	373	38.85	  	53	5.52	  	1	0.1	  	1	0.1	  	1	0.1	  	0	0	  	0	0	  	0	0	  	14	1.46	  	14	1.46	  	3	0.31	  	0	0	  	960	96.39	  	36	3.61	  	996	1.19
Newrybar		                                   	2	0.43	  	0	0	  	0	0	  	0	0	  	2	0.43	  	1	0.22	  	0	0	  	138	29.81	  	1	0.22	  	0	0	  	41	8.86	  	170	36.72	  	65	14.04	  	1	0.22	  	1	0.22	  	0	0	  	0	0	  	0	0	  	0	0	  	20	4.32	  	20	4.32	  	0	0	  	1	0.22	  	463	98.72	  	6	1.28	  	469	0.56
Ocean Shores		                               	21	1.27	  	3	0.18	  	5	0.3	  	0	0	  	8	0.48	  	2	0.12	  	0	0	  	681	41.1	  	2	0.12	  	2	0.12	  	136	8.21	  	485	29.27	  	180	10.86	  	7	0.42	  	3	0.18	  	0	0	  	0	0	  	0	0	  	1	0.06	  	14	0.84	  	103	6.22	  	3	0.18	  	1	0.06	  	1657	98.57	  	24	1.43	  	1681	2.01
Piggabeen		                                  	3	0.55	  	0	0	  	2	0.37	  	0	0	  	1	0.18	  	0	0	  	0	0	  	173	31.74	  	0	0	  	0	0	  	100	18.35	  	226	41.47	  	34	6.24	  	1	0.18	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.55	  	2	0.37	  	0	0	  	0	0	  	545	97.67	  	13	2.33	  	558	0.67
Pimlico		                                    	2	1.27	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	32	20.38	  	2	1.27	  	0	0	  	34	21.66	  	74	47.13	  	8	5.1	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.91	  	0	0	  	2	1.27	  	0	0	  	157	100	  	0	0	  	157	0.19
Pottsville Beach		                           	17	1.19	  	0	0	  	4	0.28	  	1	0.07	  	2	0.14	  	1	0.07	  	1	0.07	  	605	42.25	  	0	0	  	1	0.07	  	157	10.96	  	457	31.91	  	101	7.05	  	2	0.14	  	3	0.21	  	0	0	  	0	0	  	0	0	  	0	0	  	19	1.33	  	57	3.98	  	4	0.28	  	0	0	  	1432	97.48	  	37	2.52	  	1469	1.76
Rous		                                       	1	0.27	  	0	0	  	2	0.54	  	0	0	  	1	0.27	  	1	0.27	  	0	0	  	57	15.36	  	0	0	  	0	0	  	41	11.05	  	202	54.45	  	44	11.86	  	2	0.54	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	12	3.23	  	7	1.89	  	1	0.27	  	0	0	  	371	97.89	  	8	2.11	  	379	0.45
Stokers Siding		                             	1	0.39	  	0	0	  	1	0.39	  	0	0	  	0	0	  	1	0.39	  	0	0	  	85	33.2	  	2	0.78	  	0	0	  	33	12.89	  	80	31.25	  	28	10.94	  	1	0.39	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.78	  	19	7.42	  	2	0.78	  	1	0.39	  	256	95.88	  	11	4.12	  	267	0.32
Sydney (Richmond)		                          	1	5	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	10	50	  	0	0	  	0	0	  	0	0	  	3	15	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	30	  	0	0	  	0	0	  	20	95.24	  	1	4.76	  	21	0.03
Terranora		                                  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.09	  	1	0.09	  	0	0	  	327	28.86	  	0	0	  	0	0	  	125	11.03	  	536	47.31	  	86	7.59	  	1	0.09	  	1	0.09	  	0	0	  	0	0	  	0	0	  	0	0	  	20	1.77	  	33	2.91	  	1	0.09	  	1	0.09	  	1133	98.87	  	13	1.13	  	1146	1.37
Tintenbar		                                  	0	0	  	0	0	  	2	0.48	  	0	0	  	0	0	  	0	0	  	1	0.24	  	124	29.74	  	0	0	  	0	0	  	47	11.27	  	170	40.77	  	56	13.43	  	1	0.24	  	1	0.24	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.24	  	13	3.12	  	1	0.24	  	0	0	  	417	98.35	  	7	1.65	  	424	0.51
Tumbulgum		                                  	4	1.1	  	0	0	  	1	0.27	  	0	0	  	1	0.27	  	2	0.55	  	0	0	  	128	35.16	  	2	0.55	  	0	0	  	52	14.29	  	122	33.52	  	25	6.87	  	1	0.27	  	1	0.27	  	0	0	  	0	0	  	0	0	  	0	0	  	5	1.37	  	16	4.4	  	3	0.82	  	1	0.27	  	364	97.33	  	10	2.67	  	374	0.45
Tweed Heads		                                	25	0.86	  	3	0.1	  	6	0.21	  	1	0.03	  	5	0.17	  	2	0.07	  	1	0.03	  	1143	39.13	  	0	0	  	1	0.03	  	415	14.21	  	1028	35.19	  	150	5.14	  	5	0.17	  	2	0.07	  	0	0	  	0	0	  	0	0	  	0	0	  	45	1.54	  	78	2.67	  	10	0.34	  	1	0.03	  	2921	96.79	  	97	3.21	  	3018	3.61
Tweed Heads Central		                        	19	0.69	  	0	0	  	7	0.25	  	0	0	  	1	0.04	  	3	0.11	  	1	0.04	  	985	35.62	  	4	0.14	  	2	0.07	  	394	14.25	  	1074	38.84	  	161	5.82	  	4	0.14	  	2	0.07	  	1	0.04	  	2	0.07	  	1	0.04	  	0	0	  	25	0.9	  	72	2.6	  	6	0.22	  	1	0.04	  	2765	95.94	  	117	4.06	  	2882	3.45
Tweed Heads South		                          	46	1.51	  	3	0.1	  	3	0.1	  	0	0	  	6	0.2	  	4	0.13	  	0	0	  	1341	43.97	  	2	0.07	  	0	0	  	504	16.52	  	898	29.44	  	149	4.89	  	4	0.13	  	5	0.16	  	1	0.03	  	0	0	  	1	0.03	  	1	0.03	  	34	1.11	  	42	1.38	  	5	0.16	  	1	0.03	  	3050	96.64	  	106	3.36	  	3156	3.78
