Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Rottnest (Stirling)		                        	1	1.89	  	1	1.89	  	0	0	  	0	0	  	25	47.17	  	0	0	  	0	0	  	0	0	  	0	0	  	19	35.85	  	0	0	  	0	0	  	5	9.43	  	0	0	  	0	0	  	2	3.77	  	0	0	  	0	0	  	53	96.36	  	2	3.64	  	55	0.07
Scarborough		                                	66	7.63	  	2	0.23	  	3	0.35	  	2	0.23	  	350	40.46	  	1	0.12	  	0	0	  	0	0	  	1	0.12	  	254	29.36	  	7	0.81	  	6	0.69	  	68	7.86	  	3	0.35	  	0	0	  	100	11.56	  	2	0.23	  	0	0	  	865	97.41	  	23	2.59	  	888	1.09
Scarborough Central (Stirling)		             	61	7	  	1	0.11	  	2	0.23	  	3	0.34	  	394	45.18	  	0	0	  	2	0.23	  	2	0.23	  	1	0.11	  	254	29.13	  	6	0.69	  	2	0.23	  	56	6.42	  	0	0	  	2	0.23	  	86	9.86	  	0	0	  	0	0	  	872	97.54	  	22	2.46	  	894	1.1
Sorrento (Stirling)		                        	55	5.97	  	2	0.22	  	3	0.33	  	3	0.33	  	489	53.04	  	0	0	  	2	0.22	  	0	0	  	1	0.11	  	217	23.54	  	4	0.43	  	7	0.76	  	57	6.18	  	2	0.22	  	0	0	  	80	8.68	  	0	0	  	0	0	  	922	98.4	  	15	1.6	  	937	1.15
Sorrento Beach (Stirling)		                  	89	7.42	  	2	0.17	  	0	0	  	2	0.17	  	639	53.29	  	0	0	  	3	0.25	  	2	0.17	  	1	0.08	  	259	21.6	  	3	0.25	  	5	0.42	  	85	7.09	  	5	0.42	  	0	0	  	104	8.67	  	0	0	  	0	0	  	1199	97.72	  	28	2.28	  	1227	1.51
Trigg		                                      	48	4.66	  	4	0.39	  	4	0.39	  	1	0.1	  	559	54.32	  	0	0	  	1	0.1	  	1	0.1	  	1	0.1	  	211	20.51	  	6	0.58	  	7	0.68	  	98	9.52	  	4	0.39	  	0	0	  	83	8.07	  	1	0.1	  	0	0	  	1029	98.09	  	20	1.91	  	1049	1.29
Tuart Hill		                                 	125	5.59	  	4	0.18	  	6	0.27	  	5	0.22	  	802	35.85	  	2	0.09	  	7	0.31	  	6	0.27	  	1	0.04	  	972	43.45	  	8	0.36	  	16	0.72	  	113	5.05	  	0	0	  	3	0.13	  	166	7.42	  	1	0.04	  	0	0	  	2237	95.11	  	115	4.89	  	2352	2.89
Westminster		                                	238	11.33	  	17	0.81	  	5	0.24	  	2	0.1	  	442	21.05	  	2	0.1	  	5	0.24	  	7	0.33	  	4	0.19	  	1174	55.9	  	6	0.29	  	14	0.67	  	98	4.67	  	3	0.14	  	5	0.24	  	74	3.52	  	3	0.14	  	1	0.05	  	2100	93.62	  	143	6.38	  	2243	2.76
Yokine		                                     	96	6.11	  	5	0.32	  	4	0.25	  	4	0.25	  	587	37.34	  	1	0.06	  	5	0.32	  	3	0.19	  	2	0.13	  	600	38.17	  	6	0.38	  	8	0.51	  	101	6.42	  	4	0.25	  	0	0	  	145	9.22	  	0	0	  	1	0.06	  	1572	96.21	  	62	3.79	  	1634	2.01
Yokine North		                               	110	7.93	  	3	0.22	  	3	0.22	  	2	0.14	  	557	40.13	  	2	0.14	  	3	0.22	  	1	0.07	  	0	0	  	505	36.38	  	10	0.72	  	10	0.72	  	74	5.33	  	5	0.36	  	2	0.14	  	99	7.13	  	1	0.07	  	1	0.07	  	1388	94.23	  	85	5.77	  	1473	1.81
Yokine West		                                	89	5.74	  	3	0.19	  	2	0.13	  	3	0.19	  	670	43.23	  	2	0.13	  	4	0.26	  	5	0.32	  	3	0.19	  	570	36.77	  	4	0.26	  	9	0.58	  	69	4.45	  	1	0.06	  	1	0.06	  	115	7.42	  	0	0	  	0	0	  	1550	94.98	  	82	5.02	  	1632	2.01
Special Hospitals		                          	20	5.21	  	1	0.26	  	0	0	  	0	0	  	212	55.21	  	0	0	  	0	0	  	0	0	  	1	0.26	  	130	33.85	  	0	0	  	2	0.52	  	8	2.08	  	0	0	  	0	0	  	10	2.6	  	0	0	  	0	0	  	384	94.81	  	21	5.19	  	405	0.5
Total Ordinary		                             	4942	7.5	  	166	0.25	  	133	0.2	  	106	0.16	  	25242	38.28	  	36	0.05	  	175	0.27	  	116	0.18	  	87	0.13	  	25800	39.13	  	265	0.4	  	399	0.61	  	3570	5.41	  	135	0.2	  	69	0.1	  	4631	7.02	  	50	0.08	  	12	0.02	  	65934	96.2	  	2605	3.8	  	68539	84.3
ABSENT		                                     	436	7.11	  	22	0.36	  	21	0.34	  	11	0.18	  	2324	37.91	  	4	0.07	  	18	0.29	  	13	0.21	  	8	0.13	  	2237	36.49	  	27	0.44	  	50	0.82	  	537	8.76	  	11	0.18	  	2	0.03	  	396	6.46	  	10	0.16	  	3	0.05	  	6130	98.25	  	109	1.75	  	6239	7.67
POSTAL		                                     	247	9.3	  	6	0.23	  	10	0.38	  	8	0.3	  	1152	43.37	  	0	0	  	4	0.15	  	3	0.11	  	7	0.26	  	935	35.2	  	9	0.34	  	20	0.75	  	105	3.95	  	6	0.23	  	8	0.3	  	128	4.82	  	8	0.3	  	0	0	  	2656	99.33	  	18	0.67	  	2674	3.29
PRE_POLL		                                   	230	7.17	  	10	0.31	  	16	0.5	  	9	0.28	  	1378	42.93	  	1	0.03	  	6	0.19	  	8	0.25	  	2	0.06	  	1104	34.39	  	16	0.5	  	23	0.72	  	179	5.58	  	2	0.06	  	3	0.09	  	220	6.85	  	3	0.09	  	0	0	  	3210	98.71	  	42	1.29	  	3252	4
PROVISIONAL		                                	41	7.07	  	6	1.03	  	3	0.52	  	0	0	  	164	28.28	  	0	0	  	1	0.17	  	2	0.34	  	1	0.17	  	279	48.1	  	1	0.17	  	3	0.52	  	45	7.76	  	1	0.17	  	0	0	  	33	5.69	  	0	0	  	0	0	  	580	96.67	  	20	3.33	  	600	0.74
Division Summary		                           	5896	7.51	  	210	0.27	  	183	0.23	  	134	0.17	  	30260	38.54	  	41	0.05	  	204	0.26	  	142	0.18	  	105	0.13	  	30355	38.66	  	318	0.41	  	495	0.63	  	4436	5.65	  	155	0.2	  	82	0.1	  	5408	6.89	  	71	0.09	  	15	0.02	  	78510	96.56	  	2794	3.44	  	81304	95.92


Swan (83576)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beckenham		                                  	408	13.62	  	13	0.43	  	10	0.33	  	11	0.37	  	857	28.6	  	1	0.03	  	6	0.2	  	7	0.23	  	7	0.23	  	1306	43.59	  	15	0.5	  	52	1.74	  	129	4.31	  	3	0.1	  	25	0.83	  	144	4.81	  	2	0.07	  	0	0	  	2996	97.05	  	91	2.95	  	3087	3.87
Belmont		                                    	138	10.67	  	9	0.7	  	4	0.31	  	2	0.15	  	413	31.94	  	0	0	  	3	0.23	  	2	0.15	  	5	0.39	  	552	42.69	  	2	0.15	  	16	1.24	  	57	4.41	  	0	0	  	3	0.23	  	83	6.42	  	2	0.15	  	2	0.15	  	1293	95.71	  	58	4.29	  	1351	1.69
Bentley		                                    	109	9.45	  	3	0.26	  	4	0.35	  	1	0.09	  	361	31.28	  	0	0	  	3	0.26	  	1	0.09	  	2	0.17	  	496	42.98	  	4	0.35	  	17	1.47	  	65	5.63	  	1	0.09	  	2	0.17	  	85	7.37	  	0	0	  	0	0	  	1154	93.97	  	74	6.03	  	1228	1.54
Bentley South		                              	99	8.75	  	0	0	  	4	0.35	  	3	0.27	  	264	23.32	  	3	0.27	  	4	0.35	  	2	0.18	  	2	0.18	  	603	53.27	  	5	0.44	  	27	2.39	  	44	3.89	  	0	0	  	3	0.27	  	68	6.01	  	1	0.09	  	0	0	  	1132	97.25	  	32	2.75	  	1164	1.46
Bentley West		                               	63	7.13	  	2	0.23	  	6	0.68	  	1	0.11	  	258	29.19	  	2	0.23	  	2	0.23	  	1	0.11	  	0	0	  	443	50.11	  	2	0.23	  	10	1.13	  	45	5.09	  	1	0.11	  	2	0.23	  	44	4.98	  	2	0.23	  	0	0	  	884	95.57	  	41	4.43	  	925	1.16
Broome (Swan)		                              	6	17.65	  	0	0	  	0	0	  	0	0	  	11	32.35	  	0	0	  	0	0	  	0	0	  	0	0	  	10	29.41	  	0	0	  	0	0	  	6	17.65	  	0	0	  	0	0	  	1	2.94	  	0	0	  	0	0	  	34	91.89	  	3	8.11	  	37	0.05
Cannington		                                 	159	10.59	  	3	0.2	  	4	0.27	  	2	0.13	  	483	32.16	  	0	0	  	3	0.2	  	5	0.33	  	1	0.07	  	647	43.08	  	5	0.33	  	22	1.46	  	69	4.59	  	1	0.07	  	2	0.13	  	92	6.13	  	3	0.2	  	1	0.07	  	1502	95.24	  	75	4.76	  	1577	1.98
Cannington East		                            	238	12.04	  	8	0.4	  	3	0.15	  	2	0.1	  	545	27.58	  	1	0.05	  	3	0.15	  	7	0.35	  	1	0.05	  	930	47.06	  	9	0.46	  	31	1.57	  	82	4.15	  	3	0.15	  	4	0.2	  	106	5.36	  	1	0.05	  	2	0.1	  	1976	95.78	  	87	4.22	  	2063	2.58
Carlisle		                                   	131	11.53	  	4	0.35	  	4	0.35	  	2	0.18	  	338	29.75	  	0	0	  	3	0.26	  	4	0.35	  	2	0.18	  	503	44.28	  	8	0.7	  	12	1.06	  	61	5.37	  	3	0.26	  	1	0.09	  	58	5.11	  	2	0.18	  	0	0	  	1136	96.03	  	47	3.97	  	1183	1.48
Carnarvon (Swan)		                           	2	8.7	  	0	0	  	0	0	  	0	0	  	7	30.43	  	0	0	  	0	0	  	0	0	  	0	0	  	11	47.83	  	1	4.35	  	0	0	  	0	0	  	0	0	  	0	0	  	2	8.7	  	0	0	  	0	0	  	23	95.83	  	1	4.17	  	24	0.03
Cloverdale		                                 	123	12.6	  	9	0.92	  	3	0.31	  	3	0.31	  	251	25.72	  	0	0	  	0	0	  	2	0.2	  	3	0.31	  	469	48.05	  	4	0.41	  	9	0.92	  	35	3.59	  	3	0.31	  	2	0.2	  	59	6.05	  	1	0.1	  	0	0	  	976	97.11	  	29	2.89	  	1005	1.26
Cloverdale North		                           	408	14.48	  	7	0.25	  	12	0.43	  	4	0.14	  	735	26.09	  	1	0.04	  	9	0.32	  	4	0.14	  	8	0.28	  	1299	46.11	  	14	0.5	  	13	0.46	  	130	4.61	  	3	0.11	  	4	0.14	  	163	5.79	  	1	0.04	  	2	0.07	  	2817	95.95	  	119	4.05	  	2936	3.68
Cloverdale West		                            	251	8.88	  	4	0.14	  	6	0.21	  	4	0.14	  	728	25.75	  	1	0.04	  	8	0.28	  	4	0.14	  	6	0.21	  	1432	50.65	  	11	0.39	  	37	1.31	  	149	5.27	  	7	0.25	  	1	0.04	  	174	6.15	  	3	0.11	  	1	0.04	  	2827	95.57	  	131	4.43	  	2958	3.71
Como		                                       	151	5.66	  	7	0.26	  	16	0.6	  	4	0.15	  	1408	52.81	  	1	0.04	  	9	0.34	  	8	0.3	  	4	0.15	  	618	23.18	  	9	0.34	  	19	0.71	  	152	5.7	  	6	0.23	  	2	0.08	  	249	9.34	  	1	0.04	  	2	0.08	  	2666	98.52	  	40	1.48	  	2706	3.39
Como North		                                 	66	4.61	  	4	0.28	  	2	0.14	  	3	0.21	  	683	47.7	  	0	0	  	5	0.35	  	0	0	  	0	0	  	405	28.28	  	8	0.56	  	6	0.42	  	93	6.49	  	7	0.49	  	4	0.28	  	142	9.92	  	2	0.14	  	2	0.14	  	1432	97.48	  	37	2.52	  	1469	1.84
Como South		                                 	51	4.88	  	4	0.38	  	4	0.38	  	1	0.1	  	561	53.63	  	0	0	  	3	0.29	  	0	0	  	2	0.19	  	242	23.14	  	1	0.1	  	15	1.43	  	59	5.64	  	6	0.57	  	0	0	  	95	9.08	  	1	0.1	  	1	0.1	  	1046	97.03	  	32	2.97	  	1078	1.35
Exmouth (Swan)		                             	3	11.54	  	0	0	  	0	0	  	0	0	  	13	50	  	0	0	  	0	0	  	0	0	  	0	0	  	9	34.62	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	3.85	  	0	0	  	0	0	  	26	100	  	0	0	  	26	0.03
Guildford (Swan)		                           	37	7.91	  	1	0.21	  	1	0.21	  	0	0	  	185	39.53	  	0	0	  	1	0.21	  	2	0.43	  	2	0.43	  	166	35.47	  	1	0.21	  	1	0.21	  	32	6.84	  	0	0	  	0	0	  	38	8.12	  	0	0	  	1	0.21	  	468	97.91	  	10	2.09	  	478	0.6
Hazelmere		                                  	90	12.02	  	5	0.67	  	5	0.67	  	1	0.13	  	277	36.98	  	0	0	  	1	0.13	  	1	0.13	  	0	0	  	268	35.78	  	2	0.27	  	6	0.8	  	32	4.27	  	5	0.67	  	3	0.4	  	52	6.94	  	0	0	  	1	0.13	  	749	98.55	  	11	1.45	  	760	0.95
High Wycombe		                               	414	13.26	  	15	0.48	  	12	0.38	  	4	0.13	  	1039	33.28	  	3	0.1	  	1	0.03	  	3	0.1	  	8	0.26	  	1219	39.05	  	16	0.51	  	40	1.28	  	148	4.74	  	2	0.06	  	1	0.03	  	191	6.12	  	3	0.1	  	3	0.1	  	3122	97.11	  	93	2.89	  	3215	4.03
High Wycombe South		                         	174	12.18	  	7	0.49	  	2	0.14	  	4	0.28	  	488	34.17	  	0	0	  	2	0.14	  	0	0	  	2	0.14	  	567	39.71	  	4	0.28	  	21	1.47	  	55	3.85	  	3	0.21	  	4	0.28	  	91	6.37	  	3	0.21	  	1	0.07	  	1428	98.08	  	28	1.92	  	1456	1.82
Kalbarri (Swan)		                            	4	8.51	  	0	0	  	0	0	  	0	0	  	14	29.79	  	0	0	  	0	0	  	0	0	  	0	0	  	17	36.17	  	0	0	  	2	4.26	  	6	12.77	  	0	0	  	0	0	  	4	8.51	  	0	0	  	0	0	  	47	95.92	  	2	4.08	  	49	0.06
Kensington		                                 	95	5.11	  	4	0.22	  	6	0.32	  	2	0.11	  	793	42.63	  	0	0	  	7	0.38	  	3	0.16	  	4	0.22	  	569	30.59	  	6	0.32	  	10	0.54	  	134	7.2	  	3	0.16	  	5	0.27	  	216	11.61	  	1	0.05	  	2	0.11	  	1860	97.18	  	54	2.82	  	1914	2.4
Kewdale		                                    	212	14.49	  	6	0.41	  	1	0.07	  	3	0.21	  	406	27.75	  	2	0.14	  	3	0.21	  	1	0.07	  	0	0	  	662	45.25	  	4	0.27	  	18	1.23	  	65	4.44	  	1	0.07	  	4	0.27	  	73	4.99	  	1	0.07	  	1	0.07	  	1463	95.19	  	74	4.81	  	1537	1.93
Kewdale West		                               	287	10.74	  	13	0.49	  	9	0.34	  	7	0.26	  	856	32.02	  	0	0	  	5	0.19	  	8	0.3	  	7	0.26	  	1117	41.79	  	9	0.34	  	28	1.05	  	146	5.46	  	11	0.41	  	4	0.15	  	161	6.02	  	5	0.19	  	0	0	  	2673	95.77	  	118	4.23	  	2791	3.5
Lathlain		                                   	166	9.42	  	5	0.28	  	8	0.45	  	3	0.17	  	633	35.93	  	2	0.11	  	4	0.23	  	2	0.11	  	1	0.06	  	675	38.31	  	5	0.28	  	8	0.45	  	106	6.02	  	0	0	  	2	0.11	  	139	7.89	  	2	0.11	  	1	0.06	  	1762	96.44	  	65	3.56	  	1827	2.29
Manning		                                    	200	6.79	  	2	0.07	  	9	0.31	  	3	0.1	  	1450	49.22	  	1	0.03	  	9	0.31	  	1	0.03	  	7	0.24	  	856	29.06	  	9	0.31	  	26	0.88	  	139	4.72	  	8	0.27	  	6	0.2	  	218	7.4	  	2	0.07	  	0	0	  	2946	97.65	  	71	2.35	  	3017	3.78
Manning North		                              	115	8.73	  	4	0.3	  	5	0.38	  	2	0.15	  	442	33.54	  	3	0.23	  	3	0.23	  	0	0	  	4	0.3	  	547	41.5	  	9	0.68	  	6	0.46	  	62	4.7	  	2	0.15	  	0	0	  	113	8.57	  	1	0.08	  	0	0	  	1318	97.99	  	27	2.01	  	1345	1.69
Millen		                                     	122	9.52	  	1	0.08	  	2	0.16	  	1	0.08	  	387	30.21	  	2	0.16	  	3	0.23	  	2	0.16	  	3	0.23	  	503	39.27	  	5	0.39	  	9	0.7	  	121	9.45	  	1	0.08	  	2	0.16	  	113	8.82	  	2	0.16	  	2	0.16	  	1281	97.19	  	37	2.81	  	1318	1.65
Perth (Swan)		                               	13	6.31	  	2	0.97	  	0	0	  	1	0.49	  	51	24.76	  	0	0	  	4	1.94	  	1	0.49	  	0	0	  	93	45.15	  	3	1.46	  	1	0.49	  	16	7.77	  	0	0	  	0	0	  	21	10.19	  	0	0	  	0	0	  	206	98.56	  	3	1.44	  	209	0.26
Perth Domestic Airport		                     	8	15.09	  	0	0	  	0	0	  	0	0	  	27	50.94	  	0	0	  	0	0	  	0	0	  	0	0	  	11	20.75	  	1	1.89	  	1	1.89	  	2	3.77	  	0	0	  	0	0	  	3	5.66	  	0	0	  	0	0	  	53	98.15	  	1	1.85	  	54	0.07
Perth International Airport		                	4	6.06	  	0	0	  	0	0	  	0	0	  	24	36.36	  	0	0	  	0	0	  	0	0	  	1	1.52	  	22	33.33	  	2	3.03	  	1	1.52	  	8	12.12	  	0	0	  	0	0	  	4	6.06	  	0	0	  	0	0	  	66	100	  	0	0	  	66	0.08
Queens Park		                                	125	10.55	  	2	0.17	  	5	0.42	  	0	0	  	307	25.91	  	0	0	  	2	0.17	  	5	0.42	  	1	0.08	  	600	50.63	  	5	0.42	  	11	0.93	  	58	4.89	  	2	0.17	  	1	0.08	  	58	4.89	  	2	0.17	  	1	0.08	  	1185	94.8	  	65	5.2	  	1250	1.57
Redcliffe		                                  	150	13.81	  	5	0.46	  	7	0.64	  	1	0.09	  	341	31.4	  	1	0.09	  	0	0	  	2	0.18	  	1	0.09	  	434	39.96	  	3	0.28	  	25	2.3	  	44	4.05	  	3	0.28	  	7	0.64	  	60	5.52	  	1	0.09	  	1	0.09	  	1086	96.45	  	40	3.55	  	1126	1.41
Rivervale		                                  	79	11.43	  	4	0.58	  	1	0.14	  	2	0.29	  	218	31.55	  	0	0	  	3	0.43	  	5	0.72	  	0	0	  	288	41.68	  	4	0.58	  	5	0.72	  	44	6.37	  	0	0	  	0	0	  	37	5.35	  	1	0.14	  	0	0	  	691	96.51	  	25	3.49	  	716	0.9
Rivervale North		                            	197	10.85	  	4	0.22	  	8	0.44	  	2	0.11	  	562	30.95	  	2	0.11	  	7	0.39	  	3	0.17	  	5	0.28	  	791	43.56	  	7	0.39	  	10	0.55	  	98	5.4	  	2	0.11	  	2	0.11	  	115	6.33	  	1	0.06	  	0	0	  	1816	94.98	  	96	5.02	  	1912	2.4
Rottnest (Swan)		                            	2	5.26	  	0	0	  	0	0	  	0	0	  	16	42.11	  	0	0	  	0	0	  	0	0	  	0	0	  	6	15.79	  	0	0	  	1	2.63	  	6	15.79	  	0	0	  	1	2.63	  	6	15.79	  	0	0	  	0	0	  	38	97.44	  	1	2.56	  	39	0.05
Rowethorpe		                                 	12	4.35	  	0	0	  	1	0.36	  	0	0	  	143	51.81	  	0	0	  	1	0.36	  	1	0.36	  	2	0.72	  	93	33.7	  	1	0.36	  	0	0	  	7	2.54	  	2	0.72	  	0	0	  	13	4.71	  	0	0	  	0	0	  	276	93.56	  	19	6.44	  	295	0.37
South Perth		                                	85	3.47	  	3	0.12	  	12	0.49	  	2	0.08	  	1421	57.95	  	0	0	  	10	0.41	  	1	0.04	  	5	0.2	  	520	21.21	  	9	0.37	  	10	0.41	  	171	6.97	  	6	0.24	  	4	0.16	  	193	7.87	  	0	0	  	0	0	  	2452	98.2	  	45	1.8	  	2497	3.13
South Perth Central		                        	127	4.83	  	5	0.19	  	6	0.23	  	7	0.27	  	1437	54.6	  	0	0	  	5	0.19	  	7	0.27	  	1	0.04	  	557	21.16	  	7	0.27	  	12	0.46	  	166	6.31	  	7	0.27	  	3	0.11	  	282	10.71	  	3	0.11	  	0	0	  	2632	97.81	  	59	2.19	  	2691	3.37
South Perth North		                          	49	6.19	  	2	0.25	  	5	0.63	  	5	0.63	  	464	58.59	  	0	0	  	1	0.13	  	3	0.38	  	0	0	  	172	21.72	  	4	0.51	  	3	0.38	  	28	3.54	  	2	0.25	  	8	1.01	  	46	5.81	  	0	0	  	0	0	  	792	97.3	  	22	2.7	  	814	1.02
Swan Cottage Homes		                         	50	8.25	  	0	0	  	2	0.33	  	0	0	  	302	49.83	  	2	0.33	  	0	0	  	0	0	  	0	0	  	205	33.83	  	0	0	  	3	0.5	  	11	1.82	  	1	0.17	  	1	0.17	  	29	4.79	  	0	0	  	0	0	  	606	94.25	  	37	5.75	  	643	0.81
Victoria Park		                              	156	6.09	  	4	0.16	  	10	0.39	  	8	0.31	  	923	36.04	  	1	0.04	  	9	0.35	  	5	0.2	  	7	0.27	  	941	36.74	  	8	0.31	  	33	1.29	  	188	7.34	  	2	0.08	  	6	0.23	  	260	10.15	  	0	0	  	0	0	  	2561	96.82	  	84	3.18	  	2645	3.31
Victoria Park Central		                      	152	6.21	  	7	0.29	  	5	0.2	  	3	0.12	  	807	32.99	  	1	0.04	  	12	0.49	  	5	0.2	  	6	0.25	  	923	37.74	  	11	0.45	  	6	0.25	  	241	9.85	  	3	0.12	  	6	0.25	  	256	10.47	  	1	0.04	  	1	0.04	  	2446	97.88	  	53	2.12	  	2499	3.13
Victoria Park East		                         	117	6.23	  	8	0.43	  	5	0.27	  	5	0.27	  	664	35.36	  	0	0	  	14	0.75	  	4	0.21	  	2	0.11	  	711	37.86	  	6	0.32	  	15	0.8	  	138	7.35	  	7	0.37	  	0	0	  	178	9.48	  	3	0.16	  	1	0.05	  	1878	96.36	  	71	3.64	  	1949	2.44
Wilson		                                     	173	8.09	  	5	0.23	  	7	0.33	  	3	0.14	  	767	35.86	  	0	0	  	9	0.42	  	1	0.05	  	5	0.23	  	813	38.01	  	8	0.37	  	78	3.65	  	98	4.58	  	0	0	  	3	0.14	  	168	7.85	  	0	0	  	1	0.05	  	2139	96.53	  	77	3.47	  	2216	2.78
Special Hospitals		                          	36	5.52	  	2	0.31	  	7	1.07	  	0	0	  	317	48.62	  	0	0	  	2	0.31	  	1	0.15	  	0	0	  	253	38.8	  	3	0.46	  	3	0.46	  	14	2.15	  	0	0	  	0	0	  	14	2.15	  	0	0	  	0	0	  	652	93.41	  	46	6.59	  	698	0.87
Total Ordinary		                             	5857	9.06	  	193	0.3	  	223	0.35	  	112	0.17	  	23677	36.64	  	30	0.05	  	179	0.28	  	114	0.18	  	117	0.18	  	24574	38.03	  	250	0.39	  	679	1.05	  	3560	5.51	  	117	0.18	  	128	0.2	  	4718	7.3	  	54	0.08	  	30	0.05	  	64612	96.66	  	2231	3.34	  	66843	83.75
ABSENT		                                     	523	9.14	  	16	0.28	  	47	0.82	  	9	0.16	  	2188	38.24	  	3	0.05	  	9	0.16	  	9	0.16	  	11	0.19	  	1821	31.82	  	35	0.61	  	69	1.21	  	526	9.19	  	7	0.12	  	2	0.03	  	440	7.69	  	3	0.05	  	4	0.07	  	5722	98.25	  	102	1.75	  	5824	7.3
POSTAL		                                     	273	9.86	  	10	0.36	  	25	0.9	  	3	0.11	  	1164	42.05	  	2	0.07	  	5	0.18	  	4	0.14	  	2	0.07	  	965	34.86	  	8	0.29	  	34	1.23	  	116	4.19	  	3	0.11	  	8	0.29	  	137	4.95	  	7	0.25	  	2	0.07	  	2768	98.4	  	45	1.6	  	2813	3.52
PRE_POLL		                                   	271	8.26	  	11	0.34	  	28	0.85	  	15	0.46	  	1303	39.71	  	0	0	  	17	0.52	  	11	0.34	  	5	0.15	  	1144	34.87	  	11	0.34	  	36	1.1	  	193	5.88	  	4	0.12	  	0	0	  	219	6.67	  	12	0.37	  	1	0.03	  	3281	98.77	  	41	1.23	  	3322	4.16
PROVISIONAL		                                	119	12.16	  	6	0.61	  	6	0.61	  	8	0.82	  	285	29.11	  	0	0	  	7	0.72	  	5	0.51	  	2	0.2	  	402	41.06	  	4	0.41	  	9	0.92	  	79	8.07	  	1	0.1	  	1	0.1	  	43	4.39	  	2	0.2	  	0	0	  	979	96.64	  	34	3.36	  	1013	1.27
Division Summary		                           	7043	9.1	  	236	0.31	  	329	0.43	  	147	0.19	  	28617	36.99	  	35	0.05	  	217	0.28	  	143	0.18	  	137	0.18	  	28906	37.36	  	308	0.4	  	827	1.07	  	4474	5.78	  	132	0.17	  	139	0.18	  	5557	7.18	  	78	0.1	  	37	0.05	  	77362	96.93	  	2453	3.07	  	79815	95.5


Tangney (83446)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Applecross		                                 	195	5.88	  	5	0.15	  	6	0.18	  	2	0.06	  	2033	61.35	  	2	0.06	  	10	0.3	  	1	0.03	  	2	0.06	  	505	15.24	  	13	0.39	  	30	0.91	  	162	4.89	  	19	0.57	  	6	0.18	  	321	9.69	  	1	0.03	  	1	0.03	  	3314	97.99	  	68	2.01	  	3382	4.22
Ardross		                                    	55	7.45	  	1	0.14	  	2	0.27	  	3	0.41	  	367	49.73	  	1	0.14	  	1	0.14	  	1	0.14	  	3	0.41	  	165	22.36	  	3	0.41	  	16	2.17	  	42	5.69	  	0	0	  	0	0	  	75	10.16	  	2	0.27	  	1	0.14	  	738	98.01	  	15	1.99	  	753	0.94
Ardross West		                               	62	5.19	  	1	0.08	  	0	0	  	1	0.08	  	622	52.05	  	1	0.08	  	8	0.67	  	1	0.08	  	1	0.08	  	306	25.61	  	4	0.33	  	6	0.5	  	73	6.11	  	4	0.33	  	2	0.17	  	103	8.62	  	0	0	  	0	0	  	1195	97.95	  	25	2.05	  	1220	1.52
