Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Hyde Park		                                  	7	0.49	  	2	0.14	  	251	17.65	  	19	1.34	  	45	3.16	  	0	0	  	1	0.07	  	0	0	  	2	0.14	  	14	0.98	  	464	32.63	  	575	40.44	  	1	0.07	  	7	0.49	  	1	0.07	  	27	1.9	  	1	0.07	  	2	0.14	  	1	0.07	  	1	0.07	  	1	0.07	  	1422	96.47	  	52	3.53	  	1474	1.84
Kew		                                        	3	0.1	  	3	0.1	  	519	17.17	  	57	1.89	  	149	4.93	  	2	0.07	  	5	0.17	  	1	0.03	  	5	0.17	  	26	0.86	  	948	31.36	  	1218	40.29	  	2	0.07	  	11	0.36	  	1	0.03	  	63	2.08	  	4	0.13	  	3	0.1	  	1	0.03	  	1	0.03	  	1	0.03	  	3023	96.3	  	116	3.7	  	3139	3.91
Kew East		                                   	4	0.29	  	2	0.15	  	256	18.6	  	11	0.8	  	34	2.47	  	1	0.07	  	0	0	  	0	0	  	0	0	  	7	0.51	  	432	31.4	  	600	43.6	  	1	0.07	  	2	0.15	  	0	0	  	22	1.6	  	0	0	  	4	0.29	  	0	0	  	0	0	  	0	0	  	1376	96.16	  	55	3.84	  	1431	1.78
Kew North		                                  	7	0.31	  	5	0.22	  	389	17.33	  	25	1.11	  	76	3.39	  	1	0.04	  	4	0.18	  	0	0	  	4	0.18	  	26	1.16	  	687	30.6	  	959	42.72	  	0	0	  	4	0.18	  	1	0.04	  	44	1.96	  	1	0.04	  	3	0.13	  	3	0.13	  	1	0.04	  	5	0.22	  	2245	96.02	  	93	3.98	  	2338	2.91
Kew South		                                  	5	0.22	  	1	0.04	  	416	17.99	  	20	0.86	  	119	5.14	  	0	0	  	5	0.22	  	0	0	  	1	0.04	  	19	0.82	  	516	22.31	  	1140	49.29	  	1	0.04	  	11	0.48	  	1	0.04	  	50	2.16	  	1	0.04	  	5	0.22	  	2	0.09	  	0	0	  	0	0	  	2313	97.88	  	50	2.12	  	2363	2.95
Melbourne (Kooyong)		                        	0	0	  	0	0	  	23	17.97	  	5	3.91	  	12	9.38	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.78	  	36	28.13	  	50	39.06	  	0	0	  	0	0	  	0	0	  	1	0.78	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	128	98.46	  	2	1.54	  	130	0.16
Studley Park		                               	3	0.21	  	3	0.21	  	252	17.97	  	15	1.07	  	42	3	  	1	0.07	  	1	0.07	  	1	0.07	  	2	0.14	  	9	0.64	  	283	20.19	  	758	54.07	  	2	0.14	  	2	0.14	  	2	0.14	  	20	1.43	  	3	0.21	  	3	0.21	  	0	0	  	0	0	  	0	0	  	1402	96.76	  	47	3.24	  	1449	1.81
Surrey Hills West		                          	5	0.39	  	1	0.08	  	276	21.58	  	7	0.55	  	60	4.69	  	0	0	  	2	0.16	  	2	0.16	  	2	0.16	  	5	0.39	  	307	24	  	571	44.64	  	0	0	  	10	0.78	  	0	0	  	23	1.8	  	3	0.23	  	4	0.31	  	0	0	  	0	0	  	1	0.08	  	1279	97.48	  	33	2.52	  	1312	1.64
Willison		                                   	2	0.18	  	1	0.09	  	207	18.21	  	18	1.58	  	30	2.64	  	1	0.09	  	2	0.18	  	0	0	  	3	0.26	  	6	0.53	  	232	20.4	  	612	53.83	  	1	0.09	  	5	0.44	  	0	0	  	13	1.14	  	0	0	  	4	0.35	  	0	0	  	0	0	  	0	0	  	1137	98.27	  	20	1.73	  	1157	1.44
Special Hospitals		                          	1	0.19	  	0	0	  	31	6	  	1	0.19	  	3	0.58	  	1	0.19	  	0	0	  	0	0	  	0	0	  	5	0.97	  	110	21.28	  	359	69.44	  	0	0	  	2	0.39	  	0	0	  	4	0.77	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	517	98.29	  	9	1.71	  	526	0.66
Total Ordinary		                             	131	0.21	  	37	0.06	  	10154	16.35	  	726	1.17	  	2309	3.72	  	24	0.04	  	46	0.07	  	23	0.04	  	99	0.16	  	442	0.71	  	15671	25.24	  	30587	49.26	  	37	0.06	  	209	0.34	  	34	0.05	  	1281	2.06	  	57	0.09	  	160	0.26	  	31	0.05	  	8	0.01	  	22	0.04	  	62088	96.99	  	1926	3.01	  	64014	79.79
ABSENT		                                     	6	0.1	  	3	0.05	  	943	15.75	  	49	0.82	  	293	4.89	  	3	0.05	  	13	0.22	  	1	0.02	  	17	0.28	  	62	1.04	  	1331	22.22	  	3092	51.63	  	6	0.1	  	20	0.33	  	5	0.08	  	91	1.52	  	11	0.18	  	24	0.4	  	9	0.15	  	3	0.05	  	7	0.12	  	5989	98.94	  	64	1.06	  	6053	7.54
POSTAL		                                     	8	0.18	  	2	0.04	  	445	9.81	  	76	1.68	  	140	3.09	  	0	0	  	1	0.02	  	2	0.04	  	19	0.42	  	34	0.75	  	927	20.43	  	2740	60.39	  	1	0.02	  	25	0.55	  	4	0.09	  	95	2.09	  	3	0.07	  	12	0.26	  	1	0.02	  	0	0	  	2	0.04	  	4537	98.8	  	55	1.2	  	4592	5.72
PRE_POLL		                                   	6	0.12	  	2	0.04	  	613	12.49	  	83	1.69	  	216	4.4	  	4	0.08	  	3	0.06	  	5	0.1	  	13	0.26	  	35	0.71	  	1180	24.04	  	2590	52.77	  	5	0.1	  	25	0.51	  	3	0.06	  	99	2.02	  	8	0.16	  	12	0.24	  	2	0.04	  	2	0.04	  	2	0.04	  	4908	99.11	  	44	0.89	  	4952	6.17
PROVISIONAL		                                	3	0.5	  	1	0.17	  	88	14.59	  	14	2.32	  	31	5.14	  	0	0	  	1	0.17	  	0	0	  	1	0.17	  	9	1.49	  	184	30.51	  	255	42.29	  	0	0	  	1	0.17	  	1	0.17	  	6	1	  	2	0.33	  	1	0.17	  	3	0.5	  	2	0.33	  	0	0	  	603	97.26	  	17	2.74	  	620	0.77
Division Summary		                           	154	0.2	  	45	0.06	  	12243	15.67	  	948	1.21	  	2989	3.83	  	31	0.04	  	64	0.08	  	31	0.04	  	149	0.19	  	582	0.74	  	19293	24.7	  	39264	50.26	  	49	0.06	  	280	0.36	  	47	0.06	  	1572	2.01	  	81	0.1	  	209	0.27	  	46	0.06	  	15	0.02	  	33	0.04	  	78125	97.38	  	2106	2.62	  	80231	95.43


Lalor (81299)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Altona		                                     	12	0.45	  	2	0.08	  	257	9.65	  	12	0.45	  	41	1.54	  	1	0.04	  	1	0.04	  	2	0.08	  	5	0.19	  	19	0.71	  	1506	56.55	  	634	23.81	  	3	0.11	  	14	0.53	  	4	0.15	  	116	4.36	  	3	0.11	  	27	1.01	  	3	0.11	  	1	0.04	  	0	0	  	2663	94.84	  	145	5.16	  	2808	3.57
Altona Bay		                                 	13	0.33	  	5	0.13	  	198	5.03	  	24	0.61	  	42	1.07	  	0	0	  	3	0.08	  	4	0.1	  	15	0.38	  	31	0.79	  	2595	65.91	  	854	21.69	  	3	0.08	  	13	0.33	  	2	0.05	  	97	2.46	  	2	0.05	  	30	0.76	  	4	0.1	  	2	0.05	  	0	0	  	3937	96	  	164	4	  	4101	5.21
Altona Meadows		                             	29	0.86	  	2	0.06	  	157	4.64	  	19	0.56	  	37	1.09	  	1	0.03	  	2	0.06	  	0	0	  	10	0.3	  	40	1.18	  	2292	67.77	  	635	18.78	  	5	0.15	  	12	0.35	  	3	0.09	  	118	3.49	  	2	0.06	  	18	0.53	  	0	0	  	0	0	  	0	0	  	3382	95.03	  	177	4.97	  	3559	4.52
Altona West		                                	12	0.51	  	2	0.09	  	152	6.48	  	12	0.51	  	44	1.88	  	1	0.04	  	2	0.09	  	6	0.26	  	8	0.34	  	23	0.98	  	1266	54.01	  	663	28.28	  	4	0.17	  	11	0.47	  	6	0.26	  	120	5.12	  	0	0	  	10	0.43	  	0	0	  	2	0.09	  	0	0	  	2344	93.35	  	167	6.65	  	2511	3.19
Ardeer East (Lalor)		                        	3	0.58	  	1	0.19	  	18	3.47	  	5	0.97	  	3	0.58	  	0	0	  	0	0	  	0	0	  	3	0.58	  	9	1.74	  	375	72.39	  	86	16.6	  	1	0.19	  	4	0.77	  	1	0.19	  	7	1.35	  	0	0	  	2	0.39	  	0	0	  	0	0	  	0	0	  	518	91.52	  	48	8.48	  	566	0.72
Ardeer South		                               	20	0.91	  	3	0.14	  	87	3.95	  	11	0.5	  	13	0.59	  	0	0	  	5	0.23	  	2	0.09	  	10	0.45	  	40	1.82	  	1681	76.41	  	260	11.82	  	0	0	  	2	0.09	  	2	0.09	  	37	1.68	  	0	0	  	25	1.14	  	1	0.05	  	0	0	  	1	0.05	  	2200	91.32	  	209	8.68	  	2409	3.06
Bellbridge		                                 	20	0.53	  	1	0.03	  	283	7.53	  	19	0.51	  	46	1.22	  	2	0.05	  	3	0.08	  	5	0.13	  	11	0.29	  	45	1.2	  	2165	57.63	  	977	26	  	5	0.13	  	14	0.37	  	3	0.08	  	105	2.79	  	6	0.16	  	46	1.22	  	0	0	  	0	0	  	1	0.03	  	3757	97.23	  	107	2.77	  	3864	4.91
Cambridge		                                  	6	0.23	  	1	0.04	  	200	7.77	  	17	0.66	  	32	1.24	  	0	0	  	1	0.04	  	5	0.19	  	8	0.31	  	30	1.17	  	1409	54.76	  	750	29.15	  	3	0.12	  	17	0.66	  	2	0.08	  	65	2.53	  	1	0.04	  	23	0.89	  	2	0.08	  	0	0	  	1	0.04	  	2573	97.2	  	74	2.8	  	2647	3.37
Derrimut Heath		                             	8	0.37	  	0	0	  	144	6.73	  	8	0.37	  	27	1.26	  	2	0.09	  	1	0.05	  	2	0.09	  	8	0.37	  	25	1.17	  	1088	50.84	  	724	33.83	  	3	0.14	  	6	0.28	  	3	0.14	  	60	2.8	  	0	0	  	29	1.36	  	0	0	  	2	0.09	  	0	0	  	2140	95.07	  	111	4.93	  	2251	2.86
Exford		                                     	0	0	  	0	0	  	17	12.88	  	3	2.27	  	0	0	  	0	0	  	0	0	  	1	0.76	  	0	0	  	1	0.76	  	53	40.15	  	48	36.36	  	1	0.76	  	0	0	  	0	0	  	6	4.55	  	0	0	  	2	1.52	  	0	0	  	0	0	  	0	0	  	132	92.31	  	11	7.69	  	143	0.18
Galvin Park		                                	50	1.49	  	1	0.03	  	298	8.85	  	15	0.45	  	72	2.14	  	2	0.06	  	4	0.12	  	8	0.24	  	15	0.45	  	44	1.31	  	1820	54.07	  	821	24.39	  	4	0.12	  	21	0.62	  	6	0.18	  	143	4.25	  	1	0.03	  	40	1.19	  	1	0.03	  	0	0	  	0	0	  	3366	95.44	  	161	4.56	  	3527	4.48
Glengala (Lalor)		                           	15	0.78	  	2	0.1	  	66	3.43	  	30	1.56	  	16	0.83	  	1	0.05	  	1	0.05	  	4	0.21	  	11	0.57	  	22	1.14	  	1432	74.51	  	239	12.43	  	3	0.16	  	2	0.1	  	3	0.16	  	58	3.02	  	1	0.05	  	12	0.62	  	2	0.1	  	2	0.1	  	0	0	  	1922	91.31	  	183	8.69	  	2105	2.68
Glengala South		                             	2	0.11	  	2	0.11	  	65	3.57	  	24	1.32	  	15	0.82	  	0	0	  	3	0.16	  	3	0.16	  	6	0.33	  	30	1.65	  	1413	77.59	  	184	10.1	  	2	0.11	  	1	0.05	  	1	0.05	  	55	3.02	  	1	0.05	  	10	0.55	  	2	0.11	  	2	0.11	  	0	0	  	1821	94.65	  	103	5.35	  	1924	2.45
Glenorden		                                  	12	0.48	  	0	0	  	185	7.46	  	12	0.48	  	45	1.81	  	0	0	  	4	0.16	  	3	0.12	  	7	0.28	  	31	1.25	  	1575	63.48	  	463	18.66	  	6	0.24	  	20	0.81	  	4	0.16	  	102	4.11	  	0	0	  	11	0.44	  	0	0	  	0	0	  	1	0.04	  	2481	96.76	  	83	3.24	  	2564	3.26
Iramoo		                                     	15	0.45	  	1	0.03	  	326	9.87	  	14	0.42	  	60	1.82	  	1	0.03	  	0	0	  	1	0.03	  	27	0.82	  	27	0.82	  	1836	55.6	  	805	24.38	  	6	0.18	  	17	0.51	  	3	0.09	  	123	3.73	  	2	0.06	  	37	1.12	  	0	0	  	0	0	  	1	0.03	  	3302	97.15	  	97	2.85	  	3399	4.32
Laverton		                                   	9	0.6	  	3	0.2	  	81	5.36	  	8	0.53	  	19	1.26	  	0	0	  	1	0.07	  	1	0.07	  	11	0.73	  	25	1.65	  	954	63.1	  	318	21.03	  	4	0.26	  	8	0.53	  	0	0	  	59	3.9	  	0	0	  	9	0.6	  	2	0.13	  	0	0	  	0	0	  	1512	95.27	  	75	4.73	  	1587	2.02
Laverton North		                             	7	0.32	  	1	0.05	  	110	5.05	  	7	0.32	  	26	1.19	  	0	0	  	3	0.14	  	3	0.14	  	9	0.41	  	23	1.06	  	1432	65.78	  	369	16.95	  	2	0.09	  	10	0.46	  	3	0.14	  	150	6.89	  	2	0.09	  	18	0.83	  	1	0.05	  	0	0	  	1	0.05	  	2177	94.61	  	124	5.39	  	2301	2.93
Little River		                               	0	0	  	0	0	  	38	9.84	  	0	0	  	11	2.85	  	0	0	  	0	0	  	0	0	  	1	0.26	  	4	1.04	  	160	41.45	  	127	32.9	  	0	0	  	4	1.04	  	1	0.26	  	34	8.81	  	0	0	  	6	1.55	  	0	0	  	0	0	  	0	0	  	386	97.47	  	10	2.53	  	396	0.5
Manorvale		                                  	24	1.02	  	0	0	  	241	10.24	  	10	0.42	  	38	1.61	  	0	0	  	7	0.3	  	1	0.04	  	6	0.25	  	25	1.06	  	1147	48.75	  	719	30.56	  	3	0.13	  	13	0.55	  	1	0.04	  	98	4.16	  	0	0	  	19	0.81	  	0	0	  	1	0.04	  	0	0	  	2353	96.59	  	83	3.41	  	2436	3.1
Melbourne (Lalor)		                          	0	0	  	0	0	  	4	11.43	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	20	57.14	  	11	31.43	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	35	97.22	  	1	2.78	  	36	0.05
Mossfiel		                                   	62	1.47	  	4	0.09	  	316	7.47	  	18	0.43	  	54	1.28	  	0	0	  	3	0.07	  	3	0.07	  	14	0.33	  	50	1.18	  	2325	54.99	  	1144	27.06	  	9	0.21	  	18	0.43	  	4	0.09	  	149	3.52	  	0	0	  	50	1.18	  	2	0.05	  	0	0	  	3	0.07	  	4228	96.13	  	170	3.87	  	4398	5.59
Point Cook		                                 	0	0	  	0	0	  	15	8.98	  	1	0.6	  	8	4.79	  	0	0	  	0	0	  	1	0.6	  	0	0	  	1	0.6	  	44	26.35	  	75	44.91	  	1	0.6	  	4	2.4	  	0	0	  	16	9.58	  	0	0	  	1	0.6	  	0	0	  	0	0	  	0	0	  	167	98.82	  	2	1.18	  	169	0.21
Seabrook		                                   	5	0.28	  	1	0.06	  	132	7.33	  	13	0.72	  	16	0.89	  	2	0.11	  	3	0.17	  	4	0.22	  	2	0.11	  	22	1.22	  	1009	56.06	  	493	27.39	  	0	0	  	14	0.78	  	3	0.17	  	57	3.17	  	1	0.06	  	16	0.89	  	7	0.39	  	0	0	  	0	0	  	1800	97.93	  	38	2.07	  	1838	2.34
Seaholme		                                   	12	0.48	  	0	0	  	227	9.08	  	4	0.16	  	45	1.8	  	0	0	  	1	0.04	  	4	0.16	  	8	0.32	  	23	0.92	  	1285	51.42	  	727	29.09	  	1	0.04	  	10	0.4	  	3	0.12	  	107	4.28	  	2	0.08	  	35	1.4	  	3	0.12	  	2	0.08	  	0	0	  	2499	94.55	  	144	5.45	  	2643	3.36
The Grange		                                 	4	0.28	  	1	0.07	  	79	5.51	  	12	0.84	  	12	0.84	  	0	0	  	0	0	  	1	0.07	  	7	0.49	  	9	0.63	  	840	58.58	  	393	27.41	  	2	0.14	  	6	0.42	  	2	0.14	  	47	3.28	  	1	0.07	  	14	0.98	  	3	0.21	  	1	0.07	  	0	0	  	1434	97.02	  	44	2.98	  	1478	1.88
Thomas Chirnside		                           	37	2.62	  	1	0.07	  	98	6.95	  	3	0.21	  	16	1.13	  	0	0	  	1	0.07	  	1	0.07	  	8	0.57	  	12	0.85	  	786	55.74	  	383	27.16	  	2	0.14	  	7	0.5	  	0	0	  	41	2.91	  	0	0	  	14	0.99	  	0	0	  	0	0	  	0	0	  	1410	95.79	  	62	4.21	  	1472	1.87
Werribee		                                   	36	1.27	  	2	0.07	  	221	7.8	  	16	0.56	  	45	1.59	  	13	0.46	  	3	0.11	  	2	0.07	  	7	0.25	  	36	1.27	  	1269	44.76	  	1051	37.07	  	4	0.14	  	15	0.53	  	4	0.14	  	74	2.61	  	2	0.07	  	30	1.06	  	3	0.11	  	0	0	  	2	0.07	  	2835	93.94	  	183	6.06	  	3018	3.84
Werribee Central		                           	18	0.77	  	1	0.04	  	184	7.83	  	12	0.51	  	52	2.21	  	0	0	  	1	0.04	  	3	0.13	  	8	0.34	  	30	1.28	  	1061	45.13	  	877	37.3	  	0	0	  	8	0.34	  	2	0.09	  	73	3.11	  	0	0	  	19	0.81	  	1	0.04	  	1	0.04	  	0	0	  	2351	94.91	  	126	5.09	  	2477	3.15
Werribee South		                             	9	1.16	  	0	0	  	47	6.07	  	4	0.52	  	16	2.07	  	3	0.39	  	5	0.65	  	1	0.13	  	4	0.52	  	6	0.78	  	228	29.46	  	404	52.2	  	0	0	  	1	0.13	  	3	0.39	  	19	2.45	  	0	0	  	24	3.1	  	0	0	  	0	0	  	0	0	  	774	91.92	  	68	8.08	  	842	1.07
Westgrove		                                  	5	0.35	  	0	0	  	100	6.97	  	6	0.42	  	26	1.81	  	1	0.07	  	0	0	  	3	0.21	  	7	0.49	  	23	1.6	  	875	60.98	  	317	22.09	  	6	0.42	  	10	0.7	  	1	0.07	  	37	2.58	  	1	0.07	  	16	1.11	  	0	0	  	0	0	  	1	0.07	  	1435	97.95	  	30	2.05	  	1465	1.86
Woodville		                                  	24	0.74	  	1	0.03	  	345	10.61	  	9	0.28	  	46	1.41	  	2	0.06	  	4	0.12	  	1	0.03	  	10	0.31	  	33	1.01	  	1714	52.69	  	879	27.02	  	3	0.09	  	26	0.8	  	1	0.03	  	122	3.75	  	2	0.06	  	26	0.8	  	2	0.06	  	1	0.03	  	2	0.06	  	3253	96.24	  	127	3.76	  	3380	4.3
Special Hospitals		                          	0	0	  	0	0	  	1	3.7	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	3.7	  	18	66.67	  	4	14.81	  	0	0	  	0	0	  	0	0	  	1	3.7	  	0	0	  	2	7.41	  	0	0	  	0	0	  	0	0	  	27	93.1	  	2	6.9	  	29	0.04
Total Ordinary		                             	469	0.72	  	38	0.06	  	4692	7.19	  	348	0.53	  	923	1.42	  	32	0.05	  	62	0.1	  	75	0.12	  	246	0.38	  	740	1.13	  	37673	57.77	  	16434	25.2	  	86	0.13	  	308	0.47	  	71	0.11	  	2296	3.52	  	30	0.05	  	621	0.95	  	39	0.06	  	17	0.03	  	14	0.02	  	65214	95.42	  	3129	4.58	  	68343	86.89
ABSENT		                                     	9	0.27	  	2	0.06	  	277	8.21	  	31	0.92	  	84	2.49	  	0	0	  	5	0.15	  	1	0.03	  	15	0.44	  	54	1.6	  	1774	52.58	  	899	26.64	  	8	0.24	  	19	0.56	  	6	0.18	  	142	4.21	  	1	0.03	  	47	1.39	  	0	0	  	0	0	  	0	0	  	3374	97.88	  	73	2.12	  	3447	4.38
POSTAL		                                     	6	0.35	  	1	0.06	  	113	6.51	  	14	0.81	  	29	1.67	  	1	0.06	  	5	0.29	  	3	0.17	  	10	0.58	  	20	1.15	  	881	50.78	  	504	29.05	  	1	0.06	  	12	0.69	  	2	0.12	  	100	5.76	  	0	0	  	31	1.79	  	1	0.06	  	0	0	  	1	0.06	  	1735	98.92	  	19	1.08	  	1754	2.23
PRE_POLL		                                   	9	0.22	  	3	0.07	  	208	5.07	  	28	0.68	  	67	1.63	  	2	0.05	  	5	0.12	  	9	0.22	  	26	0.63	  	64	1.56	  	2146	52.28	  	1224	29.82	  	9	0.22	  	24	0.58	  	2	0.05	  	207	5.04	  	2	0.05	  	69	1.68	  	1	0.02	  	0	0	  	0	0	  	4105	98.32	  	70	1.68	  	4175	5.31
PROVISIONAL		                                	13	1.47	  	1	0.11	  	40	4.51	  	8	0.9	  	17	1.92	  	3	0.34	  	2	0.23	  	0	0	  	6	0.68	  	11	1.24	  	572	64.56	  	155	17.49	  	1	0.11	  	8	0.9	  	1	0.11	  	34	3.84	  	1	0.11	  	12	1.35	  	0	0	  	1	0.11	  	0	0	  	886	94.76	  	49	5.24	  	935	1.19
Division Summary		                           	506	0.67	  	45	0.06	  	5330	7.08	  	429	0.57	  	1120	1.49	  	38	0.05	  	79	0.1	  	88	0.12	  	303	0.4	  	889	1.18	  	43046	57.16	  	19216	25.51	  	105	0.14	  	371	0.49	  	82	0.11	  	2779	3.69	  	34	0.05	  	780	1.04	  	41	0.05	  	18	0.02	  	15	0.02	  	75314	95.75	  	3340	4.25	  	78654	96.75
 																																																																									


La Trobe (79276)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bayswater East		                             	1	0.11	  	0	0	  	108	11.89	  	6	0.66	  	16	1.76	  	0	0	  	3	0.33	  	0	0	  	2	0.22	  	5	0.55	  	338	37.22	  	340	37.44	  	1	0.11	  	24	2.64	  	2	0.22	  	53	5.84	  	1	0.11	  	8	0.88	  	0	0	  	0	0	  	0	0	  	908	97.63	  	22	2.37	  	930	1.22
Beaconsfield		                               	2	0.16	  	2	0.16	  	136	10.64	  	4	0.31	  	35	2.74	  	0	0	  	2	0.16	  	3	0.23	  	3	0.23	  	8	0.63	  	331	25.9	  	651	50.94	  	5	0.39	  	16	1.25	  	1	0.08	  	58	4.54	  	1	0.08	  	18	1.41	  	2	0.16	  	0	0	  	0	0	  	1278	97.33	  	35	2.67	  	1313	1.72
Beaconsfield Upper		                         	2	0.13	  	2	0.13	  	204	13.47	  	3	0.2	  	60	3.96	  	1	0.07	  	1	0.07	  	1	0.07	  	4	0.26	  	5	0.33	  	304	20.08	  	831	54.89	  	0	0	  	14	0.92	  	4	0.26	  	68	4.49	  	2	0.13	  	7	0.46	  	0	0	  	1	0.07	  	0	0	  	1514	97.43	  	40	2.57	  	1554	2.03
Belgrave		                                   	4	0.27	  	1	0.07	  	282	19.34	  	9	0.62	  	101	6.93	  	1	0.07	  	2	0.14	  	2	0.14	  	4	0.27	  	10	0.69	  	503	34.5	  	441	30.25	  	2	0.14	  	25	1.71	  	2	0.14	  	57	3.91	  	0	0	  	7	0.48	  	3	0.21	  	0	0	  	2	0.14	  	1458	96.81	  	48	3.19	  	1506	1.97
Belgrave South		                             	3	0.15	  	0	0	  	311	15.05	  	5	0.24	  	113	5.47	  	0	0	  	2	0.1	  	3	0.15	  	5	0.24	  	15	0.73	  	640	30.96	  	810	39.19	  	3	0.15	  	37	1.79	  	3	0.15	  	92	4.45	  	2	0.1	  	21	1.02	  	1	0.05	  	0	0	  	1	0.05	  	2067	97.73	  	48	2.27	  	2115	2.77
Berwick		                                    	3	0.07	  	2	0.05	  	437	10.57	  	10	0.24	  	79	1.91	  	2	0.05	  	3	0.07	  	4	0.1	  	4	0.1	  	28	0.68	  	941	22.76	  	2411	58.31	  	1	0.02	  	22	0.53	  	10	0.24	  	149	3.6	  	0	0	  	23	0.56	  	3	0.07	  	0	0	  	3	0.07	  	4135	97.27	  	116	2.73	  	4251	5.56
Berwick Lodge		                              	2	0.13	  	2	0.13	  	159	10.65	  	3	0.2	  	28	1.88	  	1	0.07	  	1	0.07	  	0	0	  	5	0.33	  	11	0.74	  	527	35.3	  	671	44.94	  	4	0.27	  	17	1.14	  	2	0.13	  	47	3.15	  	1	0.07	  	8	0.54	  	2	0.13	  	1	0.07	  	1	0.07	  	1493	96.76	  	50	3.24	  	1543	2.02
Berwick South		                              	1	0.05	  	2	0.09	  	263	12.18	  	4	0.19	  	42	1.94	  	0	0	  	0	0	  	2	0.09	  	4	0.19	  	15	0.69	  	719	33.29	  	962	44.54	  	1	0.05	  	17	0.79	  	3	0.14	  	102	4.72	  	0	0	  	21	0.97	  	1	0.05	  	1	0.05	  	0	0	  	2160	97.78	  	49	2.22	  	2209	2.89
Boronia		                                    	7	0.35	  	0	0	  	242	12.19	  	11	0.55	  	70	3.52	  	1	0.05	  	3	0.15	  	7	0.35	  	6	0.3	  	21	1.06	  	773	38.92	  	675	33.99	  	6	0.3	  	24	1.21	  	3	0.15	  	116	5.84	  	1	0.05	  	18	0.91	  	1	0.05	  	1	0.05	  	0	0	  	1986	96.5	  	72	3.5	  	2058	2.69
Boronia Central		                            	2	0.14	  	2	0.14	  	184	12.53	  	4	0.27	  	55	3.74	  	0	0	  	2	0.14	  	2	0.14	  	4	0.27	  	10	0.68	  	570	38.8	  	533	36.28	  	5	0.34	  	19	1.29	  	0	0	  	64	4.36	  	1	0.07	  	11	0.75	  	0	0	  	1	0.07	  	0	0	  	1469	96.45	  	54	3.55	  	1523	1.99
Boronia East		                               	0	0	  	1	0.06	  	247	13.68	  	8	0.44	  	54	2.99	  	2	0.11	  	1	0.06	  	2	0.11	  	4	0.22	  	22	1.22	  	725	40.17	  	617	34.18	  	3	0.17	  	12	0.66	  	0	0	  	82	4.54	  	1	0.06	  	23	1.27	  	0	0	  	0	0	  	1	0.06	  	1805	96.99	  	56	3.01	  	1861	2.44
