Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Angaston		                                   	11	0.76	  	4	0.28	  	128	8.87	  	0	0	  	30	2.08	  	700	48.51	  	2	0.14	  	6	0.42	  	27	1.87	  	199	13.79	  	314	21.76	  	1	0.07	  	21	1.46	  	0	0	  	1443	96.72	  	49	3.28	  	1492	1.75
Ardrossan		                                  	14	1.36	  	10	0.97	  	61	5.91	  	1	0.1	  	0	0	  	503	48.74	  	7	0.68	  	5	0.48	  	17	1.65	  	206	19.96	  	203	19.67	  	1	0.1	  	4	0.39	  	0	0	  	1032	96.09	  	42	3.91	  	1074	1.26
Arthurton		                                  	0	0	  	1	0.53	  	2	1.06	  	0	0	  	1	0.53	  	151	80.32	  	0	0	  	0	0	  	4	2.13	  	19	10.11	  	8	4.26	  	0	0	  	2	1.06	  	0	0	  	188	97.41	  	5	2.59	  	193	0.23
Auburn		                                     	4	1.17	  	2	0.58	  	41	11.99	  	0	0	  	3	0.88	  	166	48.54	  	0	0	  	0	0	  	5	1.46	  	46	13.45	  	69	20.18	  	0	0	  	6	1.75	  	0	0	  	342	94.74	  	19	5.26	  	361	0.42
Balaklava		                                  	16	1.25	  	8	0.63	  	62	4.85	  	1	0.08	  	5	0.39	  	758	59.31	  	2	0.16	  	4	0.31	  	18	1.41	  	187	14.63	  	203	15.88	  	3	0.23	  	11	0.86	  	0	0	  	1278	96.23	  	50	3.77	  	1328	1.56
Barmera		                                    	21	1.06	  	13	0.66	  	169	8.56	  	1	0.05	  	4	0.2	  	988	50.05	  	4	0.2	  	14	0.71	  	35	1.77	  	274	13.88	  	419	21.23	  	2	0.1	  	29	1.47	  	1	0.05	  	1974	95.78	  	87	4.22	  	2061	2.42
Berri		                                      	25	1.04	  	12	0.5	  	206	8.53	  	2	0.08	  	21	0.87	  	1171	48.49	  	4	0.17	  	7	0.29	  	48	1.99	  	303	12.55	  	575	23.81	  	0	0	  	40	1.66	  	1	0.04	  	2415	95.87	  	104	4.13	  	2519	2.95
Birdwood		                                   	9	1.3	  	7	1.01	  	100	14.41	  	0	0	  	3	0.43	  	327	47.12	  	0	0	  	1	0.14	  	20	2.88	  	78	11.24	  	139	20.03	  	0	0	  	10	1.44	  	0	0	  	694	97.61	  	17	2.39	  	711	0.83
Blanchetown		                                	4	1.45	  	0	0	  	22	8	  	2	0.73	  	1	0.36	  	142	51.64	  	0	0	  	3	1.09	  	2	0.73	  	45	16.36	  	50	18.18	  	0	0	  	4	1.45	  	0	0	  	275	92.91	  	21	7.09	  	296	0.35
Bute		                                       	1	0.32	  	3	0.97	  	9	2.91	  	0	0	  	0	0	  	211	68.28	  	0	0	  	2	0.65	  	4	1.29	  	29	9.39	  	45	14.56	  	1	0.32	  	4	1.29	  	0	0	  	309	96.26	  	12	3.74	  	321	0.38
Cadell		                                     	1	0.41	  	1	0.41	  	11	4.47	  	0	0	  	0	0	  	114	46.34	  	0	0	  	1	0.41	  	4	1.63	  	48	19.51	  	57	23.17	  	1	0.41	  	8	3.25	  	0	0	  	246	97.23	  	7	2.77	  	253	0.3
Cobdogla		                                   	3	0.75	  	3	0.75	  	19	4.73	  	0	0	  	1	0.25	  	207	51.49	  	0	0	  	2	0.5	  	5	1.24	  	68	16.92	  	86	21.39	  	0	0	  	8	1.99	  	0	0	  	402	95.94	  	17	4.06	  	419	0.49
Coobowie		                                   	5	1.99	  	3	1.2	  	20	7.97	  	0	0	  	1	0.4	  	108	43.03	  	0	0	  	1	0.4	  	5	1.99	  	30	11.95	  	77	30.68	  	0	0	  	0	0	  	1	0.4	  	251	94.36	  	15	5.64	  	266	0.31
Corny Point		                                	1	0.63	  	0	0	  	12	7.59	  	0	0	  	0	0	  	71	44.94	  	0	0	  	4	2.53	  	3	1.9	  	31	19.62	  	33	20.89	  	0	0	  	3	1.9	  	0	0	  	158	96.93	  	5	3.07	  	163	0.19
Curramulka		                                 	3	1.53	  	3	1.53	  	7	3.57	  	0	0	  	0	0	  	138	70.41	  	1	0.51	  	0	0	  	7	3.57	  	19	9.69	  	17	8.67	  	0	0	  	1	0.51	  	0	0	  	196	97.51	  	5	2.49	  	201	0.24
Dublin		                                     	4	0.91	  	4	0.91	  	31	7.08	  	0	0	  	0	0	  	177	40.41	  	0	0	  	2	0.46	  	9	2.05	  	104	23.74	  	104	23.74	  	0	0	  	3	0.68	  	0	0	  	438	97.99	  	9	2.01	  	447	0.52
Eden Valley		                                	1	0.49	  	2	0.97	  	31	15.05	  	0	0	  	1	0.49	  	109	52.91	  	0	0	  	1	0.49	  	6	2.91	  	26	12.62	  	26	12.62	  	0	0	  	3	1.46	  	0	0	  	206	99.04	  	2	0.96	  	208	0.24
Edithburgh		                                 	2	0.45	  	2	0.45	  	40	9.03	  	1	0.23	  	0	0	  	197	44.47	  	0	0	  	2	0.45	  	8	1.81	  	74	16.7	  	114	25.73	  	1	0.23	  	2	0.45	  	0	0	  	443	94.26	  	27	5.74	  	470	0.55
Eudunda		                                    	5	0.72	  	23	3.31	  	41	5.91	  	0	0	  	5	0.72	  	353	50.86	  	2	0.29	  	4	0.58	  	14	2.02	  	152	21.9	  	93	13.4	  	1	0.14	  	0	0	  	1	0.14	  	694	95.2	  	35	4.8	  	729	0.86
Evanston		                                   	9	0.93	  	8	0.82	  	102	10.49	  	1	0.1	  	1	0.1	  	338	34.77	  	0	0	  	6	0.62	  	30	3.09	  	136	13.99	  	337	34.67	  	0	0	  	3	0.31	  	1	0.1	  	972	97.2	  	28	2.8	  	1000	1.17
Evanston Gardens		                           	16	1.42	  	12	1.06	  	103	9.12	  	1	0.09	  	6	0.53	  	388	34.34	  	2	0.18	  	7	0.62	  	22	1.95	  	182	16.11	  	382	33.81	  	4	0.35	  	5	0.44	  	0	0	  	1130	95.84	  	49	4.16	  	1179	1.38
Forreston		                                  	2	1.32	  	0	0	  	29	19.08	  	0	0	  	0	0	  	58	38.16	  	0	0	  	0	0	  	5	3.29	  	24	15.79	  	32	21.05	  	1	0.66	  	1	0.66	  	0	0	  	152	98.7	  	2	1.3	  	154	0.18
Freeling		                                   	6	0.75	  	3	0.37	  	72	8.97	  	0	0	  	2	0.25	  	394	49.07	  	1	0.12	  	3	0.37	  	18	2.24	  	126	15.69	  	168	20.92	  	0	0	  	8	1	  	2	0.25	  	803	97.33	  	22	2.67	  	825	0.97
Gawler		                                     	24	1.62	  	7	0.47	  	194	13.12	  	0	0	  	4	0.27	  	600	40.57	  	1	0.07	  	4	0.27	  	36	2.43	  	222	15.01	  	370	25.02	  	1	0.07	  	16	1.08	  	0	0	  	1479	96.23	  	58	3.77	  	1537	1.8
Gawler East		                                	23	1.44	  	5	0.31	  	204	12.81	  	1	0.06	  	3	0.19	  	727	45.64	  	1	0.06	  	5	0.31	  	23	1.44	  	196	12.3	  	396	24.86	  	3	0.19	  	4	0.25	  	2	0.13	  	1593	97.25	  	45	2.75	  	1638	1.92
Gawler River		                               	2	0.77	  	2	0.77	  	18	6.92	  	0	0	  	0	0	  	137	52.69	  	0	0	  	0	0	  	7	2.69	  	35	13.46	  	57	21.92	  	0	0	  	2	0.77	  	0	0	  	260	98.86	  	3	1.14	  	263	0.31
Gawler South		                               	17	0.81	  	13	0.62	  	239	11.39	  	1	0.05	  	1	0.05	  	897	42.76	  	1	0.05	  	9	0.43	  	46	2.19	  	304	14.49	  	554	26.41	  	3	0.14	  	12	0.57	  	1	0.05	  	2098	96.73	  	71	3.27	  	2169	2.54
Gawler West		                                	18	1.13	  	8	0.5	  	167	10.46	  	0	0	  	6	0.38	  	550	34.46	  	6	0.38	  	13	0.81	  	34	2.13	  	275	17.23	  	509	31.89	  	1	0.06	  	9	0.56	  	0	0	  	1596	95.74	  	71	4.26	  	1667	1.96
Glossop		                                    	3	0.59	  	7	1.38	  	30	5.91	  	0	0	  	2	0.39	  	256	50.39	  	0	0	  	2	0.39	  	6	1.18	  	73	14.37	  	124	24.41	  	0	0	  	5	0.98	  	0	0	  	508	97.5	  	13	2.5	  	521	0.61
Greenock		                                   	3	0.39	  	7	0.92	  	73	9.54	  	0	0	  	4	0.52	  	390	50.98	  	4	0.52	  	5	0.65	  	19	2.48	  	108	14.12	  	136	17.78	  	0	0	  	16	2.09	  	0	0	  	765	98.2	  	14	1.8	  	779	0.91
Gumeracha		                                  	15	2.65	  	1	0.18	  	84	14.81	  	0	0	  	0	0	  	271	47.8	  	1	0.18	  	4	0.71	  	13	2.29	  	70	12.35	  	102	17.99	  	0	0	  	5	0.88	  	1	0.18	  	567	98.1	  	11	1.9	  	578	0.68
Hamley Bridge		                              	3	0.64	  	0	0	  	41	8.78	  	0	0	  	1	0.21	  	219	46.9	  	0	0	  	1	0.21	  	9	1.93	  	71	15.2	  	113	24.2	  	0	0	  	9	1.93	  	0	0	  	467	96.69	  	16	3.31	  	483	0.57
Hardwicke Bay		                              	1	0.83	  	1	0.83	  	7	5.83	  	0	0	  	0	0	  	62	51.67	  	0	0	  	1	0.83	  	1	0.83	  	22	18.33	  	25	20.83	  	0	0	  	0	0	  	0	0	  	120	96	  	5	4	  	125	0.15
Kadina		                                     	17	0.88	  	14	0.73	  	131	6.81	  	0	0	  	6	0.31	  	1006	52.29	  	2	0.1	  	5	0.26	  	30	1.56	  	260	13.51	  	428	22.25	  	4	0.21	  	20	1.04	  	1	0.05	  	1924	96.63	  	67	3.37	  	1991	2.34
Kapunda		                                    	18	1.1	  	15	0.92	  	242	14.83	  	1	0.06	  	2	0.12	  	730	44.73	  	1	0.06	  	14	0.86	  	42	2.57	  	240	14.71	  	321	19.67	  	1	0.06	  	5	0.31	  	0	0	  	1632	96.91	  	52	3.09	  	1684	1.98
Kersbrook		                                  	6	1.01	  	3	0.5	  	85	14.29	  	0	0	  	0	0	  	268	45.04	  	1	0.17	  	1	0.17	  	10	1.68	  	100	16.81	  	118	19.83	  	0	0	  	3	0.5	  	0	0	  	595	96.59	  	21	3.41	  	616	0.72
Loxton		                                     	37	1.37	  	36	1.34	  	184	6.83	  	1	0.04	  	7	0.26	  	1475	54.77	  	1	0.04	  	7	0.26	  	45	1.67	  	363	13.48	  	453	16.82	  	2	0.07	  	82	3.04	  	0	0	  	2693	97.12	  	80	2.88	  	2773	3.25
Loxton North		                               	4	0.85	  	3	0.64	  	16	3.39	  	0	0	  	0	0	  	270	57.2	  	0	0	  	1	0.21	  	14	2.97	  	66	13.98	  	78	16.53	  	0	0	  	20	4.24	  	0	0	  	472	95.74	  	21	4.26	  	493	0.58
Lyndoch		                                    	7	0.68	  	2	0.19	  	138	13.37	  	0	0	  	4	0.39	  	494	47.87	  	0	0	  	7	0.68	  	32	3.1	  	142	13.76	  	197	19.09	  	0	0	  	7	0.68	  	2	0.19	  	1032	98.01	  	21	1.99	  	1053	1.24
Lyrup		                                      	0	0	  	3	1.36	  	16	7.24	  	0	0	  	1	0.45	  	108	48.87	  	0	0	  	0	0	  	5	2.26	  	29	13.12	  	54	24.43	  	0	0	  	5	2.26	  	0	0	  	221	98.22	  	4	1.78	  	225	0.26
Maitland		                                   	3	0.37	  	4	0.5	  	45	5.57	  	0	0	  	1	0.12	  	505	62.5	  	4	0.5	  	1	0.12	  	19	2.35	  	134	16.58	  	84	10.4	  	1	0.12	  	7	0.87	  	0	0	  	808	97.23	  	23	2.77	  	831	0.97
Mallala		                                    	4	0.59	  	5	0.73	  	46	6.74	  	0	0	  	2	0.29	  	317	46.48	  	0	0	  	3	0.44	  	10	1.47	  	122	17.89	  	166	24.34	  	0	0	  	4	0.59	  	3	0.44	  	682	97.01	  	21	2.99	  	703	0.82
Manoora		                                    	1	0.56	  	2	1.12	  	11	6.15	  	0	0	  	8	4.47	  	97	54.19	  	0	0	  	0	0	  	0	0	  	35	19.55	  	25	13.97	  	0	0	  	0	0	  	0	0	  	179	98.9	  	2	1.1	  	181	0.21
Marion Bay		                                 	1	0.66	  	0	0	  	13	8.61	  	0	0	  	0	0	  	76	50.33	  	0	0	  	0	0	  	6	3.97	  	15	9.93	  	40	26.49	  	0	0	  	0	0	  	0	0	  	151	99.34	  	1	0.66	  	152	0.18
Marrabel		                                   	1	0.76	  	4	3.05	  	2	1.53	  	0	0	  	1	0.76	  	85	64.89	  	0	0	  	1	0.76	  	1	0.76	  	21	16.03	  	10	7.63	  	0	0	  	5	3.82	  	0	0	  	131	99.24	  	1	0.76	  	132	0.15
Minlaton		                                   	9	1.23	  	6	0.82	  	52	7.09	  	0	0	  	0	0	  	452	61.66	  	2	0.27	  	3	0.41	  	8	1.09	  	103	14.05	  	87	11.87	  	1	0.14	  	9	1.23	  	1	0.14	  	733	96.83	  	24	3.17	  	757	0.89
Moculta		                                    	3	2.26	  	1	0.75	  	19	14.29	  	0	0	  	1	0.75	  	70	52.63	  	0	0	  	0	0	  	0	0	  	23	17.29	  	14	10.53	  	0	0	  	2	1.5	  	0	0	  	133	98.52	  	2	1.48	  	135	0.16
Monash		                                     	6	1.2	  	4	0.8	  	46	9.2	  	0	0	  	0	0	  	244	48.8	  	1	0.2	  	5	1	  	9	1.8	  	76	15.2	  	101	20.2	  	0	0	  	8	1.6	  	0	0	  	500	96.53	  	18	3.47	  	518	0.61
Moonta		                                     	10	0.61	  	15	0.91	  	90	5.47	  	1	0.06	  	4	0.24	  	714	43.43	  	14	0.85	  	11	0.67	  	33	2.01	  	301	18.31	  	433	26.34	  	1	0.06	  	17	1.03	  	0	0	  	1644	96.25	  	64	3.75	  	1708	2
Moonta Mines		                               	3	0.74	  	5	1.23	  	26	6.37	  	1	0.25	  	0	0	  	135	33.09	  	6	1.47	  	2	0.49	  	3	0.74	  	84	20.59	  	136	33.33	  	0	0	  	7	1.72	  	0	0	  	408	96.91	  	13	3.09	  	421	0.49
Moorook		                                    	0	0	  	3	0.8	  	25	6.7	  	0	0	  	0	0	  	202	54.16	  	2	0.54	  	0	0	  	4	1.07	  	64	17.16	  	65	17.43	  	0	0	  	8	2.14	  	0	0	  	373	97.9	  	8	2.1	  	381	0.45
Morgan		                                     	6	1.11	  	6	1.11	  	37	6.85	  	0	0	  	1	0.19	  	225	41.67	  	1	0.19	  	2	0.37	  	11	2.04	  	124	22.96	  	116	21.48	  	0	0	  	11	2.04	  	0	0	  	540	97.65	  	13	2.35	  	553	0.65
Mount Pleasant		                             	11	1.7	  	3	0.46	  	62	9.58	  	0	0	  	3	0.46	  	309	47.76	  	0	0	  	3	0.46	  	10	1.55	  	96	14.84	  	140	21.64	  	1	0.15	  	8	1.24	  	1	0.15	  	647	97	  	20	3	  	667	0.78
Mount Torrens		                              	4	1.25	  	5	1.56	  	46	14.33	  	0	0	  	0	0	  	168	52.34	  	0	0	  	1	0.31	  	7	2.18	  	39	12.15	  	48	14.95	  	1	0.31	  	1	0.31	  	1	0.31	  	321	97.27	  	9	2.73	  	330	0.39
Nuriootpa		                                  	25	0.94	  	19	0.72	  	265	9.98	  	0	0	  	33	1.24	  	1390	52.35	  	3	0.11	  	11	0.41	  	78	2.94	  	353	13.3	  	444	16.72	  	2	0.08	  	32	1.21	  	0	0	  	2655	95.99	  	111	4.01	  	2766	3.24
One Tree Hill (Wakefield)		                  	6	2.01	  	4	1.34	  	39	13.09	  	0	0	  	0	0	  	145	48.66	  	0	0	  	1	0.34	  	6	2.01	  	35	11.74	  	62	20.81	  	0	0	  	0	0	  	0	0	  	298	97.39	  	8	2.61	  	306	0.36
Owen		                                       	12	3.44	  	3	0.86	  	24	6.88	  	0	0	  	0	0	  	166	47.56	  	0	0	  	1	0.29	  	10	2.87	  	60	17.19	  	66	18.91	  	0	0	  	7	2.01	  	0	0	  	349	96.41	  	13	3.59	  	362	0.42
Palmer		                                     	1	0.65	  	1	0.65	  	11	7.1	  	0	0	  	0	0	  	91	58.71	  	0	0	  	0	0	  	4	2.58	  	25	16.13	  	19	12.26	  	0	0	  	3	1.94	  	0	0	  	155	95.09	  	8	4.91	  	163	0.19
Paringa		                                    	1	0.15	  	4	0.61	  	35	5.33	  	0	0	  	2	0.3	  	394	59.97	  	0	0	  	1	0.15	  	8	1.22	  	78	11.87	  	125	19.03	  	0	0	  	9	1.37	  	0	0	  	657	97.19	  	19	2.81	  	676	0.79
Paskeville		                                 	2	1.1	  	3	1.65	  	2	1.1	  	0	0	  	0	0	  	121	66.48	  	1	0.55	  	0	0	  	1	0.55	  	23	12.64	  	28	15.38	  	0	0	  	1	0.55	  	0	0	  	182	97.33	  	5	2.67	  	187	0.22
Pine Point		                                 	1	0.55	  	1	0.55	  	7	3.85	  	0	0	  	0	0	  	109	59.89	  	0	0	  	0	0	  	3	1.65	  	30	16.48	  	30	16.48	  	0	0	  	1	0.55	  	0	0	  	182	95.29	  	9	4.71	  	191	0.22
Point Pass		                                 	0	0	  	3	2.75	  	9	8.26	  	0	0	  	0	0	  	50	45.87	  	0	0	  	0	0	  	2	1.83	  	33	30.28	  	10	9.17	  	0	0	  	1	0.92	  	1	0.92	  	109	94.78	  	6	5.22	  	115	0.13
Port Clinton		                               	4	1.17	  	1	0.29	  	12	3.5	  	0	0	  	0	0	  	163	47.52	  	0	0	  	3	0.87	  	4	1.17	  	65	18.95	  	88	25.66	  	0	0	  	3	0.87	  	0	0	  	343	95.28	  	17	4.72	  	360	0.42
Port Victoria		                              	1	0.32	  	2	0.65	  	28	9.09	  	0	0	  	0	0	  	145	47.08	  	0	0	  	0	0	  	7	2.27	  	73	23.7	  	49	15.91	  	0	0	  	3	0.97	  	0	0	  	308	94.77	  	17	5.23	  	325	0.38
Port Vincent		                               	3	0.63	  	7	1.47	  	39	8.21	  	0	0	  	1	0.21	  	263	55.37	  	0	0	  	2	0.42	  	0	0	  	78	16.42	  	79	16.63	  	0	0	  	3	0.63	  	0	0	  	475	95.77	  	21	4.23	  	496	0.58
Port Wakefield		                             	3	0.66	  	3	0.66	  	24	5.26	  	0	0	  	0	0	  	191	41.89	  	1	0.22	  	3	0.66	  	10	2.19	  	127	27.85	  	89	19.52	  	0	0	  	5	1.1	  	0	0	  	456	94.61	  	26	5.39	  	482	0.57
Ramco		                                      	4	0.87	  	3	0.65	  	19	4.13	  	0	0	  	0	0	  	240	52.17	  	3	0.65	  	2	0.43	  	6	1.3	  	81	17.61	  	89	19.35	  	0	0	  	13	2.83	  	0	0	  	460	97.46	  	12	2.54	  	472	0.55
Renmark		                                    	23	0.78	  	6	0.2	  	219	7.43	  	3	0.1	  	3	0.1	  	1376	46.71	  	2	0.07	  	14	0.48	  	57	1.93	  	309	10.49	  	901	30.58	  	3	0.1	  	29	0.98	  	1	0.03	  	2946	96.62	  	103	3.38	  	3049	3.58
Renmark North		                              	4	0.84	  	0	0	  	37	7.79	  	0	0	  	0	0	  	255	53.68	  	0	0	  	5	1.05	  	6	1.26	  	53	11.16	  	109	22.95	  	0	0	  	6	1.26	  	0	0	  	475	96.15	  	19	3.85	  	494	0.58
Renmark West		                               	4	0.75	  	2	0.37	  	47	8.79	  	0	0	  	0	0	  	292	54.58	  	0	0	  	5	0.93	  	13	2.43	  	59	11.03	  	101	18.88	  	0	0	  	12	2.24	  	0	0	  	535	97.45	  	14	2.55	  	549	0.64
Riverton		                                   	5	0.83	  	2	0.33	  	50	8.29	  	1	0.17	  	2	0.33	  	319	52.9	  	0	0	  	4	0.66	  	9	1.49	  	101	16.75	  	98	16.25	  	1	0.17	  	11	1.82	  	0	0	  	603	97.42	  	16	2.58	  	619	0.73
Robertstown		                                	0	0	  	3	1.11	  	20	7.38	  	0	0	  	2	0.74	  	126	46.49	  	0	0	  	1	0.37	  	3	1.11	  	74	27.31	  	41	15.13	  	0	0	  	1	0.37	  	0	0	  	271	95.09	  	14	4.91	  	285	0.33
Roseworthy		                                 	0	0	  	0	0	  	37	8.69	  	0	0	  	1	0.23	  	216	50.7	  	0	0	  	0	0	  	9	2.11	  	64	15.02	  	96	22.54	  	0	0	  	1	0.23	  	2	0.47	  	426	96.82	  	14	3.18	  	440	0.52
Saddleworth		                                	2	0.55	  	0	0	  	26	7.16	  	0	0	  	5	1.38	  	183	50.41	  	0	0	  	0	0	  	5	1.38	  	78	21.49	  	60	16.53	  	1	0.28	  	3	0.83	  	0	0	  	363	96.03	  	15	3.97	  	378	0.44
Sandy Creek		                                	2	0.43	  	5	1.07	  	61	13.01	  	0	0	  	0	0	  	223	47.55	  	0	0	  	1	0.21	  	12	2.56	  	69	14.71	  	94	20.04	  	0	0	  	2	0.43	  	0	0	  	469	97.71	  	11	2.29	  	480	0.56
Springton		                                  	4	1.32	  	2	0.66	  	38	12.58	  	0	0	  	0	0	  	153	50.66	  	0	0	  	1	0.33	  	2	0.66	  	43	14.24	  	57	18.87	  	0	0	  	2	0.66	  	0	0	  	302	97.73	  	7	2.27	  	309	0.36
Stansbury		                                  	10	2.01	  	2	0.4	  	32	6.43	  	2	0.4	  	0	0	  	246	49.4	  	0	0	  	2	0.4	  	5	1	  	93	18.67	  	95	19.08	  	1	0.2	  	8	1.61	  	2	0.4	  	498	96.14	  	20	3.86	  	518	0.61
Stockwell		                                  	0	0	  	5	1.87	  	18	6.72	  	0	0	  	1	0.37	  	158	58.96	  	0	0	  	1	0.37	  	9	3.36	  	47	17.54	  	27	10.07	  	0	0	  	2	0.75	  	0	0	  	268	96.75	  	9	3.25	  	277	0.32
Tanunda		                                    	23	0.94	  	15	0.62	  	198	8.12	  	2	0.08	  	51	2.09	  	1405	57.61	  	9	0.37	  	15	0.62	  	53	2.17	  	294	12.05	  	337	13.82	  	2	0.08	  	35	1.44	  	0	0	  	2439	96.9	  	78	3.1	  	2517	2.95
Tarlee		                                     	6	2.78	  	1	0.46	  	14	6.48	  	0	0	  	0	0	  	108	50	  	3	1.39	  	0	0	  	5	2.31	  	42	19.44	  	35	16.2	  	0	0	  	2	0.93	  	0	0	  	216	98.18	  	4	1.82	  	220	0.26
Truro		                                      	3	0.86	  	9	2.59	  	38	10.95	  	0	0	  	0	0	  	168	48.41	  	0	0	  	2	0.58	  	7	2.02	  	57	16.43	  	54	15.56	  	1	0.29	  	7	2.02	  	1	0.29	  	347	97.47	  	9	2.53	  	356	0.42
Two Wells		                                  	27	1.37	  	11	0.56	  	183	9.25	  	1	0.05	  	2	0.1	  	772	39.03	  	3	0.15	  	11	0.56	  	26	1.31	  	336	16.99	  	580	29.32	  	1	0.05	  	22	1.11	  	3	0.15	  	1978	95.28	  	98	4.72	  	2076	2.43
Waikerie		                                   	16	0.84	  	17	0.89	  	122	6.38	  	2	0.1	  	6	0.31	  	1017	53.16	  	4	0.21	  	8	0.42	  	35	1.83	  	246	12.86	  	337	17.62	  	1	0.05	  	102	5.33	  	0	0	  	1913	96.13	  	77	3.87	  	1990	2.33
Wallaroo		                                   	8	0.47	  	17	1	  	85	5	  	3	0.18	  	2	0.12	  	574	33.76	  	5	0.29	  	5	0.29	  	25	1.47	  	326	19.18	  	639	37.59	  	0	0	  	11	0.65	  	0	0	  	1700	94.92	  	91	5.08	  	1791	2.1
Wallaroo Mines		                             	3	0.52	  	8	1.38	  	38	6.55	  	0	0	  	2	0.34	  	187	32.24	  	3	0.52	  	2	0.34	  	13	2.24	  	102	17.59	  	214	36.9	  	1	0.17	  	7	1.21	  	0	0	  	580	95.55	  	27	4.45	  	607	0.71
Warooka		                                    	1	0.21	  	5	1.05	  	38	7.95	  	0	0	  	0	0	  	280	58.58	  	5	1.05	  	3	0.63	  	16	3.35	  	73	15.27	  	56	11.72	  	0	0	  	1	0.21	  	0	0	  	478	95.22	  	24	4.78	  	502	0.59
Wasleys		                                    	0	0	  	0	0	  	30	11.72	  	0	0	  	1	0.39	  	89	34.77	  	0	0	  	3	1.17	  	5	1.95	  	51	19.92	  	69	26.95	  	0	0	  	8	3.13	  	0	0	  	256	98.08	  	5	1.92	  	261	0.31
Watervale		                                  	1	0.46	  	2	0.93	  	30	13.89	  	0	0	  	0	0	  	118	54.63	  	0	0	  	1	0.46	  	4	1.85	  	23	10.65	  	36	16.67	  	0	0	  	1	0.46	  	0	0	  	216	97.3	  	6	2.7	  	222	0.26
Willaston - Hewett		                         	17	1.05	  	12	0.74	  	180	11.11	  	0	0	  	2	0.12	  	684	42.22	  	2	0.12	  	6	0.37	  	25	1.54	  	237	14.63	  	439	27.1	  	1	0.06	  	15	0.93	  	0	0	  	1620	97.94	  	34	2.06	  	1654	1.94
Williamstown		                               	10	0.97	  	12	1.16	  	136	13.14	  	0	0	  	1	0.1	  	429	41.45	  	0	0	  	5	0.48	  	25	2.42	  	130	12.56	  	273	26.38	  	1	0.1	  	13	1.26	  	0	0	  	1035	97.92	  	22	2.08	  	1057	1.24
Winkie		                                     	2	1.08	  	0	0	  	13	6.99	  	0	0	  	0	0	  	104	55.91	  	0	0	  	0	0	  	5	2.69	  	24	12.9	  	34	18.28	  	0	0	  	4	2.15	  	0	0	  	186	98.41	  	3	1.59	  	189	0.22
Yorketown		                                  	14	1.99	  	7	1	  	38	5.41	  	3	0.43	  	2	0.28	  	401	57.12	  	3	0.43	  	1	0.14	  	9	1.28	  	78	11.11	  	142	20.23	  	2	0.28	  	2	0.28	  	0	0	  	702	96.3	  	27	3.7	  	729	0.86
Special Hospitals		                          	5	0.65	  	5	0.65	  	30	3.91	  	1	0.13	  	0	0	  	440	57.29	  	3	0.39	  	4	0.52	  	3	0.39	  	49	6.38	  	220	28.65	  	0	0	  	8	1.04	  	0	0	  	768	96.73	  	26	3.27	  	794	0.93
Remote Mobiles		                             	3	4.41	  	0	0	  	1	1.47	  	0	0	  	0	0	  	2	2.94	  	0	0	  	0	0	  	1	1.47	  	0	0	  	60	88.24	  	1	1.47	  	0	0	  	0	0	  	68	98.55	  	1	1.45	  	69	0.08
Prison Mobiles		                             	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	33.33	  	1	33.33	  	1	33.33	  	0	0	  	0	0	  	0	0	  	3	100	  	0	0	  	3	0
Total Ordinary		                             	679	0.97	  	516	0.74	  	5991	8.59	  	34	0.05	  	266	0.38	  	33702	48.32	  	124	0.18	  	310	0.44	  	1336	1.92	  	10367	14.86	  	15452	22.15	  	56	0.08	  	882	1.26	  	30	0.04	  	69745	96.58	  	2470	3.42	  	72215	84.7
ABSENT		                                     	50	0.92	  	31	0.57	  	648	11.95	  	5	0.09	  	18	0.33	  	2398	44.23	  	12	0.22	  	36	0.66	  	173	3.19	  	671	12.38	  	1317	24.29	  	7	0.13	  	54	1	  	2	0.04	  	5422	98.44	  	86	1.56	  	5508	6.46
POSTAL		                                     	45	1.04	  	35	0.81	  	389	8.97	  	3	0.07	  	16	0.37	  	2238	51.58	  	6	0.14	  	10	0.23	  	75	1.73	  	662	15.26	  	791	18.23	  	5	0.12	  	62	1.43	  	2	0.05	  	4339	99.09	  	40	0.91	  	4379	5.14
PRE_POLL		                                   	27	0.94	  	23	0.8	  	294	10.27	  	3	0.1	  	4	0.14	  	1314	45.9	  	7	0.24	  	9	0.31	  	61	2.13	  	451	15.75	  	649	22.67	  	1	0.03	  	20	0.7	  	0	0	  	2863	99.17	  	24	0.83	  	2887	3.39
