Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alford		                                     	0	0	 	1	0.62	 	1	0.62	 	1	0.62	 	28	17.39	 	0	0	 	12	7.45	 	0	0	 	0	0	 	2	1.24	 	0	0	 	116	72.05	 	0	0	 	161	98.77	 	2	1.23	 	163	0.2
Angaston		                                   	8	0.49	 	32	1.96	 	5	0.31	 	7	0.43	 	459	28.09	 	7	0.43	 	133	8.14	 	8	0.49	 	10	0.61	 	9	0.55	 	14	0.86	 	942	57.65	 	0	0	 	1634	98.08	 	32	1.92	 	1666	2.04
Ardrossan		                                  	4	0.38	 	9	0.87	 	5	0.48	 	8	0.77	 	314	30.22	 	3	0.29	 	66	6.35	 	6	0.58	 	4	0.38	 	20	1.92	 	7	0.67	 	593	57.07	 	0	0	 	1039	97.01	 	32	2.99	 	1071	1.31
Arthurton		                                  	0	0	 	0	0	 	2	1.2	 	2	1.2	 	9	5.42	 	0	0	 	4	2.41	 	2	1.2	 	1	0.6	 	3	1.81	 	2	1.2	 	141	84.94	 	0	0	 	166	98.81	 	2	1.19	 	168	0.21
Auburn		                                     	2	0.55	 	6	1.64	 	4	1.09	 	0	0	 	88	24.04	 	1	0.27	 	26	7.1	 	9	2.46	 	1	0.27	 	0	0	 	2	0.55	 	227	62.02	 	0	0	 	366	97.6	 	9	2.4	 	375	0.46
Balaklava		                                  	4	0.28	 	15	1.07	 	6	0.43	 	21	1.49	 	260	18.51	 	0	0	 	86	6.12	 	4	0.28	 	8	0.57	 	16	1.14	 	3	0.21	 	982	69.89	 	0	0	 	1405	97.84	 	31	2.16	 	1436	1.76
Barmera		                                    	19	0.92	 	20	0.97	 	10	0.48	 	15	0.72	 	560	27.05	 	6	0.29	 	170	8.21	 	13	0.63	 	68	3.29	 	15	0.72	 	8	0.39	 	1166	56.33	 	0	0	 	2070	95.61	 	95	4.39	 	2165	2.65
Berri		                                      	19	0.72	 	29	1.1	 	9	0.34	 	54	2.04	 	831	31.44	 	10	0.38	 	202	7.64	 	11	0.42	 	91	3.44	 	28	1.06	 	14	0.53	 	1345	50.89	 	0	0	 	2643	96.46	 	97	3.54	 	2740	3.36
Birdwood		                                   	3	0.4	 	13	1.74	 	2	0.27	 	9	1.2	 	160	21.42	 	0	0	 	101	13.52	 	13	1.74	 	3	0.4	 	6	0.8	 	1	0.13	 	436	58.37	 	0	0	 	747	97.77	 	17	2.23	 	764	0.94
Blanchetown		                                	1	0.42	 	1	0.42	 	1	0.42	 	0	0	 	54	22.78	 	0	0	 	25	10.55	 	0	0	 	1	0.42	 	3	1.27	 	2	0.84	 	149	62.87	 	0	0	 	237	95.95	 	10	4.05	 	247	0.3
Brentwood		                                  	0	0	 	2	1.49	 	1	0.75	 	7	5.22	 	24	17.91	 	0	0	 	11	8.21	 	1	0.75	 	1	0.75	 	0	0	 	0	0	 	87	64.93	 	0	0	 	134	98.53	 	2	1.47	 	136	0.17
Bute		                                       	1	0.3	 	3	0.9	 	2	0.6	 	0	0	 	49	14.67	 	0	0	 	26	7.78	 	4	1.2	 	2	0.6	 	1	0.3	 	5	1.5	 	241	72.16	 	0	0	 	334	97.95	 	7	2.05	 	341	0.42
Cadell		                                     	0	0	 	3	1.09	 	1	0.36	 	7	2.55	 	56	20.36	 	0	0	 	27	9.82	 	2	0.73	 	4	1.45	 	2	0.73	 	1	0.36	 	172	62.55	 	0	0	 	275	96.15	 	11	3.85	 	286	0.35
Cobdogla		                                   	3	0.95	 	3	0.95	 	4	1.26	 	3	0.95	 	70	22.08	 	0	0	 	17	5.36	 	0	0	 	8	2.52	 	0	0	 	1	0.32	 	208	65.62	 	0	0	 	317	96.65	 	11	3.35	 	328	0.4
Coobowie		                                   	2	0.75	 	2	0.75	 	3	1.13	 	9	3.38	 	86	32.33	 	1	0.38	 	32	12.03	 	0	0	 	3	1.13	 	0	0	 	1	0.38	 	127	47.74	 	0	0	 	266	95.68	 	12	4.32	 	278	0.34
Corny Point		                                	0	0	 	0	0	 	0	0	 	0	0	 	39	25.16	 	1	0.65	 	10	6.45	 	1	0.65	 	1	0.65	 	2	1.29	 	0	0	 	101	65.16	 	0	0	 	155	100	 	0	0	 	155	0.19
Curramulka		                                 	2	0.87	 	2	0.87	 	4	1.73	 	0	0	 	24	10.39	 	2	0.87	 	14	6.06	 	2	0.87	 	1	0.43	 	1	0.43	 	2	0.87	 	177	76.62	 	0	0	 	231	99.14	 	2	0.86	 	233	0.29
Dublin		                                     	2	0.45	 	5	1.13	 	2	0.45	 	5	1.13	 	120	27.21	 	0	0	 	38	8.62	 	4	0.91	 	3	0.68	 	3	0.68	 	0	0	 	259	58.73	 	0	0	 	441	98.66	 	6	1.34	 	447	0.55
Eden Valley		                                	2	0.93	 	6	2.8	 	1	0.47	 	2	0.93	 	30	14.02	 	0	0	 	23	10.75	 	3	1.4	 	2	0.93	 	0	0	 	0	0	 	145	67.76	 	0	0	 	214	97.72	 	5	2.28	 	219	0.27
Edithburgh		                                 	2	0.46	 	7	1.6	 	4	0.91	 	7	1.6	 	158	36.07	 	0	0	 	39	8.9	 	3	0.68	 	2	0.46	 	4	0.91	 	1	0.23	 	211	48.17	 	0	0	 	438	96.48	 	16	3.52	 	454	0.56
Eudunda		                                    	5	0.65	 	6	0.77	 	5	0.65	 	7	0.9	 	132	17.03	 	4	0.52	 	61	7.87	 	3	0.39	 	44	5.68	 	1	0.13	 	2	0.26	 	505	65.16	 	0	0	 	775	95.44	 	37	4.56	 	812	0.99
Evanston		                                   	5	0.54	 	14	1.52	 	2	0.22	 	11	1.19	 	401	43.4	 	7	0.76	 	93	10.06	 	7	0.76	 	16	1.73	 	2	0.22	 	3	0.32	 	363	39.29	 	0	0	 	924	96.75	 	31	3.25	 	955	1.17
Evanston Gardens		                           	6	0.53	 	12	1.05	 	3	0.26	 	14	1.23	 	447	39.28	 	6	0.53	 	146	12.83	 	22	1.93	 	23	2.02	 	13	1.14	 	3	0.26	 	442	38.84	 	1	0.09	 	1138	96.44	 	42	3.56	 	1180	1.45
Forreston		                                  	1	0.49	 	4	1.97	 	2	0.99	 	1	0.49	 	34	16.75	 	0	0	 	29	14.29	 	6	2.96	 	2	0.99	 	1	0.49	 	1	0.49	 	122	60.1	 	0	0	 	203	98.54	 	3	1.46	 	206	0.25
Freeling		                                   	3	0.36	 	19	2.26	 	6	0.72	 	11	1.31	 	240	28.61	 	2	0.24	 	79	9.42	 	6	0.72	 	18	2.15	 	7	0.83	 	4	0.48	 	443	52.8	 	1	0.12	 	839	96.99	 	26	3.01	 	865	1.06
Gawler		                                     	8	0.58	 	30	2.17	 	5	0.36	 	22	1.59	 	407	29.39	 	2	0.14	 	176	12.71	 	5	0.36	 	17	1.23	 	9	0.65	 	5	0.36	 	699	50.47	 	0	0	 	1385	97.33	 	38	2.67	 	1423	1.74
Gawler East		                                	1	0.07	 	14	0.93	 	3	0.2	 	20	1.32	 	485	32.08	 	0	0	 	157	10.38	 	8	0.53	 	7	0.46	 	8	0.53	 	5	0.33	 	804	53.17	 	0	0	 	1512	99.02	 	15	0.98	 	1527	1.87
Gawler River		                               	1	0.36	 	6	2.15	 	0	0	 	5	1.79	 	70	25.09	 	1	0.36	 	23	8.24	 	2	0.72	 	0	0	 	1	0.36	 	0	0	 	170	60.93	 	0	0	 	279	97.89	 	6	2.11	 	285	0.35
Gawler South		                               	9	0.38	 	33	1.38	 	3	0.13	 	18	0.75	 	907	38	 	4	0.17	 	279	11.69	 	22	0.92	 	20	0.84	 	13	0.54	 	13	0.54	 	1066	44.66	 	0	0	 	2387	97.47	 	62	2.53	 	2449	3
Gawler West		                                	4	0.3	 	16	1.21	 	5	0.38	 	16	1.21	 	548	41.61	 	6	0.46	 	112	8.5	 	6	0.46	 	22	1.67	 	21	1.59	 	4	0.3	 	557	42.29	 	0	0	 	1317	96.84	 	43	3.16	 	1360	1.67
Glossop		                                    	3	0.59	 	13	2.55	 	8	1.57	 	8	1.57	 	142	27.84	 	3	0.59	 	50	9.8	 	1	0.2	 	16	3.14	 	6	1.18	 	0	0	 	260	50.98	 	0	0	 	510	95.15	 	26	4.85	 	536	0.66
Greenock		                                   	2	0.32	 	18	2.91	 	3	0.49	 	8	1.29	 	136	22.01	 	1	0.16	 	68	11	 	3	0.49	 	7	1.13	 	1	0.16	 	3	0.49	 	368	59.55	 	0	0	 	618	97.17	 	18	2.83	 	636	0.78
Gumeracha		                                  	2	0.39	 	9	1.77	 	4	0.79	 	7	1.38	 	100	19.65	 	0	0	 	66	12.97	 	4	0.79	 	5	0.98	 	2	0.39	 	1	0.2	 	309	60.71	 	0	0	 	509	97.14	 	15	2.86	 	524	0.64
Hamley Bridge		                              	3	0.57	 	9	1.71	 	3	0.57	 	4	0.76	 	137	26	 	0	0	 	65	12.33	 	8	1.52	 	5	0.95	 	5	0.95	 	4	0.76	 	284	53.89	 	0	0	 	527	97.41	 	14	2.59	 	541	0.66
Jerusalem		                                  	2	1.02	 	1	0.51	 	3	1.53	 	0	0	 	98	50	 	0	0	 	13	6.63	 	0	0	 	2	1.02	 	0	0	 	0	0	 	77	39.29	 	0	0	 	196	98.49	 	3	1.51	 	199	0.24
Kadina		                                     	3	0.16	 	20	1.06	 	10	0.53	 	28	1.48	 	555	29.32	 	12	0.63	 	130	6.87	 	8	0.42	 	13	0.69	 	12	0.63	 	8	0.42	 	1094	57.79	 	0	0	 	1893	98.03	 	38	1.97	 	1931	2.37
Kapunda		                                    	2	0.12	 	42	2.47	 	14	0.82	 	16	0.94	 	496	29.19	 	6	0.35	 	164	9.65	 	13	0.77	 	16	0.94	 	9	0.53	 	5	0.29	 	916	53.91	 	0	0	 	1699	97.09	 	51	2.91	 	1750	2.14
Kersbrook		                                  	1	0.16	 	13	2.03	 	3	0.47	 	4	0.63	 	126	19.72	 	0	0	 	59	9.23	 	9	1.41	 	6	0.94	 	8	1.25	 	2	0.31	 	408	63.85	 	0	0	 	639	98.31	 	11	1.69	 	650	0.8
Kingston-On-Murray		                         	0	0	 	4	2.37	 	5	2.96	 	6	3.55	 	29	17.16	 	0	0	 	23	13.61	 	0	0	 	1	0.59	 	2	1.18	 	4	2.37	 	95	56.21	 	0	0	 	169	96.02	 	7	3.98	 	176	0.22
Loveday		                                    	0	0	 	5	3.11	 	4	2.48	 	0	0	 	38	23.6	 	1	0.62	 	10	6.21	 	0	0	 	8	4.97	 	2	1.24	 	4	2.48	 	89	55.28	 	0	0	 	161	95.27	 	8	4.73	 	169	0.21
Loxton		                                     	14	0.48	 	43	1.47	 	21	0.72	 	40	1.37	 	593	20.26	 	7	0.24	 	282	9.63	 	15	0.51	 	127	4.34	 	12	0.41	 	38	1.3	 	1733	59.21	 	2	0.07	 	2927	97.11	 	87	2.89	 	3014	3.69
Loxton North		                               	5	1.07	 	4	0.86	 	2	0.43	 	5	1.07	 	85	18.24	 	2	0.43	 	62	13.3	 	1	0.21	 	10	2.15	 	5	1.07	 	7	1.5	 	277	59.44	 	1	0.21	 	466	98.11	 	9	1.89	 	475	0.58
Lyndoch		                                    	3	0.3	 	21	2.08	 	3	0.3	 	7	0.69	 	290	28.66	 	2	0.2	 	103	10.18	 	9	0.89	 	12	1.19	 	7	0.69	 	1	0.1	 	552	54.55	 	2	0.2	 	1012	97.12	 	30	2.88	 	1042	1.28
Lyrup		                                      	4	1.89	 	3	1.42	 	6	2.83	 	4	1.89	 	39	18.4	 	1	0.47	 	22	10.38	 	0	0	 	15	7.08	 	2	0.94	 	2	0.94	 	114	53.77	 	0	0	 	212	98.6	 	3	1.4	 	215	0.26
Maitland		                                   	2	0.21	 	7	0.72	 	11	1.13	 	13	1.33	 	151	15.5	 	2	0.21	 	55	5.65	 	2	0.21	 	21	2.16	 	6	0.62	 	6	0.62	 	698	71.66	 	0	0	 	974	98.38	 	16	1.62	 	990	1.21
Mallala		                                    	6	0.85	 	10	1.42	 	8	1.13	 	1	0.14	 	172	24.4	 	1	0.14	 	60	8.51	 	1	0.14	 	2	0.28	 	6	0.85	 	4	0.57	 	433	61.42	 	1	0.14	 	705	98.88	 	8	1.12	 	713	0.87
Manoora		                                    	1	0.45	 	0	0	 	0	0	 	2	0.91	 	45	20.45	 	1	0.45	 	14	6.36	 	0	0	 	0	0	 	0	0	 	1	0.45	 	156	70.91	 	0	0	 	220	98.21	 	4	1.79	 	224	0.27
Marion Bay		                                 	1	0.95	 	2	1.9	 	2	1.9	 	2	1.9	 	36	34.29	 	1	0.95	 	7	6.67	 	2	1.9	 	0	0	 	0	0	 	0	0	 	52	49.52	 	0	0	 	105	100	 	0	0	 	105	0.13
Marrabel		                                   	1	0.62	 	0	0	 	1	0.62	 	2	1.24	 	13	8.07	 	1	0.62	 	10	6.21	 	1	0.62	 	5	3.11	 	0	0	 	4	2.48	 	123	76.4	 	0	0	 	161	97.58	 	4	2.42	 	165	0.2
Minlaton		                                   	3	0.37	 	12	1.49	 	10	1.24	 	7	0.87	 	129	15.97	 	1	0.12	 	45	5.57	 	2	0.25	 	13	1.61	 	6	0.74	 	3	0.37	 	577	71.41	 	0	0	 	808	97.23	 	23	2.77	 	831	1.02
Moculta		                                    	0	0	 	1	0.75	 	0	0	 	3	2.26	 	19	14.29	 	0	0	 	13	9.77	 	2	1.5	 	0	0	 	0	0	 	0	0	 	95	71.43	 	0	0	 	133	96.38	 	5	3.62	 	138	0.17
Monash		                                     	5	1.05	 	6	1.27	 	1	0.21	 	9	1.9	 	129	27.22	 	2	0.42	 	45	9.49	 	2	0.42	 	25	5.27	 	3	0.63	 	3	0.63	 	244	51.48	 	0	0	 	474	97.53	 	12	2.47	 	486	0.6
Moonta		                                     	11	0.7	 	19	1.21	 	3	0.19	 	13	0.83	 	524	33.42	 	6	0.38	 	124	7.91	 	1	0.06	 	21	1.34	 	25	1.59	 	14	0.89	 	807	51.47	 	0	0	 	1568	96.91	 	50	3.09	 	1618	1.98
Moonta Mines		                               	2	0.77	 	4	1.54	 	0	0	 	2	0.77	 	114	44.02	 	1	0.39	 	15	5.79	 	1	0.39	 	1	0.39	 	5	1.93	 	0	0	 	114	44.02	 	0	0	 	259	96.64	 	9	3.36	 	268	0.33
Moorook		                                    	1	0.33	 	1	0.33	 	2	0.66	 	3	1	 	53	17.61	 	0	0	 	14	4.65	 	2	0.66	 	10	3.32	 	1	0.33	 	0	0	 	214	71.1	 	0	0	 	301	98.37	 	5	1.63	 	306	0.37
Morgan		                                     	8	1.72	 	5	1.08	 	5	1.08	 	2	0.43	 	159	34.27	 	2	0.43	 	38	8.19	 	4	0.86	 	6	1.29	 	10	2.16	 	4	0.86	 	221	47.63	 	0	0	 	464	97.07	 	14	2.93	 	478	0.59
Mount Pleasant		                             	2	0.32	 	11	1.78	 	3	0.49	 	4	0.65	 	144	23.34	 	1	0.16	 	59	9.56	 	4	0.65	 	7	1.13	 	5	0.81	 	3	0.49	 	374	60.62	 	0	0	 	617	98.09	 	12	1.91	 	629	0.77
Mount Torrens		                              	2	0.62	 	7	2.17	 	3	0.93	 	4	1.24	 	51	15.79	 	0	0	 	35	10.84	 	1	0.31	 	0	0	 	3	0.93	 	2	0.62	 	215	66.56	 	0	0	 	323	97	 	10	3	 	333	0.41
North Yelta		                                	1	0.68	 	2	1.36	 	1	0.68	 	1	0.68	 	76	51.7	 	0	0	 	8	5.44	 	2	1.36	 	1	0.68	 	5	3.4	 	0	0	 	50	34.01	 	0	0	 	147	95.45	 	7	4.55	 	154	0.19
Nuriootpa		                                  	13	0.49	 	45	1.68	 	21	0.79	 	45	1.68	 	669	25.04	 	10	0.37	 	249	9.32	 	8	0.3	 	29	1.09	 	23	0.86	 	10	0.37	 	1550	58.01	 	0	0	 	2672	96.46	 	98	3.54	 	2770	3.39
Owen		                                       	4	1.12	 	6	1.68	 	8	2.23	 	5	1.4	 	67	18.72	 	1	0.28	 	27	7.54	 	4	1.12	 	3	0.84	 	1	0.28	 	1	0.28	 	231	64.53	 	0	0	 	358	97.02	 	11	2.98	 	369	0.45
Palmer		                                     	0	0	 	2	1.46	 	2	1.46	 	2	1.46	 	28	20.44	 	0	0	 	14	10.22	 	1	0.73	 	0	0	 	0	0	 	1	0.73	 	87	63.5	 	0	0	 	137	99.28	 	1	0.72	 	138	0.17
Paringa		                                    	1	0.15	 	12	1.78	 	5	0.74	 	4	0.59	 	128	19.02	 	0	0	 	43	6.39	 	3	0.45	 	22	3.27	 	3	0.45	 	4	0.59	 	448	66.57	 	0	0	 	673	98.39	 	11	1.61	 	684	0.84
Paskeville		                                 	2	0.86	 	0	0	 	1	0.43	 	1	0.43	 	37	15.88	 	0	0	 	12	5.15	 	0	0	 	0	0	 	2	0.86	 	0	0	 	178	76.39	 	0	0	 	233	99.15	 	2	0.85	 	235	0.29
Pine Point		                                 	0	0	 	3	2.24	 	0	0	 	2	1.49	 	32	23.88	 	0	0	 	12	8.96	 	0	0	 	0	0	 	0	0	 	0	0	 	85	63.43	 	0	0	 	134	98.53	 	2	1.47	 	136	0.17
Point Pass		                                 	0	0	 	1	0.76	 	0	0	 	1	0.76	 	24	18.18	 	0	0	 	13	9.85	 	3	2.27	 	12	9.09	 	0	0	 	0	0	 	78	59.09	 	0	0	 	132	95.65	 	6	4.35	 	138	0.17
Port Clinton		                               	2	0.64	 	3	0.96	 	0	0	 	3	0.96	 	112	36.01	 	0	0	 	18	5.79	 	1	0.32	 	0	0	 	10	3.22	 	0	0	 	162	52.09	 	0	0	 	311	96.58	 	11	3.42	 	322	0.39
Port Victoria		                              	0	0	 	2	0.72	 	1	0.36	 	0	0	 	64	23.02	 	2	0.72	 	15	5.4	 	1	0.36	 	1	0.36	 	1	0.36	 	1	0.36	 	190	68.35	 	0	0	 	278	97.2	 	8	2.8	 	286	0.35
Port Vincent		                               	2	0.41	 	3	0.62	 	0	0	 	1	0.21	 	133	27.54	 	0	0	 	45	9.32	 	0	0	 	3	0.62	 	3	0.62	 	2	0.41	 	291	60.25	 	0	0	 	483	98.37	 	8	1.63	 	491	0.6
Port Wakefield		                             	3	0.61	 	3	0.61	 	3	0.61	 	6	1.22	 	127	25.92	 	2	0.41	 	37	7.55	 	1	0.2	 	9	1.84	 	6	1.22	 	3	0.61	 	290	59.18	 	0	0	 	490	95.33	 	24	4.67	 	514	0.63
Ramco		                                      	2	0.43	 	4	0.86	 	3	0.65	 	11	2.37	 	101	21.72	 	1	0.22	 	34	7.31	 	2	0.43	 	17	3.66	 	0	0	 	4	0.86	 	286	61.51	 	0	0	 	465	97.89	 	10	2.11	 	475	0.58
Renmark		                                    	16	0.52	 	35	1.13	 	20	0.65	 	20	0.65	 	962	31.17	 	16	0.52	 	284	9.2	 	16	0.52	 	92	2.98	 	20	0.65	 	12	0.39	 	1591	51.56	 	2	0.06	 	3086	95.51	 	145	4.49	 	3231	3.96
Renmark North		                              	5	0.99	 	0	0	 	5	0.99	 	2	0.4	 	119	23.56	 	3	0.59	 	70	13.86	 	2	0.4	 	25	4.95	 	0	0	 	2	0.4	 	272	53.86	 	0	0	 	505	96.74	 	17	3.26	 	522	0.64
Renmark West		                               	2	0.37	 	8	1.49	 	5	0.93	 	2	0.37	 	111	20.67	 	3	0.56	 	61	11.36	 	5	0.93	 	10	1.86	 	1	0.19	 	1	0.19	 	328	61.08	 	0	0	 	537	96.41	 	20	3.59	 	557	0.68
Riverton		                                   	3	0.46	 	2	0.31	 	7	1.08	 	8	1.23	 	123	18.92	 	0	0	 	64	9.85	 	2	0.31	 	4	0.62	 	4	0.62	 	3	0.46	 	430	66.15	 	0	0	 	650	97.45	 	17	2.55	 	667	0.82
Robertstown		                                	1	0.35	 	3	1.06	 	2	0.71	 	4	1.41	 	54	19.08	 	0	0	 	22	7.77	 	2	0.71	 	5	1.77	 	2	0.71	 	4	1.41	 	184	65.02	 	0	0	 	283	96.92	 	9	3.08	 	292	0.36
Roseworthy		                                 	3	0.87	 	6	1.74	 	3	0.87	 	1	0.29	 	101	29.28	 	0	0	 	34	9.86	 	1	0.29	 	2	0.58	 	1	0.29	 	2	0.58	 	190	55.07	 	1	0.29	 	345	97.18	 	10	2.82	 	355	0.43
Saddleworth		                                	1	0.26	 	4	1.03	 	3	0.77	 	1	0.26	 	97	24.94	 	0	0	 	27	6.94	 	1	0.26	 	4	1.03	 	3	0.77	 	2	0.51	 	246	63.24	 	0	0	 	389	97.01	 	12	2.99	 	401	0.49
Sandy Creek		                                	0	0	 	14	2.81	 	2	0.4	 	3	0.6	 	137	27.45	 	1	0.2	 	68	13.63	 	6	1.2	 	4	0.8	 	4	0.8	 	4	0.8	 	256	51.3	 	0	0	 	499	99.6	 	2	0.4	 	501	0.61
Springton		                                  	1	0.34	 	7	2.38	 	2	0.68	 	4	1.36	 	61	20.75	 	0	0	 	35	11.9	 	1	0.34	 	1	0.34	 	0	0	 	0	0	 	182	61.9	 	0	0	 	294	97.67	 	7	2.33	 	301	0.37
Stansbury		                                  	1	0.21	 	4	0.82	 	1	0.21	 	15	3.09	 	109	22.47	 	1	0.21	 	32	6.6	 	1	0.21	 	7	1.44	 	4	0.82	 	2	0.41	 	308	63.51	 	0	0	 	485	97.98	 	10	2.02	 	495	0.61
Stockwell		                                  	0	0	 	2	0.65	 	2	0.65	 	1	0.32	 	36	11.69	 	0	0	 	22	7.14	 	1	0.32	 	6	1.95	 	1	0.32	 	0	0	 	237	76.95	 	0	0	 	308	95.95	 	13	4.05	 	321	0.39
Tanunda		                                    	8	0.31	 	41	1.59	 	8	0.31	 	46	1.78	 	457	17.69	 	2	0.08	 	173	6.7	 	15	0.58	 	33	1.28	 	11	0.43	 	14	0.54	 	1774	68.68	 	1	0.04	 	2583	97.18	 	75	2.82	 	2658	3.26
Tarlee		                                     	0	0	 	2	0.99	 	1	0.49	 	4	1.97	 	36	17.73	 	1	0.49	 	11	5.42	 	1	0.49	 	1	0.49	 	1	0.49	 	0	0	 	145	71.43	 	0	0	 	203	98.54	 	3	1.46	 	206	0.25
Truro		                                      	0	0	 	8	2.09	 	3	0.79	 	1	0.26	 	91	23.82	 	0	0	 	44	11.52	 	2	0.52	 	10	2.62	 	1	0.26	 	1	0.26	 	221	57.85	 	0	0	 	382	96.95	 	12	3.05	 	394	0.48
Two Wells		                                  	7	0.37	 	20	1.07	 	14	0.75	 	17	0.91	 	693	37	 	5	0.27	 	208	11.11	 	6	0.32	 	13	0.69	 	7	0.37	 	4	0.21	 	879	46.93	 	0	0	 	1873	95.12	 	96	4.88	 	1969	2.41
Waikerie		                                   	12	0.57	 	30	1.42	 	16	0.76	 	20	0.95	 	460	21.81	 	12	0.57	 	143	6.78	 	20	0.95	 	56	2.66	 	10	0.47	 	8	0.38	 	1322	62.68	 	0	0	 	2109	96.17	 	84	3.83	 	2193	2.69
Wallaroo		                                   	9	0.55	 	11	0.67	 	4	0.24	 	9	0.55	 	790	48.2	 	3	0.18	 	116	7.08	 	10	0.61	 	5	0.31	 	25	1.53	 	6	0.37	 	651	39.72	 	0	0	 	1639	96.7	 	56	3.3	 	1695	2.08
Wallaroo Mines		                             	2	0.4	 	7	1.41	 	4	0.81	 	4	0.81	 	262	52.82	 	2	0.4	 	29	5.85	 	3	0.6	 	3	0.6	 	2	0.4	 	4	0.81	 	174	35.08	 	0	0	 	496	97.06	 	15	2.94	 	511	0.63
Warooka		                                    	1	0.23	 	2	0.47	 	3	0.7	 	1	0.23	 	63	14.65	 	1	0.23	 	31	7.21	 	3	0.7	 	2	0.47	 	5	1.16	 	1	0.23	 	317	73.72	 	0	0	 	430	97.51	 	11	2.49	 	441	0.54
Wasleys		                                    	1	0.38	 	8	3.01	 	1	0.38	 	3	1.13	 	70	26.32	 	0	0	 	20	7.52	 	1	0.38	 	6	2.26	 	2	0.75	 	2	0.75	 	152	57.14	 	0	0	 	266	98.15	 	5	1.85	 	271	0.33
Watervale		                                  	2	0.89	 	7	3.13	 	0	0	 	1	0.45	 	52	23.21	 	0	0	 	23	10.27	 	3	1.34	 	3	1.34	 	7	3.13	 	0	0	 	126	56.25	 	0	0	 	224	97.82	 	5	2.18	 	229	0.28
Weetulta		                                   	0	0	 	1	1.33	 	0	0	 	0	0	 	4	5.33	 	0	0	 	4	5.33	 	0	0	 	1	1.33	 	0	0	 	0	0	 	65	86.67	 	0	0	 	75	96.15	 	3	3.85	 	78	0.1
Willaston		                                  	10	0.52	 	40	2.09	 	7	0.37	 	22	1.15	 	681	35.56	 	5	0.26	 	172	8.98	 	19	0.99	 	26	1.36	 	12	0.63	 	5	0.26	 	916	47.83	 	0	0	 	1915	96.72	 	65	3.28	 	1980	2.43
Williamstown		                               	6	0.6	 	23	2.31	 	1	0.1	 	10	1.01	 	308	30.99	 	1	0.1	 	136	13.68	 	10	1.01	 	5	0.5	 	9	0.91	 	5	0.5	 	480	48.29	 	0	0	 	994	97.74	 	23	2.26	 	1017	1.25
Winkie		                                     	3	1.12	 	3	1.12	 	2	0.74	 	2	0.74	 	73	27.14	 	1	0.37	 	25	9.29	 	0	0	 	10	3.72	 	1	0.37	 	3	1.12	 	146	54.28	 	0	0	 	269	98.53	 	4	1.47	 	273	0.33
Yorketown		                                  	4	0.57	 	6	0.86	 	3	0.43	 	20	2.85	 	159	22.68	 	1	0.14	 	57	8.13	 	5	0.71	 	12	1.71	 	4	0.57	 	4	0.57	 	426	60.77	 	0	0	 	701	96.16	 	28	3.84	 	729	0.89
Special Hospitals		                          	5	0.74	 	4	0.59	 	6	0.89	 	5	0.74	 	209	30.96	 	4	0.59	 	35	5.19	 	3	0.44	 	10	1.48	 	2	0.3	 	2	0.3	 	390	57.78	 	0	0	 	675	98.25	 	12	1.75	 	687	0.84
Total Ordinary		                             	339	0.47	 	987	1.38	 	409	0.57	 	794	1.11	 	19609	27.46	 	195	0.27	 	6341	8.88	 	434	0.61	 	1190	1.67	 	527	0.74	 	344	0.48	 	40229	56.34	 	12	0.02	 	71410	97.07	 	2152	2.93	 	73562	90.11
ABSENT		                                     	15	0.33	 	114	2.5	 	31	0.68	 	58	1.27	 	1418	31.08	 	14	0.31	 	444	9.73	 	47	1.03	 	41	0.9	 	32	0.7	 	26	0.57	 	2322	50.89	 	1	0.02	 	4563	98.15	 	86	1.85	 	4649	5.7
POSTAL		                                     	1	0.06	 	27	1.54	 	19	1.08	 	27	1.54	 	429	24.4	 	3	0.17	 	130	7.39	 	5	0.28	 	21	1.19	 	40	2.28	 	25	1.42	 	1030	58.59	 	1	0.06	 	1758	98.88	 	20	1.12	 	1778	2.18
PRE_POLL		                                   	6	0.43	 	40	2.87	 	18	1.29	 	11	0.79	 	393	28.15	 	5	0.36	 	118	8.45	 	10	0.72	 	12	0.86	 	12	0.86	 	6	0.43	 	765	54.8	 	0	0	 	1396	99.15	 	12	0.85	 	1408	1.72
