Senate - 1993 Election: Victoria																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Aston (79158)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Kensington		                                 	17	1.09	 	37	2.38	 	2	0.13	 	5	0.32	 	4	0.26	 	34	2.19	 	254	16.32	 	4	0.26	 	1118	71.85	 	57	3.66	 	0	0	 	21	1.35	 	3	0.19	 	1556	94.47	 	91	5.53	 	1647	2.16
Melbourne		                                  	9	1.04	 	19	2.19	 	1	0.12	 	9	1.04	 	3	0.35	 	5	0.58	 	317	36.61	 	5	0.58	 	391	45.15	 	71	8.2	 	0	0	 	25	2.89	 	11	1.27	 	866	95.48	 	41	4.52	 	907	1.19
Merri		                                      	15	1.53	 	33	3.37	 	3	0.31	 	4	0.41	 	4	0.41	 	20	2.04	 	198	20.25	 	3	0.31	 	627	64.11	 	41	4.19	 	0	0	 	26	2.66	 	4	0.41	 	978	95.04	 	51	4.96	 	1029	1.35
Newmarket		                                  	40	1.71	 	60	2.56	 	26	1.11	 	13	0.55	 	4	0.17	 	30	1.28	 	508	21.68	 	4	0.17	 	1464	62.48	 	136	5.8	 	0	0	 	50	2.13	 	8	0.34	 	2343	94.59	 	134	5.41	 	2477	3.25
North Melbourne		                            	18	1.12	 	32	2	 	10	0.62	 	15	0.94	 	7	0.44	 	28	1.75	 	443	27.62	 	3	0.19	 	927	57.79	 	90	5.61	 	1	0.06	 	21	1.31	 	9	0.56	 	1604	94.02	 	102	5.98	 	1706	2.24
North Melbourne Central		                    	10	1.12	 	26	2.91	 	3	0.34	 	9	1.01	 	4	0.45	 	13	1.46	 	227	25.42	 	2	0.22	 	514	57.56	 	44	4.93	 	0	0	 	32	3.58	 	9	1.01	 	893	96.65	 	31	3.35	 	924	1.21
Parkville		                                  	6	0.55	 	60	5.51	 	5	0.46	 	13	1.19	 	7	0.64	 	9	0.83	 	410	37.68	 	1	0.09	 	451	41.45	 	75	6.89	 	0	0	 	45	4.14	 	6	0.55	 	1088	97.49	 	28	2.51	 	1116	1.46
Richmond		                                   	27	0.81	 	83	2.5	 	11	0.33	 	13	0.39	 	3	0.09	 	54	1.63	 	1003	30.18	 	8	0.24	 	1767	53.17	 	226	6.8	 	0	0	 	108	3.25	 	20	0.6	 	3323	95.85	 	144	4.15	 	3467	4.55
Richmond Central		                           	24	1.55	 	17	1.1	 	6	0.39	 	6	0.39	 	11	0.71	 	20	1.29	 	394	25.44	 	5	0.32	 	916	59.13	 	99	6.39	 	0	0	 	34	2.19	 	17	1.1	 	1549	96.09	 	63	3.91	 	1612	2.11
Richmond East		                              	45	1.51	 	121	4.07	 	10	0.34	 	3	0.1	 	10	0.34	 	30	1.01	 	776	26.09	 	9	0.3	 	1734	58.31	 	158	5.31	 	0	0	 	66	2.22	 	12	0.4	 	2974	95.14	 	152	4.86	 	3126	4.1
Richmond North		                             	11	1.21	 	5	0.55	 	3	0.33	 	3	0.33	 	5	0.55	 	42	4.63	 	109	12	 	4	0.44	 	702	77.31	 	8	0.88	 	0	0	 	8	0.88	 	8	0.88	 	908	93.32	 	65	6.68	 	973	1.28
Richmond South		                             	14	2.09	 	8	1.2	 	1	0.15	 	3	0.45	 	0	0	 	7	1.05	 	186	27.8	 	1	0.15	 	396	59.19	 	42	6.28	 	0	0	 	9	1.35	 	2	0.3	 	669	95.85	 	29	4.15	 	698	0.92
Richmond West		                              	29	1.61	 	11	0.61	 	7	0.39	 	7	0.39	 	1	0.06	 	61	3.39	 	218	12.1	 	8	0.44	 	1411	78.35	 	28	1.55	 	0	0	 	8	0.44	 	12	0.67	 	1801	94.49	 	105	5.51	 	1906	2.5
Royal Melbourne Hospital		                   	0	0	 	4	2.74	 	2	1.37	 	0	0	 	0	0	 	2	1.37	 	40	27.4	 	0	0	 	81	55.48	 	16	10.96	 	0	0	 	1	0.68	 	0	0	 	146	98.65	 	2	1.35	 	148	0.19
Royal Park		                                 	4	2.38	 	3	1.79	 	0	0	 	0	0	 	0	0	 	3	1.79	 	50	29.76	 	1	0.6	 	100	59.52	 	3	1.79	 	0	0	 	4	2.38	 	0	0	 	168	98.25	 	3	1.75	 	171	0.22
Royal Women's Hospital		                     	0	0	 	8	3.79	 	0	0	 	1	0.47	 	3	1.42	 	3	1.42	 	66	31.28	 	0	0	 	101	47.87	 	23	10.9	 	0	0	 	6	2.84	 	0	0	 	211	99.53	 	1	0.47	 	212	0.28
St Vincent's Hospital		                      	0	0	 	2	1.49	 	0	0	 	2	1.49	 	0	0	 	3	2.24	 	44	32.84	 	0	0	 	68	50.75	 	7	5.22	 	0	0	 	6	4.48	 	2	1.49	 	134	97.81	 	3	2.19	 	137	0.18
Special Hospitals		                          	8	2.59	 	2	0.65	 	1	0.32	 	3	0.97	 	3	0.97	 	5	1.62	 	126	40.78	 	5	1.62	 	146	47.25	 	7	2.27	 	0	0	 	3	0.97	 	0	0	 	309	95.37	 	15	4.63	 	324	0.42
Prison Mobiles		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0
Total Ordinary		                             	802	1.28	 	1846	2.94	 	278	0.44	 	310	0.49	 	167	0.27	 	990	1.57	 	14860	23.64	 	162	0.26	 	38352	61.01	 	3158	5.02	 	10	0.02	 	1549	2.46	 	376	0.6	 	62860	95.44	 	3003	4.56	 	65863	86.35
ABSENT		                                     	39	0.73	 	182	3.41	 	48	0.9	 	54	1.01	 	27	0.51	 	81	1.52	 	1603	30.06	 	14	0.26	 	2647	49.64	 	397	7.45	 	1	0.02	 	218	4.09	 	21	0.39	 	5332	98.18	 	99	1.82	 	5431	7.12
POSTAL		                                     	38	2.15	 	23	1.3	 	12	0.68	 	8	0.45	 	13	0.74	 	31	1.75	 	588	33.26	 	4	0.23	 	898	50.79	 	91	5.15	 	0	0	 	50	2.83	 	12	0.68	 	1768	97.9	 	38	2.1	 	1806	2.37
PRE_POLL		                                   	13	0.52	 	54	2.16	 	17	0.68	 	19	0.76	 	18	0.72	 	43	1.72	 	791	31.69	 	11	0.44	 	1224	49.04	 	161	6.45	 	3	0.12	 	133	5.33	 	9	0.36	 	2496	98.35	 	42	1.65	 	2538	3.33
PROVISIONAL		                                	9	1.49	 	15	2.48	 	7	1.16	 	4	0.66	 	2	0.33	 	17	2.81	 	107	17.66	 	1	0.17	 	389	64.19	 	19	3.14	 	0	0	 	31	5.12	 	5	0.83	 	606	95.58	 	28	4.42	 	634	0.83
ADJUSTMENT		                                 	6		       	9		       	0		       	1		       	-3		       	1		       	1		       	0		       	7		       	-12		       	1		       	-11		       	-1		       	-1		       	1		       	0	
Division Summary		                           	907	1.24	 	2129	2.91	 	362	0.5	 	396	0.54	 	224	0.31	 	1163	1.59	 	17950	24.57	 	192	0.26	 	43517	59.56	 	3814	5.22	 	15	0.02	 	1970	2.7	 	422	0.58	 	73061	95.79	 	3211	4.21	 	76272	93.62
 																																																	


Menzies (74199)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beverley Hills		                             	16	0.52	 	46	1.5	 	34	1.11	 	12	0.39	 	19	0.62	 	27	0.88	 	1461	47.75	 	6	0.2	 	1278	41.76	 	140	4.58	 	0	0	 	15	0.49	 	6	0.2	 	3060	96.77	 	102	3.23	 	3162	4.38
Botanic Park		                               	6	0.61	 	9	0.92	 	7	0.71	 	1	0.1	 	6	0.61	 	8	0.81	 	604	61.51	 	3	0.31	 	285	29.02	 	38	3.87	 	0	0	 	11	1.12	 	4	0.41	 	982	97.23	 	28	2.77	 	1010	1.4
Bulleen		                                    	24	0.58	 	71	1.71	 	25	0.6	 	9	0.22	 	10	0.24	 	48	1.16	 	1821	43.95	 	8	0.19	 	1870	45.14	 	199	4.8	 	0	0	 	46	1.11	 	12	0.29	 	4143	95.53	 	194	4.47	 	4337	6
Bulleen West		                               	5	0.46	 	4	0.37	 	14	1.3	 	5	0.46	 	7	0.65	 	18	1.67	 	471	43.69	 	7	0.65	 	489	45.36	 	43	3.99	 	1	0.09	 	11	1.02	 	3	0.28	 	1078	95.91	 	46	4.09	 	1124	1.56
Donburn		                                    	1	0.13	 	0	0	 	5	0.66	 	3	0.4	 	6	0.79	 	8	1.06	 	420	55.63	 	2	0.26	 	281	37.22	 	22	2.91	 	0	0	 	6	0.79	 	1	0.13	 	755	99.34	 	5	0.66	 	760	1.05
Doncaster		                                  	23	0.67	 	58	1.68	 	18	0.52	 	14	0.41	 	17	0.49	 	27	0.78	 	1835	53.14	 	7	0.2	 	1273	36.87	 	142	4.11	 	0	0	 	33	0.96	 	6	0.17	 	3453	96.56	 	123	3.44	 	3576	4.95
Doncaster Central		                          	8	0.6	 	42	3.14	 	7	0.52	 	5	0.37	 	7	0.52	 	18	1.35	 	683	51.08	 	3	0.22	 	519	38.82	 	35	2.62	 	0	0	 	8	0.6	 	2	0.15	 	1337	96.46	 	49	3.54	 	1386	1.92
Doncaster East		                             	34	0.7	 	86	1.78	 	34	0.7	 	16	0.33	 	12	0.25	 	35	0.72	 	2450	50.63	 	8	0.17	 	1977	40.86	 	141	2.91	 	0	0	 	39	0.81	 	7	0.14	 	4839	96.38	 	182	3.62	 	5021	6.95
Doncaster Heights		                          	13	0.7	 	11	0.6	 	9	0.49	 	4	0.22	 	16	0.87	 	39	2.11	 	818	44.34	 	7	0.38	 	845	45.8	 	65	3.52	 	0	0	 	17	0.92	 	1	0.05	 	1845	96.7	 	63	3.3	 	1908	2.64
Doncaster Park		                             	21	0.82	 	17	0.66	 	17	0.66	 	9	0.35	 	5	0.19	 	20	0.78	 	1460	56.81	 	8	0.31	 	840	32.68	 	140	5.45	 	0	0	 	24	0.93	 	9	0.35	 	2570	96.91	 	82	3.09	 	2652	3.67
Doncaster South		                            	4	0.32	 	9	0.71	 	8	0.63	 	1	0.08	 	5	0.39	 	12	0.95	 	687	54.22	 	0	0	 	480	37.88	 	41	3.24	 	0	0	 	19	1.5	 	1	0.08	 	1267	97.61	 	31	2.39	 	1298	1.8
Doncaster West		                             	11	0.6	 	11	0.6	 	4	0.22	 	5	0.27	 	6	0.33	 	32	1.74	 	819	44.46	 	4	0.22	 	847	45.98	 	75	4.07	 	0	0	 	23	1.25	 	5	0.27	 	1842	97.15	 	54	2.85	 	1896	2.62
Donvale		                                    	6	0.18	 	59	1.76	 	22	0.66	 	8	0.24	 	34	1.01	 	36	1.07	 	2083	62.12	 	5	0.15	 	958	28.57	 	98	2.92	 	0	0	 	41	1.22	 	3	0.09	 	3353	97.39	 	90	2.61	 	3443	4.76
Eaglemont		                                  	3	0.24	 	11	0.88	 	3	0.24	 	7	0.56	 	2	0.16	 	21	1.69	 	761	61.12	 	0	0	 	353	28.35	 	58	4.66	 	0	0	 	23	1.85	 	3	0.24	 	1245	97.88	 	27	2.12	 	1272	1.76
Fairy Hills		                                	4	0.27	 	15	1.03	 	7	0.48	 	7	0.48	 	7	0.48	 	9	0.62	 	811	55.55	 	5	0.34	 	459	31.44	 	95	6.51	 	3	0.21	 	29	1.99	 	9	0.62	 	1460	97.07	 	44	2.93	 	1504	2.08
Gumnut Gully		                               	1	0.11	 	1	0.11	 	7	0.8	 	2	0.23	 	3	0.34	 	12	1.37	 	508	58.19	 	1	0.11	 	305	34.94	 	25	2.86	 	0	0	 	8	0.92	 	0	0	 	873	97.32	 	24	2.68	 	897	1.24
Ivanhoe East		                               	6	0.22	 	24	0.88	 	7	0.26	 	7	0.26	 	3	0.11	 	23	0.84	 	1685	61.86	 	4	0.15	 	766	28.12	 	135	4.96	 	1	0.04	 	58	2.13	 	5	0.18	 	2724	96.84	 	89	3.16	 	2813	3.89
Lower Templestowe		                          	14	0.73	 	14	0.73	 	21	1.09	 	6	0.31	 	12	0.62	 	30	1.56	 	894	46.47	 	3	0.16	 	823	42.78	 	77	4	 	0	0	 	26	1.35	 	4	0.21	 	1924	95.72	 	86	4.28	 	2010	2.78
Milgate		                                    	7	0.26	 	6	0.22	 	15	0.56	 	6	0.22	 	25	0.94	 	23	0.86	 	1547	57.98	 	1	0.04	 	913	34.22	 	101	3.79	 	0	0	 	18	0.67	 	6	0.22	 	2668	97.34	 	73	2.66	 	2741	3.79
Serpell		                                    	7	0.35	 	5	0.25	 	7	0.35	 	8	0.4	 	14	0.71	 	16	0.81	 	1298	65.46	 	2	0.1	 	564	28.44	 	46	2.32	 	0	0	 	9	0.45	 	7	0.35	 	1983	97.44	 	52	2.56	 	2035	2.82
Templestowe		                                	11	0.34	 	53	1.64	 	26	0.8	 	16	0.49	 	20	0.62	 	15	0.46	 	1928	59.56	 	4	0.12	 	1002	30.95	 	114	3.52	 	1	0.03	 	37	1.14	 	10	0.31	 	3237	96.6	 	114	3.4	 	3351	4.64
Templestowe Heights		                        	18	0.43	 	131	3.15	 	32	0.77	 	17	0.41	 	13	0.31	 	50	1.2	 	2418	58.11	 	7	0.17	 	1308	31.43	 	122	2.93	 	1	0.02	 	37	0.89	 	7	0.17	 	4161	97.06	 	126	2.94	 	4287	5.93
Templestowe Park		                           	6	0.31	 	10	0.51	 	17	0.86	 	8	0.41	 	4	0.2	 	28	1.42	 	1302	66.19	 	3	0.15	 	513	26.08	 	59	3	 	0	0	 	16	0.81	 	1	0.05	 	1967	96.94	 	62	3.06	 	2029	2.81
Templestowe Valley		                         	5	0.35	 	9	0.62	 	19	1.31	 	4	0.28	 	4	0.28	 	24	1.66	 	771	53.32	 	2	0.14	 	525	36.31	 	58	4.01	 	0	0	 	20	1.38	 	5	0.35	 	1446	97.18	 	42	2.82	 	1488	2.06
The Pines		                                  	4	0.46	 	3	0.34	 	3	0.34	 	3	0.34	 	8	0.91	 	5	0.57	 	492	56.23	 	3	0.34	 	316	36.11	 	28	3.2	 	0	0	 	6	0.69	 	4	0.46	 	875	97.33	 	24	2.67	 	899	1.24
Tunstall		                                   	7	0.41	 	8	0.47	 	11	0.65	 	3	0.18	 	13	0.77	 	13	0.77	 	870	51.54	 	1	0.06	 	648	38.39	 	85	5.04	 	0	0	 	22	1.3	 	7	0.41	 	1688	97.18	 	49	2.82	 	1737	2.4
Waldau		                                     	5	0.22	 	3	0.13	 	15	0.65	 	8	0.35	 	24	1.04	 	27	1.17	 	1209	52.38	 	3	0.13	 	888	38.47	 	92	3.99	 	0	0	 	28	1.21	 	6	0.26	 	2308	97.1	 	69	2.9	 	2377	3.29
Yarraleen		                                  	19	0.86	 	14	0.64	 	5	0.23	 	13	0.59	 	8	0.36	 	40	1.82	 	1156	52.55	 	6	0.27	 	846	38.45	 	69	3.14	 	0	0	 	23	1.05	 	1	0.05	 	2200	95.99	 	92	4.01	 	2292	3.17
Special Hospitals		                          	9	1.73	 	5	0.96	 	2	0.39	 	1	0.19	 	2	0.39	 	3	0.58	 	396	76.3	 	0	0	 	86	16.57	 	13	2.5	 	0	0	 	2	0.39	 	0	0	 	519	95.4	 	25	4.6	 	544	0.75
Total Ordinary		                             	298	0.48	 	735	1.19	 	401	0.65	 	208	0.34	 	312	0.5	 	667	1.08	 	33658	54.46	 	113	0.18	 	22257	36.01	 	2356	3.81	 	7	0.01	 	655	1.06	 	135	0.22	 	61802	96.79	 	2047	3.21	 	63849	88.35
ABSENT		                                     	17	0.46	 	40	1.07	 	34	0.91	 	24	0.64	 	23	0.62	 	56	1.5	 	1884	50.48	 	8	0.21	 	1372	36.76	 	171	4.58	 	0	0	 	95	2.55	 	8	0.21	 	3732	98.13	 	71	1.87	 	3803	5.26
POSTAL		                                     	14	0.88	 	11	0.69	 	16	1.01	 	1	0.06	 	15	0.94	 	20	1.26	 	1016	63.94	 	4	0.25	 	402	25.3	 	63	3.96	 	0	0	 	22	1.38	 	5	0.31	 	1589	99.06	 	15	0.94	 	1604	2.22
PRE_POLL		                                   	15	0.53	 	11	0.39	 	24	0.84	 	14	0.49	 	14	0.49	 	38	1.33	 	1735	60.86	 	4	0.14	 	828	29.04	 	121	4.24	 	0	0	 	42	1.47	 	5	0.18	 	2851	98.31	 	49	1.69	 	2900	4.01
PROVISIONAL		                                	2	1.52	 	1	0.76	 	1	0.76	 	0	0	 	0	0	 	2	1.52	 	75	56.82	 	0	0	 	44	33.33	 	4	3.03	 	0	0	 	2	1.52	 	1	0.76	 	132	97.78	 	3	2.22	 	135	0.19
ADJUSTMENT		                                 	2		       	2		       	4		       	-1		       	1		       	0		       	7		       	-3		       	7		       	-13		       	-1		       	2		       	0		       	7		       	-31		       	-24	
Division Summary		                           	348	0.5	 	800	1.14	 	480	0.68	 	246	0.35	 	365	0.52	 	783	1.12	 	38375	54.73	 	126	0.18	 	24910	35.53	 	2702	3.85	 	6	0.01	 	818	1.17	 	154	0.22	 	70113	97.02	 	2154	2.98	 	72267	97.4
 																																																	


Melbourne Ports (78562)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alfred Hospital		                            	1	0.52	 	3	1.56	 	3	1.56	 	1	0.52	 	0	0	 	3	1.56	 	92	47.92	 	2	1.04	 	73	38.02	 	9	4.69	 	0	0	 	5	2.6	 	0	0	 	192	98.46	 	3	1.54	 	195	0.26
Argyle		                                     	9	1.34	 	14	2.09	 	4	0.6	 	3	0.45	 	1	0.15	 	8	1.19	 	173	25.78	 	0	0	 	416	62	 	27	4.02	 	0	0	 	15	2.24	 	1	0.15	 	671	96.13	 	27	3.87	 	698	0.94
Bridport		                                   	14	0.71	 	32	1.63	 	8	0.41	 	10	0.51	 	4	0.2	 	21	1.07	 	558	28.34	 	4	0.2	 	1181	59.98	 	96	4.88	 	0	0	 	39	1.98	 	2	0.1	 	1969	95.44	 	94	4.56	 	2063	2.79
Camden		                                     	19	0.93	 	15	0.73	 	4	0.19	 	9	0.44	 	2	0.1	 	18	0.88	 	1028	50.07	 	2	0.1	 	815	39.7	 	100	4.87	 	0	0	 	37	1.8	 	4	0.19	 	2053	96.61	 	72	3.39	 	2125	2.87
Carnegie West		                              	10	1.37	 	17	2.32	 	5	0.68	 	5	0.68	 	0	0	 	12	1.64	 	243	33.2	 	1	0.14	 	395	53.96	 	31	4.23	 	0	0	 	11	1.5	 	2	0.27	 	732	97.47	 	19	2.53	 	751	1.01
Caulfield		                                  	8	0.69	 	24	2.08	 	1	0.09	 	5	0.43	 	3	0.26	 	17	1.48	 	608	52.78	 	5	0.43	 	399	34.64	 	62	5.38	 	0	0	 	18	1.56	 	2	0.17	 	1152	96.97	 	36	3.03	 	1188	1.6
Caulfield East		                             	10	0.65	 	18	1.17	 	8	0.52	 	10	0.65	 	3	0.19	 	15	0.97	 	750	48.61	 	3	0.19	 	642	41.61	 	62	4.02	 	1	0.06	 	18	1.17	 	3	0.19	 	1543	95.9	 	66	4.1	 	1609	2.17
Caulfield Hospital		                         	9	1.41	 	6	0.94	 	4	0.63	 	4	0.63	 	0	0	 	3	0.47	 	342	53.44	 	2	0.31	 	231	36.09	 	26	4.06	 	0	0	 	12	1.88	 	1	0.16	 	640	95.95	 	27	4.05	 	667	0.9
Caulfield North		                            	22	0.67	 	47	1.42	 	8	0.24	 	14	0.42	 	4	0.12	 	25	0.76	 	2048	61.97	 	2	0.06	 	985	29.8	 	109	3.3	 	1	0.03	 	31	0.94	 	9	0.27	 	3305	95.85	 	143	4.15	 	3448	4.66
Caulfield South		                            	14	0.71	 	14	0.71	 	5	0.25	 	8	0.4	 	5	0.25	 	18	0.91	 	998	50.4	 	3	0.15	 	781	39.44	 	103	5.2	 	0	0	 	25	1.26	 	6	0.3	 	1980	96.16	 	79	3.84	 	2059	2.78
Caulfield Upper		                            	22	1.07	 	39	1.9	 	6	0.29	 	9	0.44	 	0	0	 	22	1.07	 	1114	54.37	 	1	0.05	 	707	34.5	 	93	4.54	 	0	0	 	23	1.12	 	13	0.63	 	2049	96.65	 	71	3.35	 	2120	2.86
Caulfield West		                             	6	0.49	 	12	0.98	 	6	0.49	 	6	0.49	 	7	0.57	 	4	0.33	 	781	63.65	 	1	0.08	 	326	26.57	 	56	4.56	 	0	0	 	16	1.3	 	6	0.49	 	1227	97.23	 	35	2.77	 	1262	1.7
Elsternwick		                                	19	0.74	 	55	2.14	 	12	0.47	 	10	0.39	 	5	0.19	 	39	1.52	 	1112	43.35	 	2	0.08	 	1137	44.33	 	130	5.07	 	0	0	 	27	1.05	 	17	0.66	 	2565	95.74	 	114	4.26	 	2679	3.62
Elsternwick North		                          	6	0.48	 	18	1.44	 	7	0.56	 	10	0.8	 	4	0.32	 	14	1.12	 	582	46.52	 	4	0.32	 	494	39.49	 	85	6.79	 	1	0.08	 	25	2	 	1	0.08	 	1251	97.73	 	29	2.27	 	1280	1.73
Elwood		                                     	9	0.32	 	82	2.94	 	16	0.57	 	26	0.93	 	1	0.04	 	24	0.86	 	1105	39.58	 	7	0.25	 	1270	45.49	 	174	6.23	 	1	0.04	 	64	2.29	 	13	0.47	 	2792	97.35	 	76	2.65	 	2868	3.87
Elwood North		                               	17	0.75	 	50	2.2	 	10	0.44	 	25	1.1	 	2	0.09	 	25	1.1	 	790	34.8	 	4	0.18	 	1150	50.66	 	148	6.52	 	0	0	 	44	1.94	 	5	0.22	 	2270	96.68	 	78	3.32	 	2348	3.17
Emerald Hill		                               	6	0.59	 	18	1.78	 	7	0.69	 	6	0.59	 	0	0	 	7	0.69	 	311	30.7	 	1	0.1	 	582	57.45	 	36	3.55	 	0	0	 	36	3.55	 	3	0.3	 	1013	95.84	 	44	4.16	 	1057	1.43
Fawkner Park		                               	8	0.39	 	46	2.27	 	11	0.54	 	15	0.74	 	3	0.15	 	10	0.49	 	1214	59.89	 	7	0.35	 	583	28.76	 	94	4.64	 	0	0	 	28	1.38	 	8	0.39	 	2027	98.59	 	29	1.41	 	2056	2.78
Graham		                                     	5	0.38	 	20	1.53	 	6	0.46	 	7	0.54	 	2	0.15	 	26	1.99	 	398	30.43	 	2	0.15	 	769	58.79	 	47	3.59	 	1	0.08	 	22	1.68	 	3	0.23	 	1308	95.96	 	55	4.04	 	1363	1.84
Kerferd		                                    	21	0.66	 	79	2.5	 	15	0.47	 	20	0.63	 	8	0.25	 	33	1.04	 	1351	42.71	 	7	0.22	 	1420	44.89	 	150	4.74	 	0	0	 	45	1.42	 	14	0.44	 	3163	96.97	 	99	3.03	 	3262	4.41
Middle Park		                                	13	1.01	 	36	2.8	 	3	0.23	 	7	0.54	 	3	0.23	 	10	0.78	 	534	41.52	 	1	0.08	 	573	44.56	 	71	5.52	 	0	0	 	23	1.79	 	12	0.93	 	1286	98.09	 	25	1.91	 	1311	1.77
Port Melbourne		                             	35	1.62	 	36	1.67	 	7	0.32	 	7	0.32	 	3	0.14	 	18	0.83	 	476	22.06	 	7	0.32	 	1447	67.05	 	88	4.08	 	1	0.05	 	28	1.3	 	5	0.23	 	2158	94.73	 	120	5.27	 	2278	3.08
Prahran West		                               	2	0.58	 	4	1.16	 	1	0.29	 	0	0	 	2	0.58	 	4	1.16	 	188	54.49	 	1	0.29	 	128	37.1	 	12	3.48	 	0	0	 	3	0.87	 	0	0	 	345	97.18	 	10	2.82	 	355	0.48
Redan Central		                              	10	0.87	 	38	3.29	 	9	0.78	 	9	0.78	 	7	0.61	 	20	1.73	 	388	33.62	 	1	0.09	 	570	49.39	 	62	5.37	 	2	0.17	 	29	2.51	 	9	0.78	 	1154	97.14	 	34	2.86	 	1188	1.6
Ripponlea East		                             	7	0.6	 	16	1.37	 	6	0.51	 	8	0.69	 	0	0	 	12	1.03	 	603	51.67	 	3	0.26	 	431	36.93	 	58	4.97	 	0	0	 	22	1.89	 	1	0.09	 	1167	96.37	 	44	3.63	 	1211	1.64
Ripponlea North		                            	11	0.56	 	54	2.75	 	8	0.41	 	9	0.46	 	3	0.15	 	33	1.68	 	681	34.66	 	3	0.15	 	982	49.97	 	119	6.06	 	0	0	 	52	2.65	 	10	0.51	 	1965	95.3	 	97	4.7	 	2062	2.79
St Kilda		                                   	43	1.12	 	96	2.5	 	23	0.6	 	26	0.68	 	5	0.13	 	60	1.56	 	1134	29.51	 	13	0.34	 	2106	54.8	 	238	6.19	 	0	0	 	84	2.19	 	15	0.39	 	3843	95.91	 	164	4.09	 	4007	5.41
St Kilda Beach		                             	19	0.88	 	83	3.86	 	11	0.51	 	16	0.74	 	4	0.19	 	28	1.3	 	522	24.28	 	11	0.51	 	1224	56.93	 	166	7.72	 	1	0.05	 	56	2.6	 	9	0.42	 	2150	95.56	 	100	4.44	 	2250	3.04
St Kilda Central		                           	6	1	 	14	2.32	 	5	0.83	 	5	0.83	 	0	0	 	19	3.15	 	181	30.02	 	1	0.17	 	327	54.23	 	33	5.47	 	0	0	 	8	1.33	 	4	0.66	 	603	96.17	 	24	3.83	 	627	0.85
St Kilda North		                             	15	0.77	 	47	2.41	 	7	0.36	 	22	1.13	 	6	0.31	 	18	0.92	 	765	39.29	 	5	0.26	 	895	45.97	 	122	6.27	 	0	0	 	35	1.8	 	10	0.51	 	1947	96.24	 	76	3.76	 	2023	2.73
St Kilda Park		                              	16	1.24	 	48	3.71	 	8	0.62	 	14	1.08	 	2	0.15	 	9	0.69	 	365	28.19	 	2	0.15	 	688	53.13	 	97	7.49	 	1	0.08	 	37	2.86	 	8	0.62	 	1295	95.78	 	57	4.22	 	1352	1.83
St Kilda South		                             	20	0.81	 	109	4.42	 	10	0.41	 	17	0.69	 	2	0.08	 	29	1.18	 	764	30.99	 	7	0.28	 	1284	52.09	 	161	6.53	 	0	0	 	51	2.07	 	11	0.45	 	2465	96.67	 	85	3.33	 	2550	3.44
Sandridge		                                  	15	1.21	 	15	1.21	 	5	0.4	 	4	0.32	 	1	0.08	 	14	1.13	 	218	17.55	 	1	0.08	 	932	75.04	 	25	2.01	 	0	0	 	9	0.72	 	3	0.24	 	1242	95.54	 	58	4.46	 	1300	1.76
South Melbourne		                            	30	1	 	77	2.56	 	6	0.2	 	21	0.7	 	5	0.17	 	32	1.06	 	1098	36.48	 	10	0.33	 	1512	50.23	 	151	5.02	 	0	0	 	59	1.96	 	9	0.3	 	3010	95.83	 	131	4.17	 	3141	4.24
Special Hospitals		                          	3	1.19	 	0	0	 	0	0	 	1	0.4	 	1	0.4	 	2	0.79	 	128	50.59	 	1	0.4	 	115	45.45	 	2	0.79	 	0	0	 	0	0	 	0	0	 	253	96.93	 	8	3.07	 	261	0.35
