Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bentley		                                    	26	2.18	 	7	0.59	 	79	6.62	 	3	0.25	 	497	41.62	 	520	43.55	 	0	0	 	54	4.52	 	6	0.5	 	1	0.08	 	1	0.08	 	1194	95.29	 	59	4.71	 	1253	1.79
Bentley South		                              	15	1.29	 	5	0.43	 	70	6.02	 	0	0	 	637	54.82	 	369	31.76	 	3	0.26	 	53	4.56	 	6	0.52	 	1	0.09	 	3	0.26	 	1162	96.11	 	47	3.89	 	1209	1.73
Bentley West		                               	15	1.21	 	2	0.16	 	93	7.51	 	1	0.08	 	582	47.01	 	477	38.53	 	1	0.08	 	54	4.36	 	7	0.57	 	1	0.08	 	5	0.4	 	1238	97.71	 	29	2.29	 	1267	1.81
Cannington		                                 	20	1.4	 	6	0.42	 	72	5.03	 	2	0.14	 	627	43.85	 	650	45.45	 	1	0.07	 	46	3.22	 	5	0.35	 	0	0	 	1	0.07	 	1430	95.4	 	69	4.6	 	1499	2.15
Cannington East		                            	21	1.07	 	10	0.51	 	99	5.06	 	4	0.2	 	1008	51.53	 	741	37.88	 	2	0.1	 	58	2.97	 	8	0.41	 	2	0.1	 	3	0.15	 	1956	96.21	 	77	3.79	 	2033	2.91
Carlisle		                                   	7	0.64	 	1	0.09	 	74	6.76	 	2	0.18	 	537	49.04	 	426	38.9	 	0	0	 	43	3.93	 	3	0.27	 	0	0	 	2	0.18	 	1095	97.94	 	23	2.06	 	1118	1.6
Cloverdale		                                 	12	0.66	 	3	0.17	 	72	3.98	 	1	0.06	 	1014	56.12	 	631	34.92	 	2	0.11	 	61	3.38	 	3	0.17	 	5	0.28	 	3	0.17	 	1807	96.68	 	62	3.32	 	1869	2.68
Cloverdale North		                           	17	0.66	 	8	0.31	 	125	4.88	 	3	0.12	 	1427	55.68	 	862	33.63	 	2	0.08	 	108	4.21	 	3	0.12	 	2	0.08	 	6	0.23	 	2563	96.75	 	86	3.25	 	2649	3.79
Cloverdale West		                            	23	1.06	 	6	0.28	 	90	4.14	 	6	0.28	 	1154	53.06	 	788	36.23	 	4	0.18	 	93	4.28	 	6	0.28	 	2	0.09	 	3	0.14	 	2175	97.1	 	65	2.9	 	2240	3.21
Como		                                       	27	0.89	 	10	0.33	 	197	6.52	 	3	0.1	 	818	27.06	 	1831	60.57	 	1	0.03	 	112	3.7	 	18	0.6	 	2	0.07	 	4	0.13	 	3023	98.15	 	57	1.85	 	3080	4.41
Como North		                                 	10	0.73	 	4	0.29	 	95	6.95	 	1	0.07	 	439	32.11	 	760	55.6	 	1	0.07	 	48	3.51	 	7	0.51	 	0	0	 	2	0.15	 	1367	98.42	 	22	1.58	 	1389	1.99
Como South		                                 	11	1.09	 	0	0	 	59	5.87	 	2	0.2	 	238	23.68	 	657	65.37	 	0	0	 	32	3.18	 	6	0.6	 	0	0	 	0	0	 	1005	98.53	 	15	1.47	 	1020	1.46
Kensington		                                 	23	1.03	 	7	0.31	 	189	8.44	 	5	0.22	 	784	35	 	1107	49.42	 	0	0	 	103	4.6	 	20	0.89	 	2	0.09	 	0	0	 	2240	98.29	 	39	1.71	 	2279	3.26
Kewdale		                                    	18	0.87	 	9	0.43	 	76	3.65	 	1	0.05	 	1037	49.86	 	852	40.96	 	4	0.19	 	74	3.56	 	4	0.19	 	3	0.14	 	2	0.1	 	2080	97.24	 	59	2.76	 	2139	3.06
Kewdale West		                               	27	0.96	 	1	0.04	 	155	5.54	 	1	0.04	 	1305	46.61	 	1174	41.93	 	0	0	 	116	4.14	 	8	0.29	 	5	0.18	 	8	0.29	 	2800	96.82	 	92	3.18	 	2892	4.14
Lathlain		                                   	19	1.09	 	11	0.63	 	111	6.37	 	3	0.17	 	761	43.69	 	751	43.11	 	2	0.11	 	67	3.85	 	14	0.8	 	1	0.06	 	2	0.11	 	1742	96.51	 	63	3.49	 	1805	2.58
Manning		                                    	41	1.32	 	6	0.19	 	173	5.59	 	3	0.1	 	998	32.25	 	1739	56.19	 	1	0.03	 	116	3.75	 	12	0.39	 	3	0.1	 	3	0.1	 	3095	98.19	 	57	1.81	 	3152	4.51
Manning North		                              	11	0.74	 	6	0.4	 	91	6.13	 	3	0.2	 	698	47.04	 	604	40.7	 	4	0.27	 	59	3.98	 	1	0.07	 	1	0.07	 	6	0.4	 	1484	97.31	 	41	2.69	 	1525	2.18
Millen		                                     	12	0.8	 	7	0.47	 	125	8.33	 	2	0.13	 	709	47.27	 	575	38.33	 	2	0.13	 	62	4.13	 	4	0.27	 	0	0	 	2	0.13	 	1500	98.3	 	26	1.7	 	1526	2.19
Perth (Swan)		                               	1	0.56	 	1	0.56	 	13	7.34	 	1	0.56	 	90	50.85	 	59	33.33	 	0	0	 	10	5.65	 	1	0.56	 	0	0	 	1	0.56	 	177	97.79	 	4	2.21	 	181	0.26
Perth Domestic Airport		                     	0	0	 	0	0	 	0	0	 	0	0	 	12	46.15	 	12	46.15	 	0	0	 	2	7.69	 	0	0	 	0	0	 	0	0	 	26	96.3	 	1	3.7	 	27	0.04
Perth International Airport		                	1	2.86	 	0	0	 	0	0	 	0	0	 	17	48.57	 	14	40	 	0	0	 	3	8.57	 	0	0	 	0	0	 	0	0	 	35	100	 	0	0	 	35	0.05
Queens Park		                                	12	0.93	 	3	0.23	 	55	4.28	 	4	0.31	 	678	52.76	 	472	36.73	 	2	0.16	 	47	3.66	 	7	0.54	 	2	0.16	 	3	0.23	 	1285	95.61	 	59	4.39	 	1344	1.92
Redcliffe		                                  	17	1.56	 	3	0.28	 	47	4.32	 	3	0.28	 	471	43.33	 	503	46.27	 	1	0.09	 	36	3.31	 	5	0.46	 	1	0.09	 	0	0	 	1087	96.79	 	36	3.21	 	1123	1.61
Rivervale		                                  	8	0.83	 	1	0.1	 	53	5.48	 	4	0.41	 	460	47.57	 	399	41.26	 	0	0	 	36	3.72	 	5	0.52	 	1	0.1	 	0	0	 	967	97.19	 	28	2.81	 	995	1.42
Rivervale North		                            	12	0.71	 	1	0.06	 	73	4.32	 	3	0.18	 	840	49.7	 	671	39.7	 	0	0	 	76	4.5	 	9	0.53	 	3	0.18	 	2	0.12	 	1690	96.57	 	60	3.43	 	1750	2.51
Rowethorpe		                                 	1	0.3	 	1	0.3	 	7	2.1	 	0	0	 	83	24.85	 	233	69.76	 	0	0	 	7	2.1	 	2	0.6	 	0	0	 	0	0	 	334	99.11	 	3	0.89	 	337	0.48
South Perth		                                	9	0.5	 	10	0.56	 	148	8.26	 	3	0.17	 	432	24.11	 	1117	62.33	 	0	0	 	65	3.63	 	3	0.17	 	1	0.06	 	4	0.22	 	1792	99.06	 	17	0.94	 	1809	2.59
South Perth Central		                        	12	0.48	 	8	0.32	 	171	6.82	 	0	0	 	594	23.68	 	1614	64.35	 	2	0.08	 	88	3.51	 	15	0.6	 	3	0.12	 	1	0.04	 	2508	98.82	 	30	1.18	 	2538	3.63
South Perth Zoo		                            	10	0.67	 	4	0.27	 	77	5.16	 	2	0.13	 	308	20.64	 	1030	69.03	 	0	0	 	51	3.42	 	7	0.47	 	2	0.13	 	1	0.07	 	1492	98.35	 	25	1.65	 	1517	2.17
Swan Cottage Homes		                         	9	1.47	 	0	0	 	6	0.98	 	3	0.49	 	223	36.38	 	355	57.91	 	0	0	 	14	2.28	 	3	0.49	 	0	0	 	0	0	 	613	96.69	 	21	3.31	 	634	0.91
Victoria Park		                              	43	1.63	 	8	0.3	 	220	8.33	 	9	0.34	 	1079	40.87	 	1113	42.16	 	4	0.15	 	139	5.27	 	16	0.61	 	8	0.3	 	1	0.04	 	2640	97.49	 	68	2.51	 	2708	3.88
Victoria Park Central		                      	26	1.25	 	8	0.38	 	195	9.37	 	6	0.29	 	890	42.75	 	833	40.01	 	1	0.05	 	111	5.33	 	7	0.34	 	2	0.1	 	3	0.14	 	2082	98.11	 	40	1.89	 	2122	3.04
Victoria Park East		                         	21	1.17	 	6	0.33	 	157	8.74	 	3	0.17	 	769	42.79	 	737	41.01	 	1	0.06	 	91	5.06	 	8	0.45	 	0	0	 	4	0.22	 	1797	96.51	 	65	3.49	 	1862	2.67
Wilson		                                     	66	2.75	 	12	0.5	 	148	6.16	 	6	0.25	 	920	38.29	 	1124	46.77	 	2	0.08	 	120	4.99	 	4	0.17	 	1	0.04	 	0	0	 	2403	97.37	 	65	2.63	 	2468	3.53
Special Hospitals		                          	2	0.26	 	2	0.26	 	8	1.05	 	0	0	 	278	36.39	 	461	60.34	 	2	0.26	 	8	1.05	 	3	0.39	 	0	0	 	0	0	 	764	95.38	 	37	4.62	 	801	1.15
Total Ordinary		                             	639	1.07	 	184	0.31	 	3550	5.97	 	99	0.17	 	24780	41.67	 	27427	46.12	 	47	0.08	 	2350	3.95	 	248	0.42	 	61	0.1	 	81	0.14	 	59466	97.36	 	1615	2.64	 	61081	87.48
ABSENT		                                     	70	1.52	 	40	0.87	 	381	8.28	 	8	0.17	 	1766	38.38	 	2081	45.23	 	2	0.04	 	190	4.13	 	53	1.15	 	6	0.13	 	4	0.09	 	4601	98.69	 	61	1.31	 	4662	6.68
POSTAL		                                     	13	0.7	 	5	0.27	 	59	3.16	 	2	0.11	 	764	40.94	 	928	49.73	 	1	0.05	 	72	3.86	 	15	0.8	 	1	0.05	 	6	0.32	 	1866	98.37	 	31	1.63	 	1897	2.72
PRE_POLL		                                   	16	0.9	 	3	0.17	 	102	5.71	 	4	0.22	 	669	37.48	 	891	49.92	 	3	0.17	 	77	4.31	 	12	0.67	 	4	0.22	 	4	0.22	 	1785	99.22	 	14	0.78	 	1799	2.58
PROVISIONAL		                                	3	0.77	 	1	0.26	 	37	9.46	 	3	0.77	 	194	49.62	 	141	36.06	 	1	0.26	 	11	2.81	 	0	0	 	0	0	 	0	0	 	391	97.26	 	11	2.74	 	402	0.58
ADJUSTMENT		                                 	3		       	-8		       	10		       	0		       	-2		       	-2		       	-3		       	1		       	-1		       	3		       	1		       	2		       	-17		       	-15	
Division Summary		                           	744	1.09	 	225	0.33	 	4139	6.08	 	116	0.17	 	28171	41.36	 	31466	46.2	 	51	0.07	 	2701	3.97	 	327	0.48	 	75	0.11	 	96	0.14	 	68111	97.54	 	1715	2.46	 	69826	95.75
 																																											


Tangney (72148)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Applecross		                                 	30	0.92	 	11	0.34	 	189	5.82	 	6	0.18	 	544	16.76	 	2295	70.72	 	1	0.03	 	136	4.19	 	30	0.92	 	1	0.03	 	2	0.06	 	3245	98.45	 	51	1.55	 	3296	4.72
Ardross		                                    	8	0.96	 	3	0.36	 	48	5.77	 	1	0.12	 	197	23.68	 	520	62.5	 	0	0	 	33	3.97	 	21	2.52	 	1	0.12	 	0	0	 	832	98.7	 	11	1.3	 	843	1.21
Ardross West		                               	13	0.81	 	7	0.43	 	127	7.87	 	4	0.25	 	376	23.31	 	1011	62.68	 	2	0.12	 	64	3.97	 	7	0.43	 	0	0	 	2	0.12	 	1613	98.17	 	30	1.83	 	1643	2.35
Bateman		                                    	28	1.35	 	4	0.19	 	121	5.82	 	4	0.19	 	532	25.59	 	1258	60.51	 	0	0	 	120	5.77	 	9	0.43	 	2	0.1	 	1	0.05	 	2079	98.76	 	26	1.24	 	2105	3.02
Booragoon		                                  	16	0.6	 	11	0.41	 	104	3.91	 	4	0.15	 	710	26.72	 	1667	62.74	 	0	0	 	110	4.14	 	27	1.02	 	0	0	 	8	0.3	 	2657	98.23	 	48	1.77	 	2705	3.87
Brentwood		                                  	29	1.02	 	11	0.39	 	170	6	 	3	0.11	 	656	23.14	 	1829	64.51	 	0	0	 	126	4.44	 	9	0.32	 	0	0	 	2	0.07	 	2835	98.81	 	34	1.19	 	2869	4.11
Bull Creek		                                 	25	1.28	 	3	0.15	 	83	4.24	 	2	0.1	 	552	28.19	 	1195	61.03	 	1	0.05	 	88	4.49	 	5	0.26	 	2	0.1	 	2	0.1	 	1958	99.09	 	18	0.91	 	1976	2.83
Bull Creek East		                            	19	1.45	 	3	0.23	 	83	6.34	 	2	0.15	 	376	28.72	 	758	57.91	 	0	0	 	57	4.35	 	8	0.61	 	3	0.23	 	0	0	 	1309	98.87	 	15	1.13	 	1324	1.9
Bull Creek North		                           	13	1.01	 	0	0	 	44	3.42	 	1	0.08	 	296	23.04	 	884	68.79	 	0	0	 	36	2.8	 	9	0.7	 	1	0.08	 	1	0.08	 	1285	98.32	 	22	1.68	 	1307	1.87
Ferndale		                                   	14	1.42	 	0	0	 	46	4.67	 	1	0.1	 	405	41.08	 	472	47.87	 	0	0	 	43	4.36	 	3	0.3	 	1	0.1	 	1	0.1	 	986	98.7	 	13	1.3	 	999	1.43
Ferndale East		                              	48	2.66	 	2	0.11	 	86	4.77	 	0	0	 	762	42.26	 	785	43.54	 	1	0.06	 	110	6.1	 	4	0.22	 	3	0.17	 	2	0.11	 	1803	97.46	 	47	2.54	 	1850	2.65
Kardinya (Tangney)		                         	35	1.28	 	5	0.18	 	138	5.04	 	3	0.11	 	1028	37.52	 	1399	51.06	 	2	0.07	 	114	4.16	 	9	0.33	 	3	0.11	 	4	0.15	 	2740	98.6	 	39	1.4	 	2779	3.98
Langford (Tangney)		                         	46	1.91	 	3	0.12	 	112	4.66	 	4	0.17	 	1463	60.81	 	710	29.51	 	1	0.04	 	50	2.08	 	9	0.37	 	3	0.12	 	5	0.21	 	2406	96.63	 	84	3.37	 	2490	3.57
Leeming		                                    	25	1.12	 	6	0.27	 	104	4.67	 	2	0.09	 	692	31.06	 	1312	58.89	 	0	0	 	75	3.37	 	8	0.36	 	3	0.13	 	1	0.04	 	2228	98.72	 	29	1.28	 	2257	3.23
Leeming East		                               	43	2.71	 	4	0.25	 	55	3.47	 	0	0	 	407	25.66	 	1017	64.12	 	0	0	 	57	3.59	 	3	0.19	 	0	0	 	0	0	 	1586	98.82	 	19	1.18	 	1605	2.3
Leeming West		                               	25	1.24	 	5	0.25	 	97	4.81	 	2	0.1	 	606	30.06	 	1189	58.98	 	0	0	 	86	4.27	 	3	0.15	 	3	0.15	 	0	0	 	2016	98.97	 	21	1.03	 	2037	2.92
Lynwood		                                    	27	1.91	 	10	0.71	 	82	5.8	 	3	0.21	 	568	40.2	 	632	44.73	 	2	0.14	 	81	5.73	 	5	0.35	 	3	0.21	 	0	0	 	1413	98.47	 	22	1.53	 	1435	2.06
Lynwood West		                               	64	1.62	 	4	0.1	 	149	3.76	 	10	0.25	 	1942	49.03	 	1605	40.52	 	2	0.05	 	167	4.22	 	9	0.23	 	3	0.08	 	6	0.15	 	3961	97.9	 	85	2.1	 	4046	5.8
Mount Pleasant		                             	36	1.23	 	9	0.31	 	178	6.09	 	3	0.1	 	604	20.68	 	1943	66.52	 	0	0	 	125	4.28	 	15	0.51	 	1	0.03	 	7	0.24	 	2921	98.88	 	33	1.12	 	2954	4.23
North Lake		                                 	5	1.76	 	0	0	 	14	4.93	 	0	0	 	90	31.69	 	154	54.23	 	0	0	 	18	6.34	 	3	1.06	 	0	0	 	0	0	 	284	98.27	 	5	1.73	 	289	0.41
Perth (Tangney)		                            	1	1.01	 	0	0	 	7	7.07	 	0	0	 	33	33.33	 	54	54.55	 	0	0	 	4	4.04	 	0	0	 	0	0	 	0	0	 	99	100	 	0	0	 	99	0.14
Riverton		                                   	41	1.68	 	5	0.2	 	153	6.26	 	5	0.2	 	817	33.44	 	1298	53.13	 	0	0	 	105	4.3	 	14	0.57	 	3	0.12	 	2	0.08	 	2443	98.51	 	37	1.49	 	2480	3.55
Rossmoyne		                                  	45	2.1	 	4	0.19	 	132	6.17	 	0	0	 	426	19.91	 	1419	66.31	 	3	0.14	 	98	4.58	 	8	0.37	 	3	0.14	 	2	0.09	 	2140	99.4	 	13	0.6	 	2153	3.08
Shelley		                                    	33	1.98	 	10	0.6	 	104	6.24	 	1	0.06	 	408	24.49	 	1001	60.08	 	1	0.06	 	88	5.28	 	9	0.54	 	2	0.12	 	9	0.54	 	1666	98.06	 	33	1.94	 	1699	2.43
Willetton		                                  	67	1.94	 	11	0.32	 	141	4.09	 	9	0.26	 	1048	30.42	 	1988	57.71	 	2	0.06	 	157	4.56	 	13	0.38	 	6	0.17	 	3	0.09	 	3445	98.85	 	40	1.15	 	3485	4.99
Willetton East		                             	70	2.07	 	5	0.15	 	161	4.77	 	4	0.12	 	1300	38.52	 	1683	49.87	 	0	0	 	139	4.12	 	12	0.36	 	1	0.03	 	0	0	 	3375	98.68	 	45	1.32	 	3420	4.9
Willetton North		                            	8	1.53	 	4	0.76	 	19	3.63	 	1	0.19	 	200	38.24	 	262	50.1	 	0	0	 	25	4.78	 	2	0.38	 	0	0	 	2	0.38	 	523	98.49	 	8	1.51	 	531	0.76
Willetton South		                            	60	1.85	 	5	0.15	 	144	4.43	 	2	0.06	 	1031	31.74	 	1821	56.07	 	1	0.03	 	155	4.77	 	19	0.58	 	3	0.09	 	7	0.22	 	3248	98.9	 	36	1.1	 	3284	4.7
Winthrop		                                   	31	0.94	 	2	0.06	 	113	3.43	 	5	0.15	 	886	26.93	 	2108	64.07	 	1	0.03	 	133	4.04	 	8	0.24	 	2	0.06	 	1	0.03	 	3290	98.77	 	41	1.23	 	3331	4.77
Special Hospitals		                          	0	0	 	1	0.65	 	4	2.6	 	1	0.65	 	59	38.31	 	87	56.49	 	0	0	 	0	0	 	2	1.3	 	0	0	 	0	0	 	154	98.09	 	3	1.91	 	157	0.22
Total Ordinary		                             	905	1.49	 	148	0.24	 	3008	4.97	 	83	0.14	 	19014	31.41	 	34356	56.75	 	20	0.03	 	2600	4.29	 	283	0.47	 	53	0.09	 	70	0.12	 	60540	98.52	 	908	1.48	 	61448	88.02
ABSENT		                                     	58	1.24	 	17	0.36	 	352	7.5	 	6	0.13	 	1484	31.64	 	2509	53.49	 	0	0	 	222	4.73	 	26	0.55	 	8	0.17	 	9	0.19	 	4691	98.88	 	53	1.12	 	4744	6.8
POSTAL		                                     	14	1.41	 	2	0.2	 	45	4.52	 	1	0.1	 	246	24.72	 	638	64.12	 	1	0.1	 	38	3.82	 	9	0.9	 	0	0	 	1	0.1	 	995	99.6	 	4	0.4	 	999	1.43
PRE_POLL		                                   	21	0.88	 	6	0.25	 	122	5.1	 	9	0.38	 	668	27.95	 	1452	60.75	 	0	0	 	94	3.93	 	14	0.59	 	1	0.04	 	3	0.13	 	2390	99.58	 	10	0.42	 	2400	3.44
PROVISIONAL		                                	3	1.37	 	2	0.91	 	19	8.68	 	0	0	 	106	48.4	 	78	35.62	 	0	0	 	8	3.65	 	2	0.91	 	0	0	 	1	0.46	 	219	97.77	 	5	2.23	 	224	0.32
ADJUSTMENT		                                 	0		       	0		       	2		       	0		       	-1		       	0		       	0		       	-1		       	2		       	0		       	0		       	2		       	-3		       	-1	
Division Summary		                           	1001	1.45	 	175	0.25	 	3548	5.15	 	99	0.14	 	21517	31.26	 	39033	56.7	 	21	0.03	 	2961	4.3	 	336	0.49	 	62	0.09	 	84	0.12	 	68837	98.6	 	977	1.4	 	69814	96.76
 																																											
