House of Representatives - 1996 Election 							
Swing to ALP 							
By Division by Polling Place							

New South Wales							

Banks							

Polling Place	Formal	MELHAM		SPARKES		Swing	Exh
Rottnest	328	159	48.77	167	51.23	5.65	2
Samson	1842	968	53.1	855	46.9	-3.14	19
South Fremantle	1337	834	63.37	482	36.63	-1.49	21
South Lake	2082	1167	56.49	899	43.51	-6.05	16
South Lake (Lakeland)	854	411	48.47	437	51.53	-14.06	6
Spearwood	2482	1524	61.6	950	38.4	-4.41	8
Spearwood South	2436	1499	61.66	932	38.34	-1.88	5
Spearwood West	2727	1789	65.8	930	34.2	-1.5	8
Special Hospital Team 1	141	49	34.75	92	65.25	-	0
Special Hospital Team 2	110	62	56.36	48	43.64	-	0
Special Hospital Team 3	114	58	50.88	56	49.12	-	0
Special Hospital Team 4	141	50	35.46	91	64.54	-	0
Special Hospital Team 5	18	11	61.11	7	38.89	-	0
Special Hospital Team 6	28	18	64.29	10	35.71	-	0
Special Hospital Team 7	26	12	46.15	14	53.85	-	0
Wattleup	718	442	61.9	272	38.1	-4.94	4
White Gum Valley	1674	1112	66.99	548	33.01	-3.56	14
Willagee	1083	688	63.88	389	36.12	-8.38	6
Willagee East	1405	714	51.18	681	48.82	-2.95	10
Yallingup (Fremantle)	91	64	70.33	27	29.67	6.12	0
Yangebup	2360	1369	58.3	979	41.7	-4.33	12
Yangebup South	501	264	53.33	231	46.67	-9.29	6
ABSENT	3946	2001	51.09	1916	48.91	-	29
POSTAL	1688	879	52.29	802	47.71	-	7
PRE POLL	2935	1525	52.1	1402	47.9	-	8
PROVISIONAL	785	503	64.74	274	35.26	-	8
Division Total	71948	38747	54.25	32674	45.75	-3.54	527


Kalgoorlie							

Polling Place	Formal	TAYLOR		WYATT		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Argyle	39	24	61.54	15	38.46	-	0
Balgo	154	112	72.73	42	27.27	-	0
Barrow Island	6	4	66.67	2	33.33	-	0
Bodallin	66	6	9.09	60	90.91	-	0
Boulder	2787	1724	62.28	1044	37.72	-	19
Broome	2201	1225	55.86	968	44.14	-	8
Broome West	743	341	45.96	401	54.04	-	1
Bullfinch	58	21	36.21	37	63.79	-	0
Bunbury Central (Kalgoorlie)	47	27	57.45	20	42.55	-	0
Busselton (Kalgoorlie)	35	15	42.86	20	57.14	-	0
Busselton West (Kalgoorlie)	25	9	36	16	64	-	0
Carnarvon	1558	693	44.59	861	55.41	-	4
Carnarvon East	888	349	39.3	539	60.7	-	0
Cascade	55	3	5.45	52	94.55	-	0
Castletown	1825	564	30.95	1258	69.05	-	3
Condingup	259	51	19.69	208	80.31	-	0
Cooke Point	876	460	53	408	47	-	8
Coolgardie	484	280	58.09	202	41.91	-	2
Coral Bay	89	37	42.53	50	57.47	-	2
Cue	193	99	51.83	92	48.17	-	2
Dalyup	126	11	8.73	115	91.27	-	0
Dampier	696	380	54.76	314	45.24	-	2
Denham	305	100	32.89	204	67.11	-	1
Derby	1068	624	58.54	442	41.46	-	2
Dunsborough (Kalgoorlie)	13	5	38.46	8	61.54	-	0
Esperance	2381	893	37.55	1485	62.45	-	3
Exmouth	909	426	47.18	477	52.82	-	6
Falcon (Kalgoorlie)	20	12	60	8	40	-	0
Fitzroy Crossing	411	289	70.32	122	29.68	-	0
Gascoyne Junction	29	6	20.69	23	79.31	-	0
Gibson	154	40	25.97	114	74.03	-	0
Grass Patch	81	12	14.81	69	85.19	-	0
Halls Creek	364	273	75.21	90	24.79	-	1
Jigalong	89	38	42.7	51	57.3	-	0
Kalgoorlie	2761	1544	56.35	1196	43.65	-	21
Kalgoorlie East	167	122	73.05	45	26.95	-	0
Kalgoorlie Eastern Goldfields	707	411	58.38	293	41.62	-	3
Kalgoorlie Halfway	1624	1021	62.95	601	37.05	-	2
Kalgoorlie North	1928	971	50.57	949	49.43	-	8
Kalgoorlie Regional Hospital	632	360	57.14	270	42.86	-	2
Kalgoorlie Wallace Park	467	272	58.37	194	41.63	-	1
Kambalda	471	342	72.77	128	27.23	-	1
Kambalda West	938	567	60.45	371	39.55	-	0
Karratha	1349	774	57.76	566	42.24	-	9
Karratha West	2169	1051	48.77	1104	51.23	-	14
Kununurra	1369	594	43.58	769	56.42	-	6
Lancelin (Kalgoorlie)	12	8	66.67	4	33.33	-	0
Laverton	183	83	45.6	99	54.4	-	1
Leinster	405	161	39.75	244	60.25	-	0
Leonora	316	141	44.76	174	55.24	-	1
Looma	174	156	89.66	18	10.34	-	0
Mandurah Central (Kalgoorlie)	24	12	50	12	50	-	0
Marble Bar	125	76	60.8	49	39.2	-	0
Margaret River (Kalgoorlie)	28	13	46.43	15	53.57	-	0
Marvel Loch	148	40	27.03	108	72.97	-	0
Meekatharra	369	129	34.96	240	65.04	-	0
Menzies	73	49	68.06	23	31.94	-	1
Moorine Rock	78	12	15.38	66	84.62	-	0
Mount Magnet	247	106	42.91	141	57.08	-	0
Mowanjum	127	123	96.85	4	3.15	-	0
Munglinup (Kalgoorlie)	63	3	4.76	60	95.24	-	0
Nannup (Kalgoorlie)	6	3	50	3	50	-	0
Newman	916	611	67.36	296	32.64	-	9
Newman North	866	523	60.6	340	39.4	-	3
Noonkanbah	52	28	53.85	24	46.15	-	0
Norseman	594	354	59.9	237	40.1	-	3
Nullagine	73	52	71.23	21	28.77	-	0
Nulsen	1068	585	54.88	481	45.12	-	2
Onslow	255	151	59.68	102	40.32	-	2
Pannawonica	232	114	49.35	117	50.65	-	1
Paraburdoo	688	383	55.91	302	44.09	-	3
Perth (Kalgoorlie)	148	75	51.72	70	48.28	-	3
Port Hedland	498	256	51.82	238	48.18	-	4
Prison Mobile Team 1	29	23	79.31	6	20.69	-	0
Prison Mobile Team 2	22	15	68.18	7	31.82	-	0
Prison Mobile Team 4	34	25	73.53	9	26.47	-	0
Remote Mobile Team 1	145	122	84.14	23	15.86	-	0
Remote Mobile Team 10	49	45	91.84	4	8.16	-	0
Remote Mobile Team 11	630	540	85.85	89	14.15	-	1
Remote Mobile Team 13	24	23	95.83	1	4.17	-	0
Remote Mobile Team 15	30	21	70	9	30	-	0
Remote Mobile Team 2	507	480	94.86	26	5.14	-	1
Remote Mobile Team 3	103	81	78.64	22	21.36	-	0
Remote Mobile Team 4	125	123	98.4	2	1.6	-	0
Remote Mobile Team 5	119	109	91.6	10	8.4	-	0
Remote Mobile Team 6	130	113	86.92	17	13.08	-	0
Remote Mobile Team 7	150	138	92	12	8	-	0
Remote Mobile Team 8	84	76	90.48	8	9.52	-	0
Remote Mobile Team 9	126	104	83.2	21	16.8	-	1
Roebourne	379	299	78.89	80	21.11	-	0
Rottnest (Kalgoorlie)	18	9	50	9	50	-	0
Salmon Gums	92	18	19.57	74	80.43	-	0
Sandstone	40	19	47.5	21	52.5	-	0
Scaddan	49	3	6.12	46	93.88	-	0
South Hedland	1009	627	62.57	375	37.43	-	7
South Hedland Baler	1353	870	64.44	480	35.56	-	3
Southern Cross	459	174	37.99	284	62.01	-	1
Special Hospital Team 1	19	11	57.89	8	42.11	-	0
Special Hospital Team 2	55	20	36.36	35	63.64	-	0
Special Hospital Team 3	85	59	69.41	26	30.59	-	0
Special Hospital Team 4	5	2	40	3	60	-	0
Special Hospital Team 5	18	13	72.22	5	27.78	-	0
Special Hospital Team 6	9	4	44.44	5	55.55	-	0
Special Hospital Team 7	6	4	66.67	2	33.33	-	0
Telfer	47	26	56.52	20	43.48	-	1
Tom Price	1353	745	55.35	601	44.65	-	7
Useless Loop	54	17	31.48	37	68.52	-	0
Wangkatjungka	53	47	88.68	6	11.32	-	0
Warmun	138	126	91.3	12	8.7	-	0
Westonia	103	16	15.53	87	84.47	-	0
Wickham	661	364	55.15	296	44.85	-	1
Wiluna	155	104	67.1	51	32.9	-	0
Wyndham	360	233	65.27	124	34.73	-	3
Yalgoo	58	23	39.66	35	60.34	-	0
Yallingup (Kalgoorlie)	10	3	30	7	70	-	0
Yandeyarra	76	65	85.53	11	14.47	-	0
ABSENT	5270	2494	47.5	2757	52.5	-	19
POSTAL	2361	854	36.39	1493	63.61	-	14
PRE POLL	3051	1569	51.61	1471	48.39	-	11
PROVISIONAL	1292	845	65.66	442	34.34	-	5
Division Total	62329	33130	53.36	28960	46.64	-6.59	239


Moore							

Polling Place	Formal	JONES		STEVENAGE		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Beldon	2168	1091	50.77	1058	49.23	-	19
Bunbury Central (Moore)	72	37	51.39	35	48.61	-	0
Burns Beach	314	136	43.87	174	56.13	-	4
Busselton (Moore)	198	60	31.09	133	68.91	-	5
Busselton West (Moore)	60	17	28.33	43	71.67	-	0
Carine	3320	1046	31.85	2238	68.15	-	36
Clarkson	1726	975	56.95	737	43.05	-	14
Connolly	1964	795	40.81	1153	59.19	-	16
Craigie	3311	1732	52.82	1547	47.18	-	32
Duncraig	2936	1110	38.04	1808	61.96	-	18
Duncraig East	1998	525	26.48	1458	73.52	-	15
Duncraig North	2428	846	35.15	1561	64.85	-	21
Duncraig South	1811	535	29.87	1256	70.13	-	20
Dunsborough (Moore)	159	52	33.77	102	66.23	-	5
Edgewater	2451	1040	42.94	1382	57.06	-	29
Falcon (Moore)	160	50	31.45	109	68.55	-	1
Heathridge	2336	1157	49.91	1161	50.09	-	18
Heathridge East	1267	724	57.6	533	42.4	-	10
Hillarys	3394	1379	40.97	1987	59.03	-	28
Joondalup	2418	1264	52.67	1136	47.33	-	18
Kallaroo	2981	1111	37.43	1857	62.57	-	13
Kinross	1685	835	49.91	838	50.09	-	12
Lake Gwelup (Moore)	382	121	31.93	258	68.07	-	3
Lancelin (Moore)	127	51	40.48	75	59.52	-	1
Mandurah Central (Moore)	133	48	37.21	81	62.79	-	4
Margaret River (Moore)	156	55	35.95	98	64.05	-	3
Marmion	1634	570	35.16	1051	64.84	-	13
Merriwa	1356	679	50.45	667	49.55	-	10
Mullaloo	2783	1206	43.84	1545	56.16	-	32
Nannup (Moore)	35	14	40	21	60	-	0
North Beach (Moore)	1374	533	39.08	831	60.92	-	10
North Beach Central	781	275	35.71	495	64.29	-	11
Ocean Reef	2821	1134	40.44	1670	59.56	-	17
Ocean Reef North	1648	696	42.46	943	57.54	-	9
Padbury	2857	1412	49.88	1419	50.12	-	26
Padbury South	2149	1009	47.35	1122	52.65	-	18
Perth (Moore)	142	64	45.71	76	54.29	-	2
Quinns Rock	2254	1003	44.92	1230	55.08	-	21
Rottnest (Moore)	268	89	33.21	179	66.79	-	0
Sorrento	1365	426	31.67	919	68.33	-	20
Sorrento Beach	2178	646	29.98	1509	70.02	-	23
Special Hospital Team 1	219	82	37.44	137	62.56	-	0
Two Rocks	887	396	45.1	482	54.9	-	9
Wanneroo	4046	1641	41.06	2356	58.94	-	49
Wanneroo East	2712	1108	41.31	1574	58.69	-	30
Yallingup (Moore)	99	48	48.48	51	51.52	-	0
Yanchep	988	419	42.97	556	57.03	-	13
ABSENT	5335	2200	41.71	3075	58.29	-	60
POSTAL	1796	647	36.08	1146	63.92	-	3
PRE POLL	3328	1277	38.63	2029	61.37	-	22
PROVISIONAL	592	282	48.21	303	51.79	-	7
Division Total	83602	34648	41.82	48204	58.18	0.55	750


O'Connor							

Polling Place	Formal	COLE		TUCKEY		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Ajana	77	12	15.58	65	84.42	-3.1	0
Ardath	78	9	11.54	69	88.46	0.77	0
Arthur River	119	5	4.2	114	95.8	-1.99	0
Badgebup	57	3	5.26	54	94.74	1.73	0
Badgingarra	157	16	10.19	141	89.81	-0.15	0
Ballidu	135	12	8.89	123	91.11	-3.04	0
Beachlands	673	329	49.4	337	50.6	-5.24	7
Beacon	152	9	5.92	143	94.08	-3.11	0
Bencubbin	142	20	14.08	122	85.92	-1.96	0
Beverley	673	175	26.12	495	73.88	-4.03	3
Bindi Bindi	80	6	7.5	74	92.5	-5.14	0
Bluff Point	2070	671	32.59	1388	67.41	-2.88	11
Boddington	651	192	29.77	453	70.23	-6	6
Bolgart	108	9	8.33	99	91.67	-4.27	0
Borden	156	16	10.26	140	89.74	-1.37	0
Boscabel	70	2	2.86	68	97.14	-0.99	0
Boxwood Hill	65	6	9.23	59	90.77	3.52	0
Bremer Bay	408	36	8.89	369	91.11	-7.58	3
Brookton	428	65	15.26	361	84.74	-5.21	2
Broomehill	169	29	17.26	139	82.74	-0.88	1
Bruce Rock	434	70	16.17	363	83.83	-3.87	1
Bullaring	52	2	3.85	50	96.15	-5.77	0
Bulyee	56	2	3.57	54	96.43	-1.98	0
Bunbury Central (O'Connor)	92	16	17.39	76	82.61	-12.51	0
Buntine	39	1	2.56	38	97.44	-6.85	0
Burracoppin	50	6	12	44	88	-6.46	0
Busselton (O'Connor)	120	15	12.5	105	87.5	-21.52	0
Busselton West (O'Connor)	72	8	11.11	64	88.89	-23.94	0
Cadoux	98	3	3.06	95	96.94	-3.78	0
Calingiri	161	14	8.7	147	91.3	-5.98	0
Cape Burney	183	59	32.24	124	67.76	-0.64	0
Carnamah	262	51	19.69	208	80.31	2.98	3
Cervantes	412	84	20.59	324	79.41	-2.31	4
Coomberdale	43	4	9.3	39	90.7	-3.2	0
Coorow	212	27	12.74	185	87.26	-3.58	0
Corrigin	541	75	13.89	465	86.11	-3.81	1
Cranbrook	335	61	18.26	273	81.74	-1.35	1
Cuballing	224	44	19.64	180	80.36	-2.27	0
Cunderdin	464	94	20.39	367	79.61	-6.39	3
Dale	129	8	6.2	121	93.8	-2.95	0
Dalwallinu	289	52	17.99	237	82.01	-1.47	0
Dandaragan	205	29	14.15	176	85.85	1.95	0
Darkan	286	32	11.19	254	88.81	3.24	0
Dongara	1331	285	21.49	1041	78.51	-3.65	5
Doodlakine	83	14	16.87	69	83.13	-4.56	0
Dowerin	436	76	17.47	359	82.53	4.92	1
Dudinin	77	6	7.79	71	92.21	-3.92	0
Dumbleyung	247	11	4.47	235	95.53	-3.8	1
Dunsborough (O'Connor)	67	11	16.42	56	83.58	-37.19	0
Duranillin	164	14	8.64	148	91.36	-5.64	2
Eneabba	213	60	28.3	152	71.7	0.16	1
Falcon (O'Connor)	68	12	17.65	56	82.35	-20.25	0
Fitzgerald	37	0	0	37	100	-4.62	0
Forest Hill	106	7	6.67	98	93.33	-9.21	1
Frankland	158	7	4.46	150	95.54	-5.26	1
Gairdner River	88	6	6.82	82	93.18	1.5	0
Geraldton	1649	485	29.75	1145	70.25	-4.29	19
Geraldton Central	1544	533	34.75	1001	65.25	-4.3	10
Geraldton Regional Hospital	213	84	39.81	127	60.19	1.56	2
Geraldton St John of God Hospita	469	123	26.57	340	73.43	-4.94	6
Gingin	554	128	23.23	423	76.77	-3.63	3
Gnowangerup	448	107	23.88	341	76.12	1.53	0
Goomalling	365	84	23.14	279	76.86	-2.85	2
Greenhills	56	5	8.93	51	91.07	4.45	0
Guilderton	151	46	30.46	105	69.54	-4.38	0
Highbury	100	11	11.11	88	88.89	1.59	1
Hines Hill	55	11	20	44	80	3.61	0
Hopetoun	321	61	19	260	81	-1.16	0
Horrocks	115	32	27.83	83	72.17	2.83	0
Hyden	274	24	8.76	250	91.24	-2.84	0
Jennacubbine	82	18	21.95	64	78.05	-3.34	0
Jerdacuttup	65	6	9.23	59	90.77	-7.19	0
Jerramungup	276	29	10.55	246	89.45	-2.6	1
Jingalup	73	5	6.85	68	93.15	-0.05	0
Jurien	671	131	19.58	538	80.42	-0.67	2
Kalannie	142	7	4.93	135	95.07	-0.07	0
Kalbarri	756	180	23.9	573	76.1	-7.83	3
Karlgarin	84	4	4.76	80	95.24	-1.12	0
Katanning	1749	629	36.17	1110	63.83	-1.64	10
Katanning District Hospital	287	113	39.79	171	60.21	8.29	3
Kellerberrin	541	144	26.72	395	73.28	2.81	2
Kendenup	293	61	21.03	229	78.97	-4.34	3
Kojonup	851	114	13.4	737	86.6	-4.24	0
Kondinin	240	39	16.32	200	83.68	-2.23	1
Koorda	278	45	16.19	233	83.81	-1.44	0
Kukerin	122	8	6.56	114	93.44	-1.62	0
Kulin	316	44	13.92	272	86.08	-1.87	0
Kununoppin	78	11	14.1	67	85.9	0.52	0
Lake Grace	398	37	9.3	361	90.7	-3.68	0
Lake King	119	5	4.2	114	95.8	-1.12	0
Lancelin	508	130	25.84	373	74.16	-1.56	5
Latham	69	3	4.35	66	95.65	1.82	0
Ledge Point	111	22	20.18	87	79.82	-7.46	2
Leeman	473	130	27.66	340	72.34	-8.19	3
Mandurah Central (O'Connor)	96	17	17.71	79	82.29	-23.53	0
Margaret River (O'Connor)	56	10	18.18	45	81.82	-20.99	1
Meckering	124	15	12.2	108	87.8	-3.15	1
Merredin	742	259	35.05	480	64.95	1.27	3
Merredin District Hospital	271	117	43.17	154	56.83	-2.42	0
Merredin South	427	163	38.44	261	61.56	-6.43	3
Miling	86	5	5.95	79	94.05	-2.9	2
Mingenew	266	74	28.03	190	71.97	2.05	2
Mogumber	62	4	6.45	58	93.55	2.1	0
Moonyoonooka	192	31	16.32	159	83.68	-1.47	2
Moora	873	227	26.09	643	73.91	-3.57	3
Morawa	389	96	24.81	291	75.19	-2.86	2
Mount Barker	1149	339	29.68	803	70.32	-3.06	7
Mount Tarcoola	1489	419	28.48	1052	71.52	-1.74	18
Mount Walker	72	4	5.56	68	94.44	-8.73	0
Mukinbudin	323	28	8.72	293	91.28	1.46	2
Mullewa	326	75	23.08	250	76.92	-3.21	1
Munglinup (O'Connor)	43	3	6.98	40	93.02	-6.36	0
Muntadgin	84	6	7.14	78	92.86	-2.2	0
Muradup	160	6	3.75	154	96.25	-0.87	0
Nabawa	148	28	18.92	120	81.08	-5.16	0
Nannup (O'Connor)	6	1	16.67	5	83.33	-14.26	0
Narembeen	303	52	17.16	251	82.84	-0.93	0
Narrikup	233	28	12.07	204	87.93	1.22	1
Narrogin	2143	638	29.85	1499	70.15	-0.02	6
Narrogin Regional Hospital	254	64	25.3	189	74.7	-5.95	1
New Norcia	130	37	28.68	92	71.32	14.17	1
Newdegate	185	14	7.61	170	92.39	-0.08	1
Northampton	803	180	22.53	619	77.47	-2.33	4
Nungarin	115	14	12.17	101	87.83	-3.62	0
Nyabing	160	12	7.5	148	92.5	-0.08	0
Ongerup	180	18	10	162	90	-5.69	0
Perenjori	185	24	12.97	161	87.03	-1.82	0
Perth (O'Connor)	131	17	13.08	113	86.92	-4.16	1
Pingaring	87	2	2.3	85	97.7	-1.74	0
Pingelly	582	109	18.73	473	81.27	1.21	0
Pingrup	135	8	5.93	127	94.07	-5.94	0
Pithara	84	12	14.46	71	85.54	-3.72	1
Popanyinning	125	16	12.9	108	87.1	-9.03	1
Porongurup	114	20	17.7	93	82.3	-1.1	1
Quairading	511	62	12.13	449	87.87	-3.82	0
Quindanning	83	10	12.05	73	87.95	-8.18	0
Rangeway	1785	864	48.76	908	51.24	-4.96	13
Ravensthorpe	332	71	21.65	257	78.35	-0.9	4
Rocky Gully	92	14	15.22	78	84.78	-3.93	0
Rottnest (O'Connor)	42	8	19.51	33	80.49	-10.38	1
Seabird	37	13	35.14	24	64.86	20.85	0
Shackleton	51	6	11.76	45	88.24	0.14	0
Spalding	681	285	42.41	387	57.59	-0.07	9
Special Hospital Team 1	38	16	42.11	22	57.89	-	0
Special Hospital Team 2	17	1	5.88	16	94.12	-	0
Special Hospital Team 3	8	2	25	6	75	-	0
Special Hospital Team 4	19	5	26.32	14	73.68	-	0
Special Hospital Team 5	4	0	0	4	100	-	0
Tambellup	335	45	13.43	290	86.57	-3.02	0
Tammin	166	38	23.03	127	76.97	0.91	1
Tardun	59	8	13.56	51	86.44	-14.22	0
Three Springs	374	55	14.78	317	85.22	-3.54	2
Tincurrin	80	9	11.25	71	88.75	-1.5	0
Trayning	160	24	15.19	134	84.81	3.49	2
Varley	81	5	6.17	76	93.83	-1.4	0
Waggrakine	1348	441	32.94	898	67.06	-3.22	9
Wagin	891	182	20.45	708	79.55	-2.9	1
Walkaway	275	54	19.78	219	80.22	0.62	2
Wandering	168	18	10.71	150	89.29	-3.95	0
Watheroo	122	15	12.4	106	87.6	1.44	1
Wickepin	256	13	5.08	243	94.92	-3.01	0
Williams	454	62	13.72	390	86.28	0.24	2
Wongan Hills	562	89	15.92	470	84.08	-1.3	3
Wonthella	1621	586	36.42	1023	63.58	-4.81	12
Woodanilling	127	35	27.56	92	72.44	7.14	0
Woodridge	272	96	35.42	175	64.58	-6.54	1
Woogenellup	64	4	6.25	60	93.75	-1.75	0
Wubin	94	11	11.7	83	88.3	-2.36	0
Wyalkatchem	338	76	22.62	260	77.38	0.86	2
Yallingup (O'Connor)	27	3	11.11	24	88.89	-25.35	0
Yealering	127	19	15.08	107	84.92	0.13	1
Yerecoin	76	4	5.26	72	94.74	-0.86	0
York	1400	424	30.5	966	69.5	-0.53	10
Yorkrakine	46	7	15.22	39	84.78	-0.78	0
Yuna	58	2	3.51	55	96.49	-3.63	1
ABSENT	8401	1975	23.6	6395	76.4	-	31
POSTAL	2239	381	17.07	1851	82.93	-	7
PRE POLL	1722	450	26.19	1268	73.81	-	4
PROVISIONAL	762	297	39.13	462	60.87	-	3
Division Total	68936	16514	24.07	52099	75.93	-1.91	323


Pearce							

Polling Place	Formal	ANDREWS		MOYLAN		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Bakers Hill	481	166	34.8	311	65.2	-3.45	4
Bellevue (Pearce)	156	66	42.58	89	57.42	-4.85	1
Bindoon	553	132	24.04	417	75.96	-6.49	4
Boya	885	317	36.06	562	63.94	-1.19	6
Bullsbrook	1320	398	30.34	914	69.66	-4.29	8
Bunbury Central (Pearce)	67	35	53.03	31	46.97	1.52	1
Busselton (Pearce)	145	54	37.5	90	62.5	6.89	1
Busselton West (Pearce)	42	20	47.62	22	52.38	-5.99	0
Carmel	334	81	24.47	250	75.53	-2.96	3
Chidlow	831	323	39.63	492	60.37	-1.96	16
Darlington	1932	695	36.6	1204	63.4	-2.49	33
Dunsborough (Pearce)	78	27	34.62	51	65.38	4	0
Falcon (Pearce)	132	43	32.58	89	67.42	-7.63	0
Forrestfield	2671	1256	47.29	1400	52.71	-2.77	15
Forrestfield North	3174	1438	45.61	1715	54.39	-3.07	21
Gidgegannup	768	211	27.73	550	72.27	-6.37	7
Glen Forrest	1532	578	38.43	926	61.57	-1.3	28
Gooseberry Hill	1320	344	26.28	965	73.72	-1.59	11
Grass Valley	140	22	15.71	118	84.29	-2.36	0
Greenmount	1716	667	39.4	1026	60.6	-5.98	23
Henley Brook	911	255	28.21	649	71.79	-4.04	7
Herne Hill	1097	433	39.62	660	60.38	-3.7	4
High Wycombe	3037	1444	47.77	1579	52.23	-3.79	14
High Wycombe South	1365	618	45.51	740	54.49	-1.6	7
Kalamunda	3913	1193	30.75	2687	69.25	0.03	33
Kalamunda North	1266	383	30.59	869	69.41	-2.98	14
Karragullen	222	56	25.45	164	74.55	3.23	2
Koongamia	681	396	58.41	282	41.59	-1.74	3
Lancelin (Pearce)	130	53	40.77	77	59.23	-7.68	0
Lesmurdie	2956	843	28.85	2079	71.15	-1.85	34
Lower Chittering	94	19	20.21	75	79.79	-4.32	0
Mahogany Creek	557	186	33.88	363	66.12	-4.06	8
Maida Vale	1958	613	31.52	1332	68.48	-5	13
Mandurah Central (Pearce)	126	38	30.16	88	69.84	-19.84	0
Margaret River (Pearce)	113	39	36.11	69	63.89	-2.66	5
Midland (Pearce)	489	196	40.41	289	59.59	-2.65	4
Mooliabeenie	67	6	8.96	61	91.04	-13.43	0
Mount Helena	1233	461	37.73	761	62.27	-2.36	11
Muchea	309	80	25.97	228	74.03	-8.51	1
Mundaring	1795	677	38.34	1089	61.66	-1.94	29
Nannup (Pearce)	40	19	51.35	18	48.65	16.3	3
Northam	2000	784	39.44	1204	60.56	-5.84	12
Northam East	727	292	40.5	429	59.5	-2.7	6
Northam North	512	307	60.2	203	39.8	-3.91	2
Parkerville	964	357	37.7	590	62.3	-3.9	17
Perth (Pearce)	102	41	40.59	60	59.41	-1.93	1
Pickering Brook	357	93	26.27	261	73.73	-3.2	3
Roleystone	2860	1031	36.74	1775	63.26	-3.42	54
Rottnest (Pearce)	102	42	41.18	60	58.82	13.63	0
Sawyers Valley	306	117	38.49	187	61.51	-3.92	2
Special Hospital Team 1	233	52	22.32	181	77.68	-	0
Special Hospital Team 2	42	18	42.86	24	57.14	-	0
Stoneville	911	317	35.18	584	64.82	-2.18	10
Stratton	1407	689	49.43	705	50.57	-9.95	13
Swan View	3743	1836	49.32	1887	50.68	-4.36	20
Toodyay	1233	433	35.55	785	64.45	-2.11	15
Upper Swan	1339	415	31.04	922	68.96	-	2
Walliston	1303	408	31.48	888	68.52	-1.67	7
Wattle Grove	492	156	31.77	335	68.23	-1.71	1
Wooroloo	338	134	40.48	197	59.52	2.18	7
Wundowie	521	264	51.36	250	48.64	-12.91	7
Yallingup (Pearce)	60	18	31.03	40	68.97	-14.42	2
ABSENT	5433	2067	38.33	3326	61.67	-	40
POSTAL	1483	460	31.14	1017	68.86	-	6
PRE POLL	2694	912	34.07	1765	65.93	-	17
PROVISIONAL	473	218	46.58	250	53.42	-	5
Division Total	70271	26342	37.82	43306	62.18	-3.42	623


Perth							

Polling Place	Formal	SMITH		KELLY		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Alexander Park	911	323	35.65	583	64.35	0.94	5
Ashfield	1012	639	63.84	362	36.16	3.75	11
Bassendean	1787	1007	56.76	767	43.24	-0.8	13
Bassendean South	2350	1237	53.02	1096	46.98	-0.19	17
Bayswater	2411	1482	61.9	912	38.1	3.85	17
Bedford Park	1272	729	57.54	538	42.46	2.45	5
Bedford West	1061	575	54.3	484	45.7	0.63	2
Beechboro	1838	1214	66.34	616	33.66	-0.28	8
Beechboro East	1842	1165	63.38	673	36.62	-1.1	4
Bellevue (Perth)	711	396	55.93	312	44.07	-1.4	3
Bunbury Central (Perth)	70	30	43.48	39	56.52	-14.42	1
Busselton (Perth)	131	60	46.15	70	53.85	-18.13	1
Busselton West (Perth)	49	23	46.94	26	53.06	-6.12	0
Caversham	525	243	46.46	280	53.54	-0.28	2
Coolbinia	808	304	37.86	499	62.14	4.8	5
Dianella	1104	554	50.78	537	49.22	0.98	13
Dianella Central	1904	848	44.77	1046	55.23	-2.25	10
Dianella North	992	487	49.39	499	50.61	3.73	6
Dunsborough (Perth)	109	47	43.52	61	56.48	-14.21	1
East Perth	521	246	47.58	271	52.42	-6.79	4
Eden Hill	2769	1686	61.24	1067	38.76	-0.92	16
Embleton	1906	1141	60.24	753	39.76	0.9	12
Falcon (Perth)	81	38	48.1	41	51.9	-1.9	2
Forrest Park	523	334	64.85	181	35.15	3.45	8
Guildford	1279	668	52.64	601	47.36	2.36	10
Hazelmere	710	325	46.36	376	53.64	-2.48	9
Highgate	2119	1460	69.46	642	30.54	3.12	17
Hillcrest	2168	1250	57.84	911	42.16	0.59	7
Inglewood	1154	664	58.35	474	41.65	0.72	16
Inglewood Home of Peace	350	198	56.9	150	43.1	2.66	2
Inglewood North	1635	878	54.1	745	45.9	2.87	12
Kiara	911	556	61.03	355	38.97	-12.73	0
Lancelin (Perth)	86	40	47.06	45	52.94	-12.32	1
Lockridge	1431	1044	73.31	380	26.69	-0.33	7
Mandurah Central (Perth)	82	38	46.34	44	53.66	-10.95	0
Margaret River (Perth)	90	47	53.41	41	46.59	-9.75	2
Maylands	2653	1516	57.75	1109	42.25	-0.12	28
Maylands East	1354	752	55.95	592	44.05	0.55	10
Menora	457	174	38.16	282	61.84	-3.75	1
Midland (Perth)	2382	1497	63.46	862	36.54	0.19	23
Midvale	1489	997	67.14	488	32.86	-0.71	4
Morley (Perth)	785	440	56.34	341	43.66	4.79	4
Mount Lawley	2555	1197	47.16	1341	52.84	4.22	17
