House of Representatives -1996 Election 				
National List of Candidates				

Candidate	Party		Division	State
"MALONE, Ken"	AFI		Fowler	NSW
"MANIFOLD, Jane"	IND		Adelaide	SA
"MANSKEY, Debra"	TG		Lyons	TAS
"MANSOUR, Morris"	LP		Grayndler	NSW
"MANTELL, Liz"			Holt	VIC
"MARCONI, Peter J"	ALP		Fairfax	QLD
"MAREK, Paul"	NP		Capricornia	QLD
"MARKS, Rodney"	IND		Wentworth	NSW
"MARSDEN, Alexander"	IND		Forrest	WA
"MARSHALL, Ted"			Kingsford-Smith	NSW
"MARTIN, Janet"	DEM		Boothby	SA
"MARTIN, Stephen"	ALP		Cunningham	NSW
"MARTIN, True"	DEM		Dobell	NSW
"MATHER, Rose"	AIP		Brisbane	QLD
"MATTHEWS, Leonard John"	IND		Petrie	QLD
